subset,phase_name,event_count,total_moment_proxy,top1_fraction,top3_fraction,top10pct_fraction,largest_mag
M3_extended,M1_related_sens_M1minus14d_to_M1plus28d,2118,5.060662104781854e+19,0.5569198007907628,0.8535583043195388,0.9998512065498627,6.9
M3_extended,middle_primary,1033,4.1286095819693814e+18,0.430721136191974,0.9380365251798238,0.999793924689547,6.1
M3_extended,preM3_primary,695,4.609528408082546e+20,0.9690440162332602,0.999774244814659,0.9999988210585118,7.7
M3_extended,preM3_sens_M3minus42d_to_M3,757,4.6103252663234416e+20,0.9688765246430754,0.9996873838539434,0.9999987748158309,7.7
M3_extended,preM3_sens_M3minus28d_to_M3,661,4.6095224647847864e+20,0.9690452656722585,0.9997755338757439,0.9999988775619053,7.7
M3_extended,full_M1_to_M3,3357,5.140698608756487e+20,0.8689161262831017,0.9512185679917133,0.9999888784396365,7.7
M3_extended,postM3_context,3068,2.0109965808406426e+18,0.15724928079422568,0.42582252702416135,0.9978335399667659,5.6
along_axis_30km,baseline_primary,168,2127706453337192.2,0.418878711739519,0.6727200623762829,0.9670616166542898,3.9
along_axis_30km,baseline_sensitivity_M1minus7d,178,2155035763223446.2,0.41356665784545227,0.6641888930262756,0.964056328500152,3.9
along_axis_30km,M1_related_primary,1829,5.043435168108736e+19,0.558822080054883,0.8564738161413833,0.9998621758136216,6.9
along_axis_30km,M1_related_sens_M1minus7d_to_M1plus14d,1676,5.042816597870916e+19,0.5588906272051213,0.8565788743369085,0.9998472853228377,6.9
along_axis_30km,M1_related_sens_M1minus14d_to_M1plus28d,1930,5.045471129614526e+19,0.558596582729787,0.8561282096210832,0.9998689834746615,6.9
along_axis_30km,middle_primary,759,2.31950611402119e+18,0.7666629543631706,0.9372426252239351,0.9996893679819213,6.1
along_axis_30km,preM3_primary,596,1.4268614431861877e+19,0.9899612547302051,0.9947265770179925,0.9999613389489168,6.7
along_axis_30km,preM3_sens_M3minus42d_to_M3,653,1.4348299592952218e+19,0.9844633752396542,0.992774014403221,0.9999606825043797,6.7
along_axis_30km,preM3_sens_M3minus28d_to_M3,571,1.426802602892967e+19,0.990002080006517,0.9947675988127016,0.9999637374481991,6.7
along_axis_30km,full_M1_to_M3,2915,6.553432059174681e+19,0.43006212711380587,0.7981955757920817,0.9999111996373203,6.9
along_axis_30km,postM3_context,1795,1.1802512115856497e+18,0.2679325917335774,0.6472960893673835,0.9971613239027872,5.6
off_axis_30km,baseline_primary,395,3188745467306226.0,0.279498927484686,0.5187501835005167,0.976992674758333,3.9
off_axis_30km,baseline_sensitivity_M1minus7d,402,3252192300049429.5,0.2740461989656018,0.5086299159728053,0.9762180079646688,3.9
off_axis_30km,M1_related_primary,1318,9.973488602292332e+17,0.22446720779866272,0.6078450290908675,0.9984108771126375,5.5
off_axis_30km,M1_related_sens_M1minus7d_to_M1plus14d,1190,9.895261977398278e+17,0.2262417249469291,0.6126503253218328,0.9983827726663447,5.5
off_axis_30km,M1_related_sens_M1minus14d_to_M1plus28d,1377,9.976291467302203e+17,0.224404143153382,0.6076742534505359,0.9984015223655245,5.5
off_axis_30km,middle_primary,599,1.811290085563759e+18,0.9817750476370758,0.9978271866525272,0.9998390048668613,6.1
off_axis_30km,preM3_primary,258,4.466847276752226e+20,0.9999974578842961,0.9999988126942412,0.999999795315786,7.7
off_axis_30km,preM3_sens_M3minus42d_to_M3,281,4.466847347771191e+20,0.9999974419852115,0.9999987967951349,0.9999997986067239,7.7
off_axis_30km,preM3_sens_M3minus28d_to_M3,221,4.466846227714552e+20,0.9999976927334389,0.9999990475437021,0.9999998400692481,7.7
off_axis_30km,full_M1_to_M3,1881,4.492690714450674e+20,0.99424514292562,0.998701607105217,0.999996805924203,7.7
off_axis_30km,postM3_context,1391,8.326012573709779e+17,0.3798069762894172,0.704921984560054,0.9983678515081305,5.6
