mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_events,n_pre,n_post,has_post_omori_fit
M1,100,60,stratified,,3916,680,3235,True
M1,100,60,stratified,1.2,3715,633,3081,True
M1,100,60,stratified,1.5,2968,478,2489,True
M1,100,60,stratified,2.0,1422,221,1200,True
M1,100,60,stratified,2.5,685,120,564,True
M1,100,90,all,,4926,980,3945,True
M1,100,90,all,1.2,4442,805,3636,True
M1,100,90,all,1.5,3408,562,2845,True
M1,100,90,all,2.0,1607,256,1350,True
M1,100,90,all,2.5,771,133,637,True
M1,100,90,mainshock_window,,4894,967,3926,True
M1,100,90,mainshock_window,1.2,4432,801,3630,True
M1,100,90,mainshock_window,1.5,3404,561,2842,True
M1,100,90,mainshock_window,2.0,1605,256,1348,True
M1,100,90,mainshock_window,2.5,769,133,635,True
M1,100,90,stratified,,4234,744,3489,True
M1,100,90,stratified,1.2,3987,676,3310,True
M1,100,90,stratified,1.5,3155,500,2654,True
M1,100,90,stratified,2.0,1497,231,1265,True
M1,100,90,stratified,2.5,715,123,591,True
M2,30,7,all,,629,5,623,False
M2,30,7,all,1.2,460,1,458,False
M2,30,7,all,1.5,297,1,295,False
M2,30,7,all,2.0,143,0,142,False
M2,30,7,all,2.5,62,0,61,False
M2,30,7,mainshock_window,,629,5,623,False
M2,30,7,mainshock_window,1.2,460,1,458,False
M2,30,7,mainshock_window,1.5,297,1,295,False
M2,30,7,mainshock_window,2.0,143,0,142,False
M2,30,7,mainshock_window,2.5,62,0,61,False
M2,30,7,stratified,,273,3,269,False
M2,30,7,stratified,1.2,200,0,199,False
M2,30,7,stratified,1.5,132,0,131,False
M2,30,7,stratified,2.0,65,0,64,False
M2,30,7,stratified,2.5,29,0,28,False
M2,30,30,all,,974,51,922,True
M2,30,30,all,1.2,643,26,616,True
M2,30,30,all,1.5,402,15,386,True
M2,30,30,all,2.0,194,6,187,True
M2,30,30,all,2.5,85,2,82,True
M2,30,30,mainshock_window,,974,51,922,True
M2,30,30,mainshock_window,1.2,643,26,616,True
M2,30,30,mainshock_window,1.5,402,15,386,True
M2,30,30,mainshock_window,2.0,194,6,187,True
M2,30,30,mainshock_window,2.5,85,2,82,True
M2,30,30,stratified,,439,4,434,True
M2,30,30,stratified,1.2,290,1,288,True
