line_id,classification,eligible_for_propagation,n_activated_segments,activation_fraction,spearman_rho,slope_minutes_per_km,activation_span_km,activation_time_span_minutes
375,complex/indeterminate,False,0,0.0,,,0.0,
376,complex/indeterminate,False,0,0.0,,,0.0,
377,complex/indeterminate,False,0,0.0,,,0.0,
378,complex/indeterminate,False,0,0.0,,,0.0,
379,complex/indeterminate,False,0,0.0,,,0.0,
380,complex/indeterminate,False,0,0.0,,,0.0,
381,complex/indeterminate,False,0,0.0,,,0.0,
382,complex/indeterminate,False,0,0.0,,,0.0,
383,complex/indeterminate,False,0,0.0,,,0.0,
384,complex/indeterminate,False,0,0.0,,,0.0,
385,complex/indeterminate,False,0,0.0,,,0.0,
386,complex/indeterminate,False,0,0.0,,,0.0,
387,complex/indeterminate,False,0,0.0,,,0.0,
388,complex/indeterminate,False,0,0.0,,,0.0,
389,complex/indeterminate,False,0,0.0,,,0.0,
390,complex/indeterminate,False,0,0.0,,,0.0,
391,complex/indeterminate,False,0,0.0,,,0.0,
392,complex/indeterminate,False,0,0.0,,,0.0,
393,complex/indeterminate,False,0,0.0,,,0.0,
394,complex/indeterminate,False,0,0.0,,,0.0,
395,complex/indeterminate,False,0,0.0,,,0.0,
396,complex/indeterminate,False,0,0.0,,,0.0,
397,complex/indeterminate,False,0,0.0,,,0.0,
398,complex/indeterminate,False,0,0.0,,,0.0,
399,complex/indeterminate,False,0,0.0,,,0.0,
400,complex/indeterminate,False,0,0.0,,,0.0,
401,complex/indeterminate,False,0,0.0,,,0.0,
402,complex/indeterminate,False,0,0.0,,,0.0,
403,complex/indeterminate,False,0,0.0,,,0.0,
404,complex/indeterminate,False,0,0.0,,,0.0,
405,complex/indeterminate,False,0,0.0,,,0.0,
406,complex/indeterminate,False,0,0.0,,,0.0,
407,complex/indeterminate,False,0,0.0,,,0.0,
408,complex/indeterminate,False,0,0.0,,,0.0,
409,complex/indeterminate,False,0,0.0,,,0.0,
410,complex/indeterminate,False,0,0.0,,,0.0,
411,complex/indeterminate,False,0,0.0,,,0.0,
412,complex/indeterminate,False,0,0.0,,,0.0,
413,complex/indeterminate,False,0,0.0,,,0.0,
414,complex/indeterminate,False,0,0.0,,,0.0,
415,complex/indeterminate,False,0,0.0,,,0.0,
416,complex/indeterminate,False,0,0.0,,,0.0,
417,complex/indeterminate,False,0,0.0,,,0.0,
418,complex/indeterminate,False,0,0.0,,,0.0,
419,complex/indeterminate,False,0,0.0,,,0.0,
420,complex/indeterminate,False,0,0.0,,,0.0,
421,complex/indeterminate,False,0,0.0,,,0.0,
422,complex/indeterminate,False,0,0.0,,,0.0,
423,complex/indeterminate,False,0,0.0,,,0.0,
424,complex/indeterminate,False,0,0.0,,,0.0,
425,complex/indeterminate,False,0,0.0,,,0.0,
426,complex/indeterminate,False,0,0.0,,,0.0,
427,complex/indeterminate,False,0,0.0,,,0.0,
428,complex/indeterminate,False,0,0.0,,,0.0,
429,complex/indeterminate,False,0,0.0,,,0.0,
430,complex/indeterminate,False,0,0.0,,,0.0,
431,complex/indeterminate,False,0,0.0,,,0.0,
432,complex/indeterminate,False,0,0.0,,,0.0,
433,complex/indeterminate,False,0,0.0,,,0.0,
434,complex/indeterminate,False,0,0.0,,,0.0,
435,complex/indeterminate,False,0,0.0,,,0.0,
436,complex/indeterminate,False,0,0.0,,,0.0,
437,complex/indeterminate,False,0,0.0,,,0.0,
438,complex/indeterminate,False,0,0.0,,,0.0,
439,complex/indeterminate,False,0,0.0,,,0.0,
440,complex/indeterminate,False,0,0.0,,,0.0,
441,complex/indeterminate,False,0,0.0,,,0.0,
442,complex/indeterminate,False,0,0.0,,,0.0,
443,complex/indeterminate,False,0,0.0,,,0.0,
444,complex/indeterminate,False,0,0.0,,,0.0,
445,complex/indeterminate,False,0,0.0,,,0.0,
446,complex/indeterminate,False,0,0.0,,,0.0,
447,complex/indeterminate,False,0,0.0,,,0.0,
448,complex/indeterminate,False,0,0.0,,,0.0,
449,complex/indeterminate,False,0,0.0,,,0.0,
450,complex/indeterminate,False,0,0.0,,,0.0,
451,complex/indeterminate,False,0,0.0,,,0.0,
452,complex/indeterminate,False,0,0.0,,,0.0,
453,complex/indeterminate,False,0,0.0,,,0.0,
454,complex/indeterminate,False,0,0.0,,,0.0,
455,complex/indeterminate,False,0,0.0,,,0.0,
456,complex/indeterminate,False,0,0.0,,,0.0,
457,complex/indeterminate,False,0,0.0,,,0.0,
458,complex/indeterminate,False,0,0.0,,,0.0,
459,complex/indeterminate,False,0,0.0,,,0.0,
460,complex/indeterminate,False,0,0.0,,,0.0,
461,complex/indeterminate,False,0,0.0,,,0.0,
462,complex/indeterminate,False,0,0.0,,,0.0,
463,complex/indeterminate,False,0,0.0,,,0.0,
464,complex/indeterminate,False,0,0.0,,,0.0,
465,complex/indeterminate,False,0,0.0,,,0.0,
466,complex/indeterminate,False,0,0.0,,,0.0,
467,complex/indeterminate,False,0,0.0,,,0.0,
468,complex/indeterminate,False,0,0.0,,,0.0,
469,complex/indeterminate,False,0,0.0,,,0.0,
470,complex/indeterminate,False,0,0.0,,,0.0,
471,complex/indeterminate,False,0,0.0,,,0.0,
472,complex/indeterminate,False,0,0.0,,,0.0,
473,complex/indeterminate,False,0,0.0,,,0.0,
474,complex/indeterminate,False,0,0.0,,,0.0,
