line_id,n_total_segments,n_activated_segments,activation_fraction,eligible_for_propagation,spearman_rho,spearman_pvalue,slope_minutes_per_km,intercept_minutes,r2_linear,activation_span_km,activation_time_span_minutes,median_activation_minutes,iqr_activation_minutes,n_early_jump_pairs,bend_fraction_activated,late_residual_fraction,classification
257,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
258,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
260,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
261,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
262,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
263,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
264,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
265,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
266,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
267,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
268,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
269,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
270,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
271,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
272,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
273,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
274,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
275,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
276,2,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
277,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
278,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
279,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
280,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
281,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
282,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
283,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
285,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
286,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
287,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
288,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
289,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
290,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
291,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
292,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
293,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
294,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
295,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
296,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
297,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
298,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
299,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
300,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
301,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
302,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
303,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
304,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
305,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
306,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
307,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
308,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
309,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
310,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
311,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
312,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
313,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
314,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
