line_id,segment_id,global_segment_id,line_segment_count,line_total_length_km,segment_length_km,start_x_km,start_y_km,end_x_km,end_y_km,mid_x_km,mid_y_km,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,along_line_start_km,along_line_end_km,along_line_mid_km,raw_azimuth_deg,strike_deg,first_associated_event_time,first_associated_event_elapsed_minutes,total_associated_events,activated,activation_bin,activation_minutes,activation_hours,peak_count,peak_rate_events_per_hour,peak_bin,peak_bin_start_minutes,max_cumulative_count,first_associated_event_elapsed_hours,activation_delay_from_first_event_minutes,activation_delay_from_first_event_hours,activation_threshold_count_per_bin,activation_threshold_rate_per_hour,ever_associated,segment_dx_km,segment_dy_km,segment_mid_distance_from_origin_km,bend_flag,local_turn_angle_deg,distance_to_mw64_km,distance_to_mw71_km
301,0,305,1,0.1761254091610049,0.1759211458914048,-6.588665687326202,6.488098036505645,-6.499445667785667,6.33647997133882,-6.544055677555935,6.412289003922233,-117.616279672069,35.798673107477995,-117.61529141067,35.7973072225503,-117.61578553713925,35.79799016606908,0.0,0.1761254091610049,0.0880627045805024,300.4747870049268,149.52521299507322,,,0,False,,,,,,,,,,,,5,10.0,False,0.0892200195405346,-0.15161806516682486,9.161992959000463,False,,15.157871132904475,3.181975568300839
302,0,306,1,0.5672809432418363,0.5655077832196284,-5.191720206525746,2.818446107530105,-4.970624426119644,2.2979504699224544,-5.081172316322695,2.55819828872628,-117.600801647178,35.7656081394042,-117.598353475832,35.76091821450402,-117.59957752555646,35.76326318364926,0.0,0.5672809432418363,0.2836404716209181,293.0147813059483,156.9852186940517,,,0,False,,,,,,,,,,,,5,10.0,False,0.22109578040610156,-0.5204956376076506,5.688821546911646,False,,11.588530918251942,1.561703626565427
303,0,307,1,0.2164959411412473,0.216455447483446,-1.7238241257473244,-0.3881265532211937,-1.5914827665374869,-0.559412061620917,-1.6576534461424055,-0.4737693074210554,-117.562445692315,35.73672041071839,-117.56098240991,35.735176882707,-117.56171404405151,35.735948648987595,0.0,0.2164959411412473,0.1082479705706236,307.69096785359113,142.30903214640884,2019-07-05 07:36:48.360000+00:00,842.9886666666666,3,False,,,,1.0,2.0,28.0,840.0,3.0,14.04981111111111,,,5,10.0,True,0.13234135920983747,-0.17128550839972323,1.7240279302151746,False,,7.073060355825784,5.283009039950885
304,0,308,1,0.1941370061828005,0.1940214984149445,-2.0333973663517537,-0.2643805562001353,-1.871610738317912,-0.3714759755074968,-1.9525040523348327,-0.317928265853816,-117.565868125314,35.73783510960269,-117.564079410636,35.7368702080937,-117.56497376257944,35.73735266219233,0.0,0.1941370061828005,0.0970685030914002,326.4972453741621,123.5027546258379,2019-07-06 01:07:24.030000+00:00,1893.5831666666668,1,False,,,,1.0,2.0,63.0,1890.0,1.0,31.559719444444447,,,5,10.0,True,0.1617866280338418,-0.1070954193073615,1.978219011285848,False,,7.406369422679253,4.996787090804745
305,0,309,1,0.2195968004928158,0.2194589686441461,-2.8049059450914333,0.6942260280934498,-2.649141984299238,0.5396303378667177,-2.727023964695336,0.6169281829800837,-117.574400091591,35.7464728712261,-117.572677507661,35.7450799751608,-117.57353879212256,35.74577642631782,0.0,0.2195968004928158,0.1097984002464079,315.21567448074364,134.78432551925636,2019-07-05 06:47:11.480000+00:00,793.374,3,False,,,,1.0,2.0,26.0,780.0,3.0,13.2229,,,5,10.0,True,0.15576396079219545,-0.15459569022673214,2.795936352454715,False,,8.553449126029301,3.804010356409316
306,0,310,1,0.3253776532835386,0.3224953385990422,-12.374275732377363,14.594450839154922,-12.614469196608011,14.379252458215404,-12.494372464492688,14.486851648685162,-117.680410629347,35.8716764046424,-117.683066893023,35.869733869022895,-117.68173877736312,35.87070514422542,0.0,0.3253776532835386,0.1626888266417693,221.85835995567788,48.14164004432212,,,0,False,,,,,,,,,,,,5,10.0,False,-0.24019346423064825,-0.21519838093951726,19.130557074285242,False,,25.091452736987133,13.205618129767162
307,0,311,1,0.5048246010051226,0.5010057365783416,-13.035538920794853,16.21933218267794,-13.002322525791568,16.71923559253568,-13.01893072329321,16.46928388760681,-117.68775934142,35.886312097525305,-117.68739961619902,35.89081791231679,-117.68757948382412,35.88856500547492,0.0,0.5048246010051226,0.2524123005025613,86.19853400979025,3.8014659902097776,2019-07-04 21:24:20.720000+00:00,230.528,1,False,,,,1.0,2.0,7.0,210.0,1.0,3.842133333333333,,,5,10.0,True,0.03321639500328466,0.49990340985773685,20.993567323075254,False,,26.923344542883946,15.119568910461274
308,0,312,1,0.7859386305141561,0.7666945628342955,4.075107572544533,-3.907648962486197,4.543210150984051,-3.300441807770489,4.309158861764292,-3.604045385128343,-117.498360340557,35.7049928901098,-117.493184407634,35.7104634643175,-117.49577246256604,35.707728205696675,0.0,0.7859386305141561,0.392969315257078,52.37098079294822,37.62901920705176,2019-07-04 17:48:15.360000+00:00,14.438666666666668,31,False,,,,2.0,4.0,0.0,0.0,31.0,0.2406444444444444,,,5,10.0,True,0.4681025784395185,0.6072071547157081,5.61765015233119,False,,0.4248329160141871,11.614452728876879
309,0,313,1,0.2689161114515898,0.2654522690642759,2.525925283309981,-5.216665551729198,2.6729267098895804,-4.995632776478704,2.599425996599781,-5.106149164103951,-117.515482809984,35.69320018893761,-117.513857958978,35.695191924667704,-117.51467039458744,35.69419605963028,0.0,0.2689161114515898,0.1344580557257949,56.373464221773816,33.62653577822616,2019-07-05 02:31:52.590000+00:00,538.0591666666667,4,False,,,,1.0,2.0,17.0,510.0,4.0,8.967652777777777,,,5,10.0,True,0.14700142657959958,0.22103277525049414,5.7297272882640975,False,,2.18206970454308,11.527305100228068
310,0,314,1,0.0967537360769249,0.0967537360769249,-0.8036206576458136,-4.519908870050599,-0.7410113097114684,-4.593674410759519,-0.7723159836786411,-4.556791640405059,-117.552269341757,35.6994828230739,-117.551577492407,35.69881803882151,-117.5519234156458,35.69915043145436,0.0,0.0967537360769249,0.0483768680384624,310.32331359803,139.67668640197002,,,0,False,,,,,,,,,,,,5,10.0,False,0.06260934793434514,-0.07376554070892016,4.62177693454703,False,,5.279359429204968,9.319620175968504
311,0,315,1,0.1721006633135822,0.1721006633135821,2.2515956635512224,-7.01552119559679,2.335172622924462,-7.16596563775036,2.293384143237842,-7.090743416673575,-117.518518721562,35.67698810861441,-117.517595961384,35.67563198492821,-117.51805733756942,35.67631004769394,0.0,0.1721006633135822,0.0860503316567911,299.05364771443294,150.94635228556703,2019-07-04 23:37:15.720000+00:00,363.44466666666665,3,False,,,,1.0,2.0,12.0,360.0,3.0,6.057411111111111,,,5,10.0,True,0.08357695937323939,-0.15044444215357,7.452399145882782,False,,3.7889303700139463,12.988944297551512
