domain_label,domain_flag_column,split_latitude_deg,period_days,event_index_within_window,event_time_days
Entire area,in_entire_corridor,,0.85,48,0.0939319444444444
Entire area,in_entire_corridor,,0.85,49,0.0954606481481481
Entire area,in_entire_corridor,,0.85,50,0.0987421296296296
Entire area,in_entire_corridor,,0.85,51,0.0990342592592592
Entire area,in_entire_corridor,,0.85,52,0.1057726851851851
Entire area,in_entire_corridor,,0.85,53,0.1118175925925926
Entire area,in_entire_corridor,,0.85,54,0.1137453703703703
Entire area,in_entire_corridor,,0.85,55,0.1330726851851851
Entire area,in_entire_corridor,,0.85,56,0.1399983796296296
Entire area,in_entire_corridor,,0.85,57,0.1452131944444444
Entire area,in_entire_corridor,,0.85,58,0.1616384259259259
Entire area,in_entire_corridor,,0.85,59,0.1713453703703703
Entire area,in_entire_corridor,,0.85,60,0.1866418981481481
Entire area,in_entire_corridor,,0.85,61,0.1885763888888889
Entire area,in_entire_corridor,,0.85,62,0.1932782407407407
Entire area,in_entire_corridor,,0.85,63,0.2142648148148148
Entire area,in_entire_corridor,,0.85,64,0.2353122685185185
Entire area,in_entire_corridor,,0.85,65,0.2355988425925926
Entire area,in_entire_corridor,,0.85,66,0.2560712962962963
Entire area,in_entire_corridor,,0.85,67,0.2644351851851852
Entire area,in_entire_corridor,,0.85,68,0.2806966435185185
Entire area,in_entire_corridor,,0.85,69,0.2904790509259259
Entire area,in_entire_corridor,,0.85,70,0.2998854166666666
Entire area,in_entire_corridor,,0.85,71,0.3160216435185185
Entire area,in_entire_corridor,,0.85,72,0.3225016203703704
Entire area,in_entire_corridor,,0.85,73,0.3526841435185185
Entire area,in_entire_corridor,,0.85,74,0.3552075231481481
Entire area,in_entire_corridor,,0.85,75,0.3651923611111111
Entire area,in_entire_corridor,,0.85,76,0.4069945601851852
Entire area,in_entire_corridor,,0.85,77,0.4257541666666667
Entire area,in_entire_corridor,,0.85,78,0.4429326388888888
Entire area,in_entire_corridor,,0.85,79,0.4450924768518518
Entire area,in_entire_corridor,,0.85,80,0.4838907407407408
Entire area,in_entire_corridor,,0.85,81,0.4893076388888889
Entire area,in_entire_corridor,,0.85,82,0.5044320601851852
Entire area,in_entire_corridor,,0.85,83,0.5464502314814815
Entire area,in_entire_corridor,,0.85,84,0.561494675925926
Entire area,in_entire_corridor,,0.85,85,0.5790253472222222
Entire area,in_entire_corridor,,0.85,86,0.5870836805555555
Entire area,in_entire_corridor,,0.85,87,0.6020137731481481
Entire area,in_entire_corridor,,0.85,88,0.6340310185185185
Entire area,in_entire_corridor,,0.85,89,0.6390401620370371
Entire area,in_entire_corridor,,0.85,90,0.6963554398148148
Entire area,in_entire_corridor,,0.85,91,0.7247356481481482
Entire area,in_entire_corridor,,0.85,92,0.7319883101851852
Entire area,in_entire_corridor,,0.85,93,0.7325327546296296
Entire area,in_entire_corridor,,0.85,94,0.7333342592592593
Entire area,in_entire_corridor,,0.85,95,0.7335650462962963
Entire area,in_entire_corridor,,0.85,96,0.7338165509259259
Entire area,in_entire_corridor,,0.85,97,0.7345194444444445
Entire area,in_entire_corridor,,0.85,98,0.7468232638888889
Entire area,in_entire_corridor,,0.85,99,0.7470450231481481
Entire area,in_entire_corridor,,0.85,100,0.75155625
Entire area,in_entire_corridor,,0.85,101,0.7848221064814815
Entire area,in_entire_corridor,,0.85,102,0.7940844907407407
Entire area,in_entire_corridor,,0.85,103,0.7949156250000001
Entire area,in_entire_corridor,,0.85,104,0.7953326388888889
Entire area,in_entire_corridor,,0.85,105,0.806429050925926
Entire area,in_entire_corridor,,1.0,1,0.0014212962962962
Entire area,in_entire_corridor,,1.0,2,0.0022027777777777
Entire area,in_entire_corridor,,1.0,3,0.0023800925925925
Entire area,in_entire_corridor,,1.0,4,0.0025037037037037
Entire area,in_entire_corridor,,1.0,5,0.002849537037037
Entire area,in_entire_corridor,,1.0,6,0.0040034722222222
Entire area,in_entire_corridor,,1.0,7,0.0043162037037037
Entire area,in_entire_corridor,,1.0,8,0.0045018518518518
Entire area,in_entire_corridor,,1.0,9,0.0052310185185185
Entire area,in_entire_corridor,,1.0,10,0.006305324074074
