event_time,latitude,longitude,depth_km,magnitude,event_id,time_rel_sec_from_64,time_rel_min_from_64,time_rel_hr_from_64,x_km,y_km
2019-07-24 16:07:00.500000+00:00,35.85897079518505,-117.6674660321585,4.80962504,0.37,79464,1722791.46,28713.191,478.5531833333333,439.735516503239,3968.512070343508
2019-07-24 16:07:18.930000+00:00,35.62002979518505,-117.46425875670076,7.4878897700000016,0.51,79465,1722809.89,28713.498166666664,478.5583027777777,457.95751488960593,3941.9047430125247
2019-07-24 16:07:33.700000+00:00,35.78108579518505,-117.63162137866108,8.70726233,0.76,79466,1722824.66,28713.744333333332,478.56240555555553,442.9161833500888,3959.8520843380948
2019-07-24 16:07:45.750000+00:00,35.60947479518505,-117.44488199826333,5.1435008600000005,1.28,79467,1722836.71,28713.945166666665,478.5657527777778,459.70695965799285,3940.7259947066113
2019-07-24 16:08:09.100000+00:00,35.65186979518505,-117.49153204698366,5.70237995,0.66,79468,1722860.06,28714.334333333336,478.57223888888893,455.50532414927324,3945.448090399258
2019-07-24 16:08:11.630000+00:00,35.80822979518505,-117.65728234651544,16.400922530000003,0.87,79469,1722862.59,28714.376500000002,478.5729416666667,440.6172005514068,3962.8779633956456
2019-07-24 16:08:39.180000+00:00,35.55557279518505,-117.4761031312512,4.345102160000001,0.35,79470,1722890.14,28714.835666666666,478.58059444444444,456.85032983774636,3934.761056828779
2019-07-24 16:09:51.940000+00:00,35.81808079518505,-117.65000706133436,6.341098910000001,1.03,79471,1722962.9,28716.048333333332,478.60080555555555,441.281755538872,3963.9661841194456
2019-07-24 16:10:43.490000+00:00,35.88922779518505,-117.6211792343167,4.42494203,0.48,79472,1723014.45,28716.907499999998,478.615125,443.93605616243224,3971.8404737136984
2019-07-24 16:10:53.050000+00:00,35.95122679518505,-117.71009175700526,4.22171327,0.71,79473,1723024.01,28717.066833333334,478.61778055555556,435.9612199259874,3978.771798648861
2019-07-24 16:11:20.710000+00:00,35.65864079518505,-117.45537553449282,9.658082600000002,0.18,79474,1723051.67,28717.527833333334,478.6254638888889,458.7818019139507,3946.1832934938657
2019-07-24 16:11:21.610000+00:00,36.102170795185046,-117.89250082610128,4.58462177,0.48,79475,1723052.57,28717.542833333333,478.6257138888889,419.6639062675295,3995.649481839986
2019-07-24 16:11:41.920000+00:00,35.61205479518505,-117.58546618361466,6.283033550000001,1.14,79476,1723072.88,28717.88133333333,478.6313555555555,446.97580132323367,3941.0788036522886
2019-07-24 16:12:48.740000+00:00,35.75769279518505,-117.58664868485698,6.54432767,0.77,79477,1723139.7,28718.995,478.6499166666666,446.96518246101715,3957.2322486794956
2019-07-24 16:14:28.310000+00:00,35.68097579518505,-117.51117114375934,7.357242710000001,0.58,79478,1723239.27,28720.6545,478.677575,453.7443232800342,3948.6853004332906
2019-07-24 16:14:59.160000+00:00,35.79651479518505,-117.59427649689138,7.204821140000001,0.41,79479,1723270.12,28721.16866666667,478.6861444444445,446.30170828384706,3961.5422426724467
2019-07-24 16:15:18.510000+00:00,35.71959479518505,-117.54030793050008,8.24999762,1.03,79480,1723289.47,28721.491166666667,478.69151944444445,451.13129346429565,3952.9826708014934
2019-07-24 16:15:42.130000+00:00,35.79158379518505,-117.6160781394202,6.6604583900000005,0.75,79481,1723313.09,28721.884833333334,478.6980805555556,444.32826802981816,3961.0075025322385
2019-07-24 16:16:03.920000+00:00,35.681719795185046,-117.53357519739608,7.89434729,0.35,79482,1723334.88,28722.248,478.7041333333333,451.7174189656448,3948.7785989603267
2019-07-24 16:16:09.500000+00:00,35.67239379518505,-117.50787452520484,6.762072770000001,0.4,79483,1723340.46,28722.341,478.7056833333333,454.0377147937182,3947.731923071444
2019-07-24 16:16:34.180000+00:00,35.92718679518505,-117.70463800169723,4.39590935,0.38,79484,1723365.14,28722.75233333333,478.71253888888884,436.43382048186277,3976.101809832041
2019-07-24 16:16:34.880000+00:00,35.577663795185046,-117.49104671484903,2.48701064,0.02,79485,1723365.84,28722.764000000003,478.71273333333335,455.508182049565,3937.2177711125973
2019-07-24 16:16:52.940000+00:00,35.74683279518505,-117.6506288991876,10.60890287,0.24,79486,1723383.9,28723.065,478.71774999999997,441.1731096034903,3956.0642368703207
