event_id,origin_time,latitude,longitude,depth_km,magnitude,dist_a_km,dist_b_km,nearest_mainshock,second_nearest_mainshock,nearest_dist_km,second_nearest_dist_km,nearest_margin_km,nearest_ratio,proj_km,pos_norm,cross_km,midpoint_dist_km,dt_a_days,dt_b_days,pair_name,in_corridor,in_core_segment,in_sideband,endpoint_a_near,endpoint_b_near,shared_overlap,outer_band,assignment,corridor_width_km,assignment_stable_across_widths
17873,2026-04-16 16:50:55.070000+00:00,39.115796,143.471159,7.7,1.4,31.97368877958695,229.25824548953682,M1,M3,31.97368877958695,85.1327303902735,53.15904161068654,0.3755745720008057,-25.804913077963405,-0.12722856390221976,-18.94002154541246,128.618716487734,158.3661554398148,129.10815844907407,M1_M2,False,False,False,True,False,False,False,unique_M1,36.46616341836339,True
17874,2026-04-16 17:04:20.320000+00:00,39.259721,142.129622,51.23,0.6,119.51761641788194,190.42871505469486,M3,M1,109.31985002055562,119.51761641788194,10.197766397326319,0.9146756210258511,47.0071490237848,0.23176408482232258,-110.03288242411163,122.7480475805993,158.37547546296295,129.11747847222222,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
17875,2026-04-16 17:06:36.220000+00:00,41.025224,143.153418,23.48,1.4,182.97382083737844,72.90739573642232,M2,M3,72.90739573642232,131.56885513626338,58.661459399841064,0.5541387105703208,170.6731467023012,0.8414870178404192,66.52552719501575,96.03542538971334,158.37704837962963,129.1190513888889,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,True
17876,2026-04-16 17:22:18.120000+00:00,39.746781,142.334098,7.48,1.5,107.58926499187258,135.8495157594738,M3,M1,71.09813389471657,107.58926499187258,36.491131097156014,0.6608292555961546,84.4294350070195,0.41627095330896835,-66.88357242465477,69.0058500285678,158.38795000000002,129.12995300925925,M1_M2,False,False,True,False,False,False,False,regional_background,36.46616341836339,True
17877,2026-04-16 17:23:11.440000+00:00,41.046704,142.516276,42.06,1.7,201.29420561465437,21.059268882520417,M2,M3,21.059268882520417,144.5127917648822,123.45352288236178,0.14572598470579123,200.4057402242325,0.9880806205181273,21.206288445195522,101.24001068984413,158.38856712962962,129.13057013888888,M1_M2,True,True,False,False,True,False,False,unique_M2,36.46616341836339,True
17878,2026-04-16 17:43:25.660000+00:00,39.793502,142.953516,23.5,1.3,64.37377521894939,142.24369823691197,M3,M1,18.196449704383717,64.37377521894939,46.17732551456567,0.282668674355257,61.72522689848442,0.3043301076467969,-18.529458647832847,43.79899240044677,158.40262060185185,129.14462361111111,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
17879,2026-04-16 19:30:06.960000+00:00,39.798576,142.949072,25.0,1.0,65.03471178617798,141.57575669435414,M3,M1,18.40263739340034,65.03471178617798,46.63207439277764,0.28296638653377576,62.40464851873794,0.30767992854205867,-18.566879452635156,43.200392567889644,158.47670972222224,129.21871273148147,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
17880,2026-04-16 20:09:09.120000+00:00,40.795699,142.591146,32.95,1.4,173.44671582493902,31.883802237415125,M2,M3,31.883802237415125,116.392289847601,84.50848761018588,0.2739339717361209,173.2106114158835,0.8539977358764094,12.270047629706369,72.83987401766866,158.50381805555557,129.2458210648148,M1_M2,True,True,False,False,True,False,False,unique_M2,36.46616341836339,True
17881,2026-04-16 20:23:23.960000+00:00,39.646318,142.10887,48.37,3.2,122.95618786305121,147.74709193703396,M3,M1,92.2167554703272,122.95618786305121,30.739432392724012,0.7499968653309125,84.73955603590603,0.41779997427570853,-89.28503412176336,90.82827476670518,158.51371203703704,129.2557150462963,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
17882,2026-04-16 20:31:25.400000+00:00,39.649093,142.10332,46.46,1.0,123.48641728482966,147.48935006297808,M3,M1,92.60421303264744,123.48641728482966,30.88220425218222,0.7499141611587098,85.24742347906064,0.42030396432016376,-89.53467710468585,90.98208670655258,158.51928425925925,129.26128726851852,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
17883,2026-04-16 21:05:26.840000+00:00,41.751005,142.575049,31.66,1.8,272.7938158202558,90.30193830209784,M2,M3,90.30193830209784,217.84933557946664,127.5473972773688,0.4145155552662114,265.0285854398793,1.3066971478135982,65.92920065416914,176.40058487204655,158.54291203703704,129.2849150462963,M1_M2,False,False,False,False,False,False,True,outer_cluster,36.46616341836339,True
17884,2026-04-16 21:36:54.960000+00:00,40.995687,142.723177,29.9,1.0,189.29917675271685,36.65952030442187,M2,M3,36.65952030442187,133.43701034652358,96.7774900421017,0.27473277623067605,186.54871015939239,0.9197599084981729,33.39677458920032,91.45308258213896,158.56476527777778,129.30676828703702,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,False
17885,2026-04-16 21:38:03.600000+00:00,40.947257,143.035352,16.4,1.2,176.43471881838397,62.80016754073859,M2,M3,62.80016754073859,123.32994482145679,60.5297772807182,0.5092045377272616,168.35510252122003,0.8300581309718674,53.442939793662916,85.65965100436057,158.56555972222222,129.30756273148148,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,True
17886,2026-04-16 22:02:35.420000+00:00,41.478333,142.434375,45.89,1.0,248.0758109575058,58.051907046455725,M2,M3,58.051907046455725,191.888212915905,133.8363058694493,0.3025298227770612,245.11322673439,1.208506447459689,40.03264165604261,149.1735908014776,158.58259467592592,129.32459768518518,M1_M2,False,False,False,False,False,False,True,outer_cluster,36.46616341836339,True
17887,2026-04-16 22:37:08.300000+00:00,39.796366,142.943294,24.81,2.2,65.23455698264992,141.60933853967177,M3,M1,18.943879008513374,65.23455698264992,46.29067797413654,0.29039637708510496,62.446905814497484,0.3078882739465804,-19.119256868599983,43.402718980095436,158.6065863425926,129.34858935185184,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
17888,2026-04-16 22:37:52.800000+00:00,39.803064,142.952002,22.69,1.9,65.18966490140198,141.21544084434254,M3,M1,18.034472305929878,65.18966490140198,47.1551925954721,0.2766461882141386,62.7048159898371,0.309159874479591,-18.09418410197531,42.72724245663196,158.6071013888889,129.34910439814814,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
17889,2026-04-16 22:40:35.960000+00:00,40.977083,143.130355,18.84,0.8,178.03885129610077,70.72670644655874,M2,M3,70.72670644655874,126.23562854800927,55.50892210145054,0.5602753141888174,167.07493722408057,0.8237464029757131,62.09147026916266,90.37156681652438,158.60898981481483,129.35099282407407,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,True
17890,2026-04-16 23:09:52.660000+00:00,39.684473,143.448405,10.87,1.2,31.80887980886369,173.33398302525347,M3,M1,30.450197613177853,31.80887980886369,1.3586821956858373,0.9572860721958768,29.597967244941263,0.1459298411748813,11.749161101231271,72.76843752120264,158.62932199074075,129.371325,M1_M2,True,True,False,True,False,False,False,endpoint_centered_corridor_adjacent,36.46616341836339,True
17891,2026-04-16 23:29:40.400000+00:00,41.290299,142.640837,34.73,1.4,222.4269452083395,46.450745890825715,M2,M3,46.450745890825715,166.8402189160962,120.38947302527049,0.2784145585075368,218.23373172862162,1.0759797639685038,44.28017972734071,124.93252925927027,158.6430689814815,129.38507199074076,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,False
