mainshock,control_type,time_window_days,radius_km,mag_threshold,n_total,n_pre,n_post,pre_rate,post_rate,rate_ratio
M3,observed_baseline,60.0,50.0,1.2,3101,614,2486,10.233333333333333,41.43333333333333,4.04885993485342
M3,shifted_background,60.0,50.0,1.2,0,0,0,0.0,0.0,
M3,observed_baseline,60.0,50.0,1.5,2336,421,1914,7.016666666666667,31.9,4.546318289786223
M3,shifted_background,60.0,50.0,1.5,0,0,0,0.0,0.0,
M3,observed_baseline,60.0,50.0,2.0,1171,198,972,3.3,16.2,4.909090909090909
M3,shifted_background,60.0,50.0,2.0,0,0,0,0.0,0.0,
M3,observed_baseline,90.0,50.0,,3654,876,2777,9.733333333333333,30.855555555555554,3.1700913242009134
M3,shifted_background,90.0,50.0,,0,0,0,0.0,0.0,
M3,observed_baseline,90.0,50.0,1.2,3251,764,2486,8.488888888888889,27.622222222222224,3.253926701570681
M3,shifted_background,90.0,50.0,1.2,0,0,0,0.0,0.0,
M3,observed_baseline,90.0,50.0,1.5,2444,529,1914,5.877777777777778,21.266666666666666,3.6181474480151223
M3,shifted_background,90.0,50.0,1.5,0,0,0,0.0,0.0,
M3,observed_baseline,90.0,50.0,2.0,1213,240,972,2.6666666666666665,10.8,4.050000000000001
M3,shifted_background,90.0,50.0,2.0,0,0,0,0.0,0.0,
