event_code,origin_time,latitude,longitude,depth_km,mag_1,mag_2,P_axis_azimuth,P_axis_dip,T_axis_azimuth,T_axis_dip,N_axis_azimuth,N_axis_dip,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,focal_mech_score,n_hypo_stations,n_mech_stations,has_geometry,has_mechanism_core
J2025121018370283,2025-12-10 09:37:02.830000+00:00,41.16516666666666,142.5845,42.79,3.6,,117.0,27.0,286.0,63.0,25.0,4.0,218.0,19.0,104.0,23.0,72.0,85.0,88.0,40,59.0,True,True
J2025121023012950,2025-12-10 14:01:29.500000+00:00,41.25266666666667,142.39233333333334,48.41,4.2,4.2,116.0,24.0,322.0,64.0,211.0,10.0,186.0,23.0,63.0,34.0,70.0,101.0,96.0,40,139.0,True,True
J2025121023522419,2025-12-10 14:52:24.190000+00:00,40.8365,142.7565,36.13,6.0,5.8,113.0,15.0,339.0,69.0,207.0,14.0,183.0,33.0,62.0,35.0,61.0,106.0,94.0,40,219.0,True,True
J2025121110225761,2025-12-11 01:22:57.610000+00:00,40.908166666666666,143.0865,19.81,3.9,,,,,,,,,,,,,,,27,,False,False
J2025121111222360,2025-12-11 02:22:23.600000+00:00,41.18483333333333,142.56633333333335,43.67,3.7,,,,,,,,,,,,,,,40,,False,False
J2025121119121381,2025-12-11 10:12:13.810000+00:00,41.87016666666667,142.78633333333337,60.53,4.0,4.0,,,,,,,,,,,,,,40,,False,False
J2025121202041771,2025-12-11 17:04:17.710000+00:00,41.225,143.09733333333332,23.3,4.0,4.1,,,,,,,,,,,,,,38,,False,False
J2025121203110558,2025-12-11 18:11:05.580000+00:00,41.247166666666665,142.819,28.6,4.5,4.4,,,,,,,,,,,,,,39,,False,False
J2025121206395215,2025-12-11 21:39:52.150000+00:00,40.987,143.163,20.99,3.8,,,,,,,,,,,,,,,35,,False,False
J2025121207091989,2025-12-11 22:09:19.890000+00:00,40.999833333333335,143.16733333333335,15.66,5.0,5.1,,,,,,,,,,,,,,28,,False,False
J2025121208542149,2025-12-11 23:54:21.490000+00:00,40.933,143.03866666666667,19.97,3.8,,,,,,,,,,,,,,,18,,False,False
J2025121208563359,2025-12-11 23:56:33.590000+00:00,42.3405,144.49,449.0,3.6,,,,,,,,,,,,,,,38,,False,False
J2025121211441342,2025-12-12 02:44:13.420000+00:00,40.9,142.965,16.61,6.9,6.8,,,,,,,,,,,,,,37,,False,False
J2025121211464936,2025-12-12 02:46:49.360000+00:00,40.895833333333336,142.95766666666665,21.98,4.3,,,,,,,,,,,,,,,16,,False,False
J2025121211470534,2025-12-12 02:47:05.340000+00:00,40.95183333333333,143.011,19.75,4.4,,,,,,,,,,,,,,,22,,False,False
J2025121211473436,2025-12-12 02:47:34.360000+00:00,40.9725,142.953,20.2,4.3,,,,,,,,,,,,,,,20,,False,False
J2025121211475673,2025-12-12 02:47:56.730000+00:00,40.8925,142.9675,15.91,4.3,,,,,,,,,,,,,,,19,,False,False
J2025121211485618,2025-12-12 02:48:56.180000+00:00,40.98366666666666,142.99883333333332,18.31,4.1,,,,,,,,,,,,,,,29,,False,False
J2025121211493371,2025-12-12 02:49:33.710000+00:00,40.907,143.03083333333333,13.69,3.7,,,,,,,,,,,,,,,16,,False,False
J2025121211505272,2025-12-12 02:50:52.720000+00:00,40.88433333333333,143.0295,13.91,3.6,,,,,,,,,,,,,,,23,,False,False
J2025121211510829,2025-12-12 02:51:08.290000+00:00,40.91933333333333,143.05833333333334,11.96,3.8,,,,,,,,,,,,,,,20,,False,False
J2025121211524296,2025-12-12 02:52:42.960000+00:00,40.91566666666667,143.054,16.81,3.6,,,,,,,,,,,,,,,28,,False,False
J2025121211590303,2025-12-12 02:59:03.030000+00:00,40.9295,143.013,20.19,3.7,,,,,,,,,,,,,,,11,,False,False
J2025121212001708,2025-12-12 03:00:17.080000+00:00,40.9565,143.07966666666667,18.06,3.5,,,,,,,,,,,,,,,18,,False,False
J2025121212063434,2025-12-12 03:06:34.340000+00:00,40.92633333333333,142.99433333333334,17.27,4.4,,,,,,,,,,,,,,,33,,False,False
J2025121212120318,2025-12-12 03:12:03.180000+00:00,40.828833333333336,143.0195,11.66,3.5,,,,,,,,,,,,,,,30,,False,False
J2025121212140993,2025-12-12 03:14:09.930000+00:00,40.904833333333336,143.01,13.62,3.6,,,,,,,,,,,,,,,28,,False,False
J2025121212145056,2025-12-12 03:14:50.560000+00:00,40.9125,143.02783333333332,15.34,4.0,,,,,,,,,,,,,,,26,,False,False
J2025121212213907,2025-12-12 03:21:39.070000+00:00,40.98983333333334,143.0025,16.94,5.7,5.5,,,,,,,,,,,,,,32,,False,False
J2025121212234171,2025-12-12 03:23:41.710000+00:00,40.80083333333333,143.02233333333334,11.0,4.0,,,,,,,,,,,,,,,7,,False,False
J2025121212261145,2025-12-12 03:26:11.450000+00:00,40.99183333333333,142.99866666666668,17.85,4.4,,,,,,,,,,,,,,,34,,False,False
J2025121212340775,2025-12-12 03:34:07.750000+00:00,40.914,142.9845,16.02,3.6,,,,,,,,,,,,,,,31,,False,False
J2025121212345429,2025-12-12 03:34:54.290000+00:00,40.964666666666666,143.08733333333333,16.15,3.7,,,,,,,,,,,,,,,20,,False,False
J2025121212391990,2025-12-12 03:39:19.900000+00:00,40.96783333333333,142.96766666666667,18.24,3.5,,,,,,,,,,,,,,,19,,False,False
J2025121212542367,2025-12-12 03:54:23.670000+00:00,40.937666666666665,142.99533333333332,17.63,3.5,,,,,,,,,,,,,,,31,,False,False
J2025121213582278,2025-12-12 04:58:22.780000+00:00,40.970666666666666,142.95966666666666,19.27,4.4,4.4,,,,,,,,,,,,,,33,,False,False
