line_id,segment_id,global_segment_id,line_segment_count,line_total_length_km,segment_length_km,start_x_km,start_y_km,end_x_km,end_y_km,mid_x_km,mid_y_km,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,along_line_start_km,along_line_end_km,along_line_mid_km,raw_azimuth_deg,strike_deg
773,0,810,1,0.42680078412679856,0.4253364462459209,3.732927953881357,-5.915632606952613,3.5259482278388554,-6.287210977572433,3.6294380908601065,-6.1014217922625225,-117.502150723077,35.68689670401972,-117.50443894640001,35.683548501062496,-117.50329485866256,35.68522260822072,0.0,0.42680078412679856,0.21340039206339928,240.88094878298537,29.11905121701463
774,0,811,1,0.3268672509901594,0.32557532554070656,3.1391300229368815,-7.945228586645546,3.196486621926216,-8.265711836056983,3.167808322431549,-8.105470211351264,-117.508718583496,35.6686063884741,-117.508086357399,35.66571774088109,-117.5084024647577,35.66716206526551,0.0,0.3268672509901594,0.1634336254950797,280.14675097058677,169.85324902941323
775,0,812,1,0.31188855328593834,0.31008580365435146,3.2166046531525065,-8.170313366587557,3.289736514742958,-8.471651941032118,3.2531705839477323,-8.320982653809837,-117.507863782388,35.666577486461904,-117.507057299155,35.66386132883731,-117.50746053394508,35.665219408477725,0.0,0.31188855328593834,0.15594427664296917,283.6413761042644,166.3586238957356
776,0,813,1,0.6125622585304097,0.6008519315088654,15.874475104203315,-19.31199330244191,16.15077889957341,-18.77843987844201,16.01262700188836,-19.04521659044196,-117.368281663268,35.56603620001071,-117.36522315442501,35.57084061849981,-117.36675245465892,35.56843841950487,0.0,0.6125622585304097,0.30628112926520484,62.62235280591301,27.37764719408699
777,0,814,1,0.4651230984716658,0.4643027257716241,10.28695757343131,-16.685304648137752,10.576941274865526,-17.047915285132134,10.431949424148417,-16.866609966634943,-117.42988300389702,35.5897844201149,-117.42668805530901,35.586513166749306,-117.42828549710427,35.58814880424674,0.0,0.4651230984716658,0.2325615492358329,308.6497088772055,141.35029112279452
778,0,815,1,0.31176658490383274,0.3103991597172601,-6.135345393531186,4.209843730740455,-5.992043272601784,3.9345036855412214,-6.0636943330664845,4.072173708140838,-117.61124719270401,35.77814292605521,-117.60966020675305,35.775662260405106,-117.61045368739816,35.77690259597892,0.0,0.31176658490383274,0.15588329245191637,297.4949514682031,152.5050485317969
779,0,816,1,0.08845265951962593,0.08845265951962593,-1.678184320499103,-0.5237686991963886,-1.6607641477197375,-0.6104889999133022,-1.6694742341094202,-0.5671288495548454,-117.561940892058,35.7354979829456,-117.56174814755899,35.73471642532281,-117.56184451933736,35.73510720418556,0.0,0.08845265951962593,0.044226329759812964,281.3582775093369,168.64172249066308
780,0,817,1,0.498525183663341,0.4968199867986831,-2.8646305366484834,0.8564553506736002,-2.4633332769491134,0.5635550115812392,-2.6639819067987984,0.7100051811274197,-117.575060965591,35.7479348262313,-117.570623378766,35.7452960840471,-117.57284213556066,35.746615475748264,0.0,0.498525183663341,0.2492625918316705,323.8749021191316,126.1250978808684
781,0,818,1,0.29799512642792253,0.29169328517586385,-1.9447897952312367,-0.10984281954557254,-1.797817134818821,-0.36180315314589256,-1.8713034650250289,-0.23582298634573257,-117.56488899023502,35.7392280956002,-117.56326369316498,35.7369575241705,-117.56407633016147,35.73809281273845,0.0,0.29799512642792253,0.14899756321396126,300.25572441484303,149.74427558515694
782,0,819,1,0.22119580971860814,0.22058150449074446,-1.069351267075019,-1.1356787550244622,-1.2361088235287157,-0.9912899829921727,-1.1527300453018672,-1.0634843690083176,-117.55520994858,35.7299838464774,-117.55705340589002,35.731284990110304,-117.55613166973819,35.73063442186042,0.0,0.22119580971860814,0.11059790485930407,139.11200661700104,130.88799338299896
783,0,820,1,0.26113719065982566,0.25902238455835763,-4.318334905766267,2.6932078304894707,-4.527895221592893,2.84544800170897,-4.42311506367958,2.76932791609922,-117.591142809693,35.7644836262184,-117.59346101911099,35.76585477757602,-117.59230190445574,35.765169207521666,0.0,0.26113719065982566,0.13056859532991283,144.00256091450683,125.99743908549317
784,0,821,1,0.348083943279371,0.3473514929423767,-7.0288263476586605,7.937941139437629,-6.846143118309807,7.642509425899674,-6.937484732984234,7.7902252826686516,-117.62116184863997,35.81173695359761,-117.619137987328,35.8090756294368,-117.6201499010983,35.810406295925844,0.0,0.348083943279371,0.1740419716396855,301.7309992592268,148.2690007407732
785,0,822,1,0.19233874104126264,0.19202717708186967,-9.868291927728412,11.391642408531943,-9.730426191695475,11.525311685353987,-9.799359059711943,11.458477046942965,-117.652622273299,35.84283933926419,-117.65109786397501,35.84404541736221,-117.65186007439775,35.84344238075335,0.0,0.19233874104126264,0.09616937052063132,44.11458835678303,45.88541164321699
786,0,823,1,0.23823373515445367,0.23807155291477297,-10.988261684821998,11.404077650123197,-11.052321129043042,11.633368844706292,-11.02029140693252,11.518723247414744,-117.665019394429,35.8429395246394,-117.66573164040301,35.84500530694942,-117.66537551278942,35.84397241641318,0.0,0.23823373515445367,0.11911686757722684,105.60931662425412,164.39068337574588
