interval_id,r_km,azimuth_center_deg,K_value,L_value
1,0.5,177.5,36.75837772548703,2.920607406602015
1,0.57,2.5,36.75837772548703,2.8506074066020153
1,0.57,7.5,0.0,-0.57
1,0.57,12.5,73.51675545097406,4.267469385970429
1,0.57,17.5,36.75837772548703,2.8506074066020153
1,0.57,22.5,36.75837772548703,2.8506074066020153
1,0.57,27.5,36.75837772548703,2.8506074066020153
1,0.57,32.5,36.75837772548703,2.8506074066020153
1,0.57,37.5,0.0,-0.57
1,0.57,42.5,73.51675545097406,4.267469385970429
1,0.57,47.5,0.0,-0.57
1,0.57,52.5,36.75837772548703,2.8506074066020153
1,0.57,57.5,36.75837772548703,2.8506074066020153
1,0.57,62.5,0.0,-0.57
1,0.57,67.5,147.03351090194812,6.27121481320403
1,0.57,72.5,110.27513317646108,5.354665820981102
1,0.57,77.5,0.0,-0.57
1,0.57,82.5,36.75837772548703,2.8506074066020153
1,0.57,87.5,36.75837772548703,2.8506074066020153
1,0.57,92.5,73.51675545097406,4.267469385970429
1,0.57,97.5,73.51675545097406,4.267469385970429
1,0.57,102.5,110.27513317646108,5.354665820981102
1,0.57,107.5,0.0,-0.57
1,0.57,112.5,36.75837772548703,2.8506074066020153
1,0.57,117.5,36.75837772548703,2.8506074066020153
1,0.57,122.5,0.0,-0.57
1,0.57,127.5,36.75837772548703,2.8506074066020153
1,0.57,132.5,73.51675545097406,4.267469385970429
1,0.57,137.5,36.75837772548703,2.8506074066020153
1,0.57,142.5,0.0,-0.57
1,0.57,147.5,36.75837772548703,2.8506074066020153
1,0.57,152.5,36.75837772548703,2.8506074066020153
1,0.57,157.5,36.75837772548703,2.8506074066020153
1,0.57,162.5,0.0,-0.57
1,0.57,167.5,0.0,-0.57
1,0.57,172.5,73.51675545097406,4.267469385970429
1,0.57,177.5,73.51675545097406,4.267469385970429
1,1.65,2.5,294.06702180389624,8.024938771940858
1,1.65,7.5,183.79188862743513,5.9987106855013685
1,1.65,12.5,330.8253995293832,8.611822219806044
1,1.65,17.5,183.79188862743513,5.9987106855013685
1,1.65,22.5,183.79188862743513,5.9987106855013685
1,1.65,27.5,367.58377725487026,9.166910386104048
1,1.65,32.5,294.06702180389624,8.024938771940858
1,1.65,37.5,257.3086440784092,7.40007653065453
1,1.65,42.5,404.34215498035735,9.694871322809536
1,1.65,47.5,220.55026635292216,6.728742756559804
1,1.65,52.5,367.58377725487026,9.166910386104048
1,1.65,57.5,220.55026635292216,6.728742756559804
1,1.65,62.5,183.79188862743513,5.9987106855013685
1,1.65,67.5,367.58377725487026,9.166910386104048
1,1.65,72.5,257.3086440784092,7.40007653065453
1,1.65,77.5,0.0,-1.65
1,1.65,82.5,147.03351090194812,5.191214813204031
1,1.65,87.5,110.27513317646108,4.274665820981102
1,1.65,92.5,110.27513317646108,4.274665820981102
1,1.65,97.5,110.27513317646108,4.274665820981102
1,1.65,102.5,257.3086440784092,7.40007653065453
1,1.65,107.5,36.75837772548703,1.7706074066020152
1,1.65,112.5,257.3086440784092,7.40007653065453
1,1.65,117.5,294.06702180389624,8.024938771940858
1,1.65,122.5,147.03351090194812,5.191214813204031
1,1.65,127.5,147.03351090194812,5.191214813204031
1,1.65,132.5,330.8253995293832,8.611822219806044
1,1.65,137.5,257.3086440784092,7.40007653065453
1,1.65,142.5,110.27513317646108,4.274665820981102
1,1.65,147.5,220.55026635292216,6.728742756559804
1,1.65,152.5,183.79188862743513,5.9987106855013685
1,1.65,157.5,257.3086440784092,7.40007653065453
1,1.65,162.5,36.75837772548703,1.7706074066020152
1,1.65,167.5,147.03351090194812,5.191214813204031
1,1.65,172.5,220.55026635292216,6.728742756559804
1,1.65,177.5,183.79188862743513,5.9987106855013685
1,3.0,2.5,551.3756658823055,10.247955519683346
1,3.0,7.5,514.6172881568184,9.798740970166083
1,3.0,12.5,441.10053270584433,8.849331641962205
1,3.0,17.5,330.8253995293832,7.261822219806044
1,3.0,22.5,477.8589104313313,9.333175397735463
1,3.0,27.5,698.4091767842535,11.910082010904926
1,3.0,32.5,514.6172881568184,9.798740970166083
1,3.0,37.5,441.10053270584433,8.849331641962205
1,3.0,42.5,661.6507990587664,11.512408157911288
1,3.0,47.5,882.2010654116887,13.757485513119608
1,3.0,52.5,882.2010654116887,13.757485513119608
1,3.0,57.5,477.8589104313313,9.333175397735463
1,3.0,62.5,441.10053270584433,8.849331641962205
1,3.0,67.5,514.6172881568184,9.798740970166083
1,3.0,72.5,551.3756658823055,10.247955519683346
1,3.0,77.5,257.3086440784092,6.050076530654531
1,3.0,82.5,367.58377725487026,7.816910386104048
1,3.0,87.5,441.10053270584433,8.849331641962205
1,3.0,92.5,404.34215498035735,8.344871322809537
1,3.0,97.5,147.03351090194812,3.8412148132040302
1,3.0,102.5,514.6172881568184,9.798740970166083
1,3.0,107.5,220.55026635292216,5.378742756559804
