ot,lat,lon,dep,mag,source_day,ot_utc
2019-07-04T17:53:25.399000Z,35.64841,-117.54148,12.66,2.15,20190704,2019-07-04T17:53:25.399000Z
2019-07-04T17:53:46.109000Z,35.66167,-117.2176,7.85,2.29,20190704,2019-07-04T17:53:46.109000Z
2019-07-04T17:53:46.581000Z,35.59242,-117.41421,0.0,2.55,20190704,2019-07-04T17:53:46.581000Z
2019-07-04T17:53:50.430000Z,35.67209,-117.56669,0.0,1.53,20190704,2019-07-04T17:53:50.430000Z
2019-07-04T17:54:03.274000Z,35.6861,-117.49454,17.23,2.29,20190704,2019-07-04T17:54:03.274000Z
2019-07-04T17:54:21.184000Z,35.72022,-117.5929,11.46,1.9,20190704,2019-07-04T17:54:21.184000Z
2019-07-04T17:54:58.987000Z,35.64282,-117.54398,13.57,2.73,20190704,2019-07-04T17:54:58.987000Z
2019-07-04T17:55:19.709000Z,35.67211,-117.50182,5.57,2.36,20190704,2019-07-04T17:55:19.709000Z
2019-07-04T17:55:30.363000Z,35.67421,-117.50805,3.55,2.57,20190704,2019-07-04T17:55:30.363000Z
2019-07-04T17:55:47.456000Z,35.80402,-117.66352,0.0,2.26,20190704,2019-07-04T17:55:47.456000Z
2019-07-04T17:55:54.429000Z,35.71197,-117.47375,3.67,2.36,20190704,2019-07-04T17:55:54.429000Z
2019-07-04T17:56:06.681000Z,35.58396,-117.46416,0.0,2.12,20190704,2019-07-04T17:56:06.681000Z
2019-07-04T17:56:21.690000Z,35.59639,-117.58762,10.65,2.32,20190704,2019-07-04T17:56:21.690000Z
2019-07-04T17:56:32.812000Z,35.24011,-116.98909,0.0,3.0,20190704,2019-07-04T17:56:32.812000Z
2019-07-04T17:56:55.216000Z,35.69574,-117.48648,2.37,2.34,20190704,2019-07-04T17:56:55.216000Z
2019-07-04T17:57:31.293000Z,35.66519,-117.50439,5.74,2.92,20190704,2019-07-04T17:57:31.293000Z
2019-07-04T17:57:42.360000Z,35.70341,-117.42568,12.23,3.02,20190704,2019-07-04T17:57:42.360000Z
2019-07-04T17:58:02.330000Z,35.70616,-117.49482,8.64,3.49,20190704,2019-07-04T17:58:02.330000Z
2019-07-04T17:58:51.386000Z,35.80419,-117.60006,0.0,2.15,20190704,2019-07-04T17:58:51.386000Z
2019-07-04T17:58:52.342000Z,35.59546,-117.33769,7.26,2.49,20190704,2019-07-04T17:58:52.342000Z
2019-07-04T17:58:55.607000Z,35.66999,-117.76416,0.0,2.03,20190704,2019-07-04T17:58:55.607000Z
2019-07-04T17:59:03.961000Z,35.56867,-117.31321,0.0,2.29,20190704,2019-07-04T17:59:03.961000Z
2019-07-04T17:59:25.843000Z,35.68744,-117.4353,15.69,2.12,20190704,2019-07-04T17:59:25.843000Z
2019-07-04T17:59:38.591000Z,35.69975,-117.49333,9.89,2.19,20190704,2019-07-04T17:59:38.591000Z
2019-07-04T17:59:48.391000Z,35.65615,-117.50405,5.08,2.01,20190704,2019-07-04T17:59:48.391000Z
2019-07-04T17:59:59.608000Z,35.70149,-117.46987,5.81,2.49,20190704,2019-07-04T17:59:59.608000Z
2019-07-04T18:00:12.252000Z,35.69115,-117.48647,1.04,2.14,20190704,2019-07-04T18:00:12.252000Z
2019-07-04T18:00:28.594000Z,35.70032,-117.49541,2.35,1.89,20190704,2019-07-04T18:00:28.594000Z
2019-07-04T18:00:40.211000Z,35.6399,-117.54708,4.89,2.47,20190704,2019-07-04T18:00:40.211000Z
2019-07-04T18:01:01.282000Z,35.68464,-117.49546,6.77,2.79,20190704,2019-07-04T18:01:01.282000Z
