event_id,event_seq,source_day,original_ot_str,original_lat,original_lon,original_dep,original_mag,phase_file,batch_index,batch_label,original_ot,was_selected,hypodd_original_ot_str,hypodd_original_lat,hypodd_original_lon,hypodd_original_dep,hypodd_original_mag,hypodd_original_time_abs_diff_s,reloc_ot_str,reloc_lat,reloc_lon,reloc_dep,reloc_mag,reloc_time_abs_diff_s,was_relocated,horizontal_shift_km,depth_change_km,day
543,80402,20190717,2019-07-17T02:09:37.343000Z,35.4972,-117.19311,0.0,0.92,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:09:37.343000Z,True,,,,,,,,,,,,,False,,,
544,80403,20190717,2019-07-17T02:09:45.930000Z,35.94072,-117.60897,0.0,0.31,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:09:45.930000Z,True,,,,,,,,,,,,,False,,,
545,80404,20190717,2019-07-17T02:09:46.739000Z,35.59916,-117.29392,0.91,0.61,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:09:46.739000Z,True,,,,,,,,,,,,,False,,,
548,80407,20190717,2019-07-17T02:10:17.779000Z,35.67087,-117.50784,5.38,0.51,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:10:17.779000Z,True,,,,,,,,,,,,,False,,,
554,80413,20190717,2019-07-17T02:12:14.484000Z,35.42461,-117.6612,0.0,0.84,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:12:14.484000Z,True,,,,,,,,,,,,,False,,,
556,80415,20190717,2019-07-17T02:12:26.615000Z,35.56938,-117.44279,2.45,0.31,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:12:26.615000Z,True,,,,,,,,,,,,,False,,,
561,80420,20190717,2019-07-17T02:13:29.357000Z,35.67897,-117.46654,9.68,0.66,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:13:29.357000Z,True,,,,,,,,,,,,,False,,,
564,80423,20190717,2019-07-17T02:13:59.864000Z,35.66516,-117.42973,8.52,0.76,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:13:59.864000Z,True,,,,,,,,,,,,,False,,,
567,80426,20190717,2019-07-17T02:14:34.824000Z,36.11675,-117.8597,6.41,1.3,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:14:34.824000Z,True,,,,,,,,,,,,,False,,,
570,80429,20190717,2019-07-17T02:15:18.534000Z,35.92745,-117.55871,1.81,0.49,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:15:18.534000Z,True,,,,,,,,,,,,,False,,,
571,80430,20190717,2019-07-17T02:15:29.420000Z,35.89896,-117.89203,30.0,1.17,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:15:29.420000Z,True,,,,,,,,,,,,,False,,,
572,80431,20190717,2019-07-17T02:15:37.994000Z,35.79588,-117.71744,0.0,0.49,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:15:37.994000Z,True,,,,,,,,,,,,,False,,,
577,80436,20190717,2019-07-17T02:16:22.348000Z,35.83891,-117.62828,6.39,0.51,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:16:22.348000Z,True,,,,,,,,,,,,,False,,,
578,80437,20190717,2019-07-17T02:16:30.377000Z,35.69059,-117.3219,29.69,0.91,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:16:30.377000Z,True,,,,,,,,,,,,,False,,,
582,80441,20190717,2019-07-17T02:17:42.624000Z,35.24524,-117.25172,0.0,2.02,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:17:42.624000Z,True,,,,,,,,,,,,,False,,,
584,80443,20190717,2019-07-17T02:18:01.502000Z,35.67432,-117.45366,12.01,0.85,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:18:01.502000Z,True,,,,,,,,,,,,,False,,,
585,80444,20190717,2019-07-17T02:18:33.516000Z,36.19552,-117.89071,4.27,1.13,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:18:33.516000Z,True,,,,,,,,,,,,,False,,,
589,80448,20190717,2019-07-17T02:19:31.916000Z,35.53969,-117.67196,10.33,1.47,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:19:31.916000Z,True,,,,,,,,,,,,,False,,,
590,80449,20190717,2019-07-17T02:19:52.401000Z,35.92832,-117.83766,30.0,0.98,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:19:52.401000Z,True,,,,,,,,,,,,,False,,,
593,80452,20190717,2019-07-17T02:21:38.134000Z,35.40708,-117.50828,6.38,0.4,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:21:38.134000Z,True,,,,,,,,,,,,,False,,,
594,80453,20190717,2019-07-17T02:21:40.680000Z,35.24117,-117.25614,28.31,1.14,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:21:40.680000Z,True,,,,,,,,,,,,,False,,,
595,80454,20190717,2019-07-17T02:21:46.125000Z,35.24155,-117.75872,30.0,0.91,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:21:46.125000Z,True,,,,,,,,,,,,,False,,,
