datetime,lat,lon,dep,mag,time_rel_days,time_rel_sec,radial_distance_km,depth_rel_km,abs_depth_rel_km,is_post,is_pre,mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,sequence_id,mag_threshold_label
2025-10-01 14:08:36.670000+00:00,39.622294,143.210042,14.08,1.2,-38.74655752314815,-3347702.57,35.176720914217825,-1.8800000000000008,1.8800000000000008,False,True,M1,50.0,90.0,all,,323837,all
2025-10-02 11:29:18.100000+00:00,39.455782,143.428206,11.13,1.1,-37.85718912037037,-3270861.14,8.867297167679448,-4.83,4.83,False,True,M1,50.0,90.0,all,,323838,all
2025-10-02 14:07:17.560000+00:00,39.453495,143.427913,11.81,1.3,-37.74747314814815,-3261381.68,8.720644918803574,-4.15,4.15,False,True,M1,50.0,90.0,all,,323839,all
2025-10-05 18:26:38.360000+00:00,39.633512,143.233691,13.74,1.6,-34.567371296296294,-2986620.88,34.65395513138042,-2.2200000000000006,2.2200000000000006,False,True,M1,50.0,90.0,all,,323840,all
2025-10-06 04:35:33.780000+00:00,39.739327,143.209147,11.98,1.6,-34.14450763888889,-2950085.46,45.21063658160483,-3.98,3.98,False,True,M1,50.0,90.0,all,,323841,all
2025-10-09 22:13:59.260000+00:00,39.396021,143.559554,12.56,3.3,-30.40949050925926,-2627379.98,4.695029398341491,-3.4000000000000004,3.4000000000000004,False,True,M1,50.0,90.0,all,,323842,all
2025-10-09 22:55:20.400000+00:00,39.397925,143.567171,8.9,1.3,-30.38077361111111,-2624898.84,5.314425065811607,-7.0600000000000005,7.0600000000000005,False,True,M1,50.0,90.0,all,,323843,all
2025-10-10 00:37:19.050000+00:00,39.398263,143.56499,8.46,1.2,-30.309955902777777,-2618780.19,5.124084964885481,-7.5,7.5,False,True,M1,50.0,90.0,all,,323844,all
2025-10-10 22:45:16.640000+00:00,39.39919,143.566797,10.7,2.0,-29.38776157407408,-2539102.6,5.269046358257168,-5.260000000000002,5.260000000000002,False,True,M1,50.0,90.0,all,,323845,all
2025-10-10 22:49:55.480000+00:00,39.399422,143.578451,7.29,1.5,-29.384534259259254,-2538823.76,6.265825721484327,-8.670000000000002,8.670000000000002,False,True,M1,50.0,90.0,all,,323846,all
2025-10-11 08:51:15.020000+00:00,39.434823,143.435661,11.5,1.3,-28.966946990740745,-2502744.22,6.974322567985996,-4.460000000000001,4.460000000000001,False,True,M1,50.0,90.0,all,,323847,all
2025-10-14 01:53:53.940000+00:00,39.76794,143.431022,12.8,1.6,-26.256774305555552,-2268585.3,41.072812744192994,-3.16,3.16,False,True,M1,50.0,90.0,all,,323848,all
2025-10-14 04:53:20.750000+00:00,39.39729,143.567139,8.41,1.4,-26.13215844907408,-2257818.49,5.31978645013626,-7.550000000000001,7.550000000000001,False,True,M1,50.0,90.0,all,,323849,all
2025-10-14 12:40:55.050000+00:00,39.764376,143.426367,12.59,1.9,-25.80745590277778,-2229764.19,40.746066511622175,-3.370000000000001,3.370000000000001,False,True,M1,50.0,90.0,all,,323850,all
2025-10-14 20:41:15.760000+00:00,39.770675,143.427881,11.59,1.1,-25.47388287037037,-2200943.48,41.41570124703741,-4.370000000000001,4.370000000000001,False,True,M1,50.0,90.0,all,,323851,all
2025-10-15 00:05:29.230000+00:00,39.761344,143.431706,13.54,2.2,-25.332060300925924,-2188690.01,40.33928017428258,-2.4200000000000017,2.4200000000000017,False,True,M1,50.0,90.0,all,,323852,all
2025-10-15 00:10:48.950000+00:00,39.766711,143.428499,12.44,2.1,-25.328359837962964,-2188370.29,40.97218289061541,-3.5200000000000014,3.5200000000000014,False,True,M1,50.0,90.0,all,,323853,all
2025-10-15 03:57:30.200000+00:00,39.71036,143.198128,12.97,1.4,-25.170937962962963,-2174769.04,43.15907287482519,-2.99,2.99,False,True,M1,50.0,90.0,all,,323854,all
2025-10-15 15:12:20.340000+00:00,39.769076,143.425667,11.66,1.2,-24.702302083333333,-2134278.9,41.27133760591615,-4.300000000000001,4.300000000000001,False,True,M1,50.0,90.0,all,,323855,all
2025-10-16 12:48:59.990000+00:00,39.63265,143.230192,14.18,1.4,-23.801843171296294,-2056479.25,34.786427302799055,-1.7800000000000011,1.7800000000000011,False,True,M1,50.0,90.0,all,,323856,all
2025-10-17 09:38:10.420000+00:00,39.766414,143.430859,11.79,1.7,-22.93436134259259,-1981528.82,40.9074071527194,-4.170000000000002,4.170000000000002,False,True,M1,50.0,90.0,all,,323857,all
2025-10-17 11:21:06.040000+00:00,39.763253,143.424984,12.26,1.6,-22.86288425925926,-1975353.2,40.642957173103085,-3.700000000000001,3.700000000000001,False,True,M1,50.0,90.0,all,,323858,all
2025-10-17 11:34:35.040000+00:00,39.353707,143.576318,12.95,2.3,-22.85352083333333,-1974544.2,8.184883434345078,-3.0100000000000016,3.0100000000000016,False,True,M1,50.0,90.0,all,,323859,all
2025-10-17 20:10:28.240000+00:00,39.768453,143.425391,11.94,1.4,-22.495266203703704,-1943591.0,41.2069751380176,-4.020000000000001,4.020000000000001,False,True,M1,50.0,90.0,all,,323860,all
2025-10-19 15:07:21.340000+00:00,39.716134,143.425863,14.1,2.5,-20.70576273148148,-1788977.9,35.47701193933119,-1.8600000000000008,1.8600000000000008,False,True,M1,50.0,90.0,all,,323861,all
2025-10-21 10:51:49.760000+00:00,39.714526,143.436963,12.31,1.6,-18.883211574074075,-1631509.48,35.12956077673504,-3.65,3.65,False,True,M1,50.0,90.0,all,,323862,all
2025-10-23 07:27:38.050000+00:00,39.453882,143.617025,14.49,2.5,-17.025013773148146,-1470961.19,11.107529199729026,-1.4700000000000006,1.4700000000000006,False,True,M1,50.0,90.0,all,,323863,all
2025-10-23 10:36:09.220000+00:00,39.453621,143.617188,15.6,2.5,-16.894097453703704,-1459650.02,11.104882759186436,-0.3600000000000012,0.3600000000000012,False,True,M1,50.0,90.0,all,,323864,all
2025-10-26 03:23:17.180000+00:00,39.73713,143.432178,13.05,2.5,-14.19469976851852,-1226422.06,37.67603907829189,-2.91,2.91,False,True,M1,50.0,90.0,all,,323865,all
2025-10-26 05:24:08.300000+00:00,39.74563,143.432259,11.8,1.3,-14.110774768518516,-1219170.94,38.607016059003776,-4.16,4.16,False,True,M1,50.0,90.0,all,,323866,all
2025-10-28 08:13:53.710000+00:00,39.710303,143.204606,13.63,1.1,-11.992888078703704,-1036185.53,42.81700115939613,-2.33,2.33,False,True,M1,50.0,90.0,all,,323867,all
2025-10-29 03:51:45.340000+00:00,39.396387,143.55695,12.21,2.4,-11.174929398148148,-965513.9,4.467616853802402,-3.75,3.75,False,True,M1,50.0,90.0,all,,323868,all
2025-10-29 04:14:46.570000+00:00,39.397559,143.562728,9.47,1.2,-11.158942939814816,-964132.67,4.939956509544613,-6.49,6.49,False,True,M1,50.0,90.0,all,,323869,all
2025-10-29 13:32:21.530000+00:00,39.765894,143.425944,11.9,1.6,-10.77173275462963,-930677.71,40.91853043365556,-4.0600000000000005,4.0600000000000005,False,True,M1,50.0,90.0,all,,323870,all
2025-10-31 18:23:23.960000+00:00,39.619409,143.242773,12.31,1.3,-8.569621296296297,-740415.28,32.974990200757944,-3.65,3.65,False,True,M1,50.0,90.0,all,,323871,all
2025-11-01 01:29:28.640000+00:00,39.57867,143.256413,11.89,1.7,-8.273733796296296,-714850.6,28.96177453557955,-4.07,4.07,False,True,M1,50.0,90.0,all,,323872,all
2025-11-01 02:45:26.890000+00:00,39.367375,143.306217,13.35,1.6,-8.220976273148148,-710292.35,17.595846853464955,-2.610000000000001,2.610000000000001,False,True,M1,50.0,90.0,all,,323873,all
,39.372856,143.369238,14.33,2.8,-7.309516666666666,-631542.24,12.197542966599707,-1.6300000000000008,1.6300000000000008,False,True,M1,50.0,90.0,all,,323874,all
2025-11-02 01:49:00.110000+00:00,39.370276,143.364469,13.13,1.7,-7.260175115740741,-627279.13,12.671815168375089,-2.83,2.83,False,True,M1,50.0,90.0,all,,323875,all
2025-11-02 23:38:53.980000+00:00,39.582837,143.263574,10.92,1.7,-6.350523842592593,-548685.26,28.82978993549062,-5.040000000000001,5.040000000000001,False,True,M1,50.0,90.0,all,,323876,all
2025-11-03 09:20:44.650000+00:00,39.147681,143.315723,8.46,2.2,-5.946465162037037,-513774.59,32.769048411813046,-7.5,7.5,False,True,M1,50.0,90.0,all,,323877,all
2025-11-03 09:31:38.850000+00:00,39.618095,143.242074,13.13,1.9,-5.9388934027777776,-513120.39,32.90987654148525,-2.83,2.83,False,True,M1,50.0,90.0,all,,323878,all
2025-11-03 19:14:41.040000+00:00,39.350492,143.562744,13.97,3.6,-5.534006944444444,-478138.2,7.631523346218334,-1.99,1.99,False,True,M1,50.0,90.0,all,,323879,all
2025-11-03 19:16:06.620000+00:00,39.354285,143.55363,12.29,5.3,-5.533016435185185,-478052.62,6.812814006077243,-3.6700000000000017,3.6700000000000017,False,True,M1,50.0,90.0,all,,323880,all
2025-11-03 19:23:57.560000+00:00,39.367432,143.546484,11.56,2.1,-5.527565740740741,-477581.68,5.291768674572431,-4.4,4.4,False,True,M1,50.0,90.0,all,,323881,all
2025-11-03 19:25:02.880000+00:00,39.357369,143.556283,10.16,1.7,-5.526809722222222,-477516.36,6.688952265374364,-5.800000000000001,5.800000000000001,False,True,M1,50.0,90.0,all,,323882,all
2025-11-03 19:32:35.880000+00:00,39.369873,143.553581,9.91,1.3,-5.521566666666667,-477063.36,5.529411513069132,-6.050000000000001,6.050000000000001,False,True,M1,50.0,90.0,all,,323883,all
2025-11-03 19:34:08.560000+00:00,39.356901,143.548503,12.39,1.3,-5.520493981481481,-476970.68,6.316995818225962,-3.5700000000000003,3.5700000000000003,False,True,M1,50.0,90.0,all,,323884,all
2025-11-03 19:36:54.880000+00:00,39.359688,143.569873,8.25,1.4,-5.518568981481481,-476804.36,7.328791687436111,-7.710000000000001,7.710000000000001,False,True,M1,50.0,90.0,all,,323885,all
2025-11-03 19:46:32.160000+00:00,39.363534,143.529639,12.0,1.5,-5.5118875,-476227.08,4.854754273072568,-3.960000000000001,3.960000000000001,False,True,M1,50.0,90.0,all,,323886,all
2025-11-03 19:50:07.200000+00:00,39.359424,143.55057,11.04,1.5,-5.509398611111111,-476012.04,6.200104533533605,-4.920000000000002,4.920000000000002,False,True,M1,50.0,90.0,all,,323887,all
2025-11-03 19:54:04.720000+00:00,39.354431,143.550081,11.17,1.6,-5.506649537037037,-475774.52,6.619460909308837,-4.790000000000001,4.790000000000001,False,True,M1,50.0,90.0,all,,323888,all
2025-11-03 19:55:07.600000+00:00,39.358899,143.57111,10.58,2.0,-5.50592175925926,-475711.64,7.466601760593837,-5.380000000000001,5.380000000000001,False,True,M1,50.0,90.0,all,,323889,all
2025-11-03 20:09:20.480000+00:00,39.369059,143.542432,9.88,2.0,-5.496050462962963,-474858.76,4.927501463191105,-6.08,6.08,False,True,M1,50.0,90.0,all,,323890,all
2025-11-03 20:28:19.120000+00:00,39.358529,143.578597,14.65,2.5,-5.482871759259259,-473720.12,7.9879694711922,-1.3100000000000005,1.3100000000000005,False,True,M1,50.0,90.0,all,,323891,all
2025-11-03 20:35:08.800000+00:00,39.362976,143.559082,11.82,2.2,-5.478130092592592,-473310.44,6.398648030484601,-4.140000000000001,4.140000000000001,False,True,M1,50.0,90.0,all,,323892,all
2025-11-03 20:41:38.600000+00:00,39.357471,143.550244,14.19,2.2,-5.473618518518519,-472920.64,6.3546384375528735,-1.7700000000000014,1.7700000000000014,False,True,M1,50.0,90.0,all,,323893,all
,39.35109,143.552702,11.63,1.6,-5.4668777777777775,-472338.24,7.053004467029071,-4.33,4.33,False,True,M1,50.0,90.0,all,,323894,all
2025-11-03 20:56:11.280000+00:00,39.365483,143.561882,10.41,1.5,-5.463518055555555,-472047.96,6.387542088743452,-5.550000000000001,5.550000000000001,False,True,M1,50.0,90.0,all,,323895,all
2025-11-03 20:58:41.880000+00:00,39.363123,143.552376,11.58,1.7,-5.461775,-471897.36,5.986560940878721,-4.380000000000001,4.380000000000001,False,True,M1,50.0,90.0,all,,323896,all
2025-11-03 21:00:16.040000+00:00,39.364518,143.553646,11.52,1.7,-5.460685185185185,-471803.2,5.947482543162149,-4.440000000000001,4.440000000000001,False,True,M1,50.0,90.0,all,,323897,all
2025-11-03 21:05:34.700000+00:00,39.364164,143.57902,13.19,1.9,-5.45699699074074,-471484.54,7.645075987864375,-2.7700000000000014,2.7700000000000014,False,True,M1,50.0,90.0,all,,323898,all
2025-11-03 22:14:52.200000+00:00,39.343933,143.579541,14.04,2.2,-5.408877777777778,-467327.04,9.140626251028957,-1.9200000000000017,1.9200000000000017,False,True,M1,50.0,90.0,all,,323899,all
2025-11-03 22:28:14.640000+00:00,39.35024,143.58488,11.12,1.5,-5.399590277777778,-466524.6,8.991831935732403,-4.840000000000002,4.840000000000002,False,True,M1,50.0,90.0,all,,323900,all
2025-11-03 22:35:22.560000+00:00,39.358398,143.576221,3.34,1.3,-5.3946375,-466096.68,7.838005211546606,-12.62,12.62,False,True,M1,50.0,90.0,all,,323901,all
2025-11-03 22:36:46.420000+00:00,39.357633,143.600114,11.52,1.4,-5.393666898148148,-466012.82,9.560604711306093,-4.440000000000001,4.440000000000001,False,True,M1,50.0,90.0,all,,323902,all
2025-11-03 22:41:26.240000+00:00,39.359578,143.552279,10.49,1.2,-5.390428240740741,-465733.0,6.279355990299355,-5.470000000000001,5.470000000000001,False,True,M1,50.0,90.0,all,,323903,all
2025-11-03 22:43:42.400000+00:00,39.384644,143.583203,12.49,1.3,-5.388852314814815,-465596.84,6.969701995889565,-3.4700000000000006,3.4700000000000006,False,True,M1,50.0,90.0,all,,323904,all
2025-11-03 22:44:13.960000+00:00,39.352779,143.545671,12.54,1.9,-5.388487037037037,-465565.28,6.564219588786632,-3.4200000000000017,3.4200000000000017,False,True,M1,50.0,90.0,all,,323905,all
2025-11-03 23:01:15.440000+00:00,39.37465,143.570345,4.56,1.3,-5.376664351851852,-464543.8,6.392973271818698,-11.400000000000002,11.400000000000002,False,True,M1,50.0,90.0,all,,323906,all
2025-11-03 23:28:46.060000+00:00,39.350476,143.480778,12.51,1.8,-5.357559953703704,-462893.18,6.227773421045103,-3.450000000000001,3.450000000000001,False,True,M1,50.0,90.0,all,,323907,all
2025-11-03 23:50:49.460000+00:00,39.343567,143.523568,11.5,1.1,-5.3422428240740745,-461569.78,6.792960776317853,-4.460000000000001,4.460000000000001,False,True,M1,50.0,90.0,all,,323908,all
2025-11-04 00:16:07.470000+00:00,39.34305,143.575895,11.59,1.7,-5.324673263888889,-460051.77,8.998403102470741,-4.370000000000001,4.370000000000001,False,True,M1,50.0,90.0,all,,323909,all
2025-11-04 00:35:21.560000+00:00,39.362512,143.586182,10.6,1.6,-5.31131574074074,-458897.68,8.258933749991877,-5.360000000000001,5.360000000000001,False,True,M1,50.0,90.0,all,,323910,all
2025-11-04 01:00:47.170000+00:00,39.373421,143.577148,7.19,1.6,-5.293658217592593,-457372.07,6.970857485485556,-8.77,8.77,False,True,M1,50.0,90.0,all,,323911,all
