node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,along_km,across_km,along_bin
2213,-1.0,1.0,888,240,2.1005833333333332,0.7171506512782472,0.7216388504054989,0.045923558473069226,0.6361524883037769,0.8196425744082465,robust,1.0,post_separator,5.0,-117.55463004859585,35.73047961530287,6.089264057489265,0.8025746348073786,"(6.0, 7.0]"
2156,-2.0,0.0,800,220,2.092,0.7274614437240398,0.7317725364151402,0.04834060647459243,0.6399140343139498,0.8310092520319537,robust,1.0,post_separator,5.0,-117.56568100941163,35.72146534305765,6.1694034440563055,2.214515737941875,"(6.0, 7.0]"
2099,-3.0,-1.0,650,179,2.1215642458100556,0.6931363939252115,0.695824244883999,0.052996145592690974,0.6091721232736541,0.8139380387083459,robust,1.0,post_separator,5.0,-117.57672948114218,35.71245004299572,6.249542830623345,3.6264568410763713,"(6.0, 7.0]"
2385,3.0,4.0,535,128,2.1023437499999997,0.7150719537383105,0.7185273387355746,0.061324960149623714,0.6091568231485597,0.8425842761965683,robust,1.0,post_separator,5.0,-117.51040503277375,35.75751372005814,6.514746756071873,-4.179288919446878,"(6.0, 7.0]"
2328,2.0,3.0,814,225,2.104711111111111,0.7122955019005844,0.7146858424202055,0.04858344800961968,0.6263253276879311,0.8121901151972379,robust,1.0,post_separator,5.0,-117.52146471326165,35.74850355069957,6.594886142638914,-2.767347816312382,"(6.0, 7.0]"
2271,1.0,2.0,893,243,2.0953497942386834,0.723402399852556,0.7251822244304454,0.04423365481763523,0.644135208267065,0.8120373313706896,robust,1.0,post_separator,5.0,-117.53252190116469,35.7394923514643,6.6750255292059535,-1.355406713177886,"(6.0, 7.0]"
2214,0.0,1.0,889,239,2.0978661087866106,0.7203829765407727,0.7184403920848098,0.046637688320477634,0.6376041932028366,0.8142292897356327,robust,1.0,post_separator,5.0,-117.54357659758901,35.73048012291478,6.755164915772994,0.05653438995661064,"(6.0, 7.0]"
2157,-1.0,0.0,822,223,2.087802690582959,0.7326121976203731,0.7367250890305702,0.048571579749642074,0.6457706553205966,0.8424820565905616,robust,1.0,post_separator,5.0,-117.5546288036405,35.72146686561311,6.835304302340034,1.4684754930911068,"(6.0, 7.0]"
2100,-2.0,-1.0,717,191,2.109947643979057,0.7062300118642982,0.7082646307570686,0.05202497044688499,0.6195447641719184,0.8193692522851768,robust,1.0,post_separator,5.0,-117.5656785204248,35.712452580121116,6.915443688907073,2.8804165962256034,"(6.0, 7.0]"
2043,-3.0,-2.0,426,105,2.091714285714285,0.7278097613892184,0.7352130992479107,0.07364312792648879,0.6082150130022197,0.8979780187053198,robust,1.0,post_separator,5.0,-117.57672574904731,35.70343726700036,6.995583075474113,4.2923576993601,"(6.0, 7.0]"
