time,latitude,longitude,depth_km,magnitude,event_id,phase,pre_M1_sensitivity
2020-01-02 19:47:34.060,42.314,142.969,53.4,0.4,113,pre_M1_reference,pre_M1_reference_7d
2020-01-02 19:51:34.560,38.359,142.154,25.3,0.9,114,pre_M1_reference,pre_M1_reference_7d
2020-01-02 20:56:15.870,39.022,142.337,34.2,0.6,115,pre_M1_reference,pre_M1_reference_7d
2020-01-02 21:14:46.150,38.921,140.879,8.6,0.2,116,pre_M1_reference,pre_M1_reference_7d
2020-01-02 21:16:13.410,38.688,141.133,84.5,0.4,117,pre_M1_reference,pre_M1_reference_7d
2020-01-02 22:02:22.430,38.457,142.257,33.1,1.5,118,pre_M1_reference,pre_M1_reference_7d
2020-01-02 22:45:16.890,38.571,142.17,34.9,1.2,119,pre_M1_reference,pre_M1_reference_7d
2020-01-02 22:55:14.510,42.712,141.29,0.0,0.5,120,pre_M1_reference,pre_M1_reference_7d
2020-01-02 22:56:45.010,39.036,140.794,9.0,0.6,121,pre_M1_reference,pre_M1_reference_7d
2020-01-02 23:33:19.140,38.365,144.075,3.0,2.7,122,pre_M1_reference,pre_M1_reference_7d
2020-01-02 23:55:56.270,39.868,140.385,8.0,0.4,123,pre_M1_reference,pre_M1_reference_7d
2020-01-03 00:01:01.040,42.731,143.254,101.6,0.8,124,pre_M1_reference,pre_M1_reference_7d
2020-01-03 00:24:00.540,39.035,142.34,33.0,0.9,125,pre_M1_reference,pre_M1_reference_7d
2020-01-03 00:35:01.120,39.573,140.268,164.0,1.9,126,pre_M1_reference,pre_M1_reference_7d
2020-01-03 01:14:57.390,38.954,140.113,145.0,1.5,127,pre_M1_reference,pre_M1_reference_7d
2020-01-03 01:31:53.730,39.678,142.471,49.6,0.7,128,pre_M1_reference,pre_M1_reference_7d
2020-01-03 01:32:09.570,39.889,140.898,3.9,0.9,129,pre_M1_reference,pre_M1_reference_7d
2020-01-03 01:36:38.420,39.026,140.78,8.4,0.2,130,pre_M1_reference,pre_M1_reference_7d
2020-01-03 01:40:22.930,39.041,140.791,9.4,1.0,131,pre_M1_reference,pre_M1_reference_7d
2020-01-03 01:47:27.680,38.251,144.56,42.0,3.5,132,pre_M1_reference,pre_M1_reference_7d
2020-01-03 01:47:50.700,38.944,140.873,7.4,0.4,133,pre_M1_reference,pre_M1_reference_7d
2020-01-03 01:56:48.650,38.214,144.566,44.0,3.5,134,pre_M1_reference,pre_M1_reference_7d
2020-01-03 02:09:05.270,42.917,145.478,45.5,3.8,135,pre_M1_reference,pre_M1_reference_7d
2020-01-03 02:50:46.130,42.93,142.922,5.5,1.0,136,pre_M1_reference,pre_M1_reference_7d
2020-01-03 02:55:56.420,38.366,142.189,25.8,1.5,137,pre_M1_reference,pre_M1_reference_7d
2020-01-03 04:17:53.750,38.906,141.131,96.2,0.3,138,pre_M1_reference,pre_M1_reference_7d
2020-01-03 04:22:54.420,42.747,140.349,31.3,0.9,139,pre_M1_reference,pre_M1_reference_7d
2020-01-03 04:23:40.660,42.757,140.345,33.0,0.7,140,pre_M1_reference,pre_M1_reference_7d
2020-01-03 04:38:06.400,39.814,142.32,23.1,1.0,141,pre_M1_reference,pre_M1_reference_7d
2020-01-03 05:00:38.830,42.495,144.496,73.9,1.4,142,pre_M1_reference,pre_M1_reference_7d
2020-01-03 05:07:37.470,40.125,143.298,10.3,2.3,143,pre_M1_reference,pre_M1_reference_7d
2020-01-03 05:21:34.110,38.746,142.301,27.2,0.8,144,pre_M1_reference,pre_M1_reference_7d
2020-01-03 05:32:23.160,38.302,141.492,16.0,0.6,145,pre_M1_reference,pre_M1_reference_7d
2020-01-03 06:08:38.350,39.608,141.614,97.2,0.6,146,pre_M1_reference,pre_M1_reference_7d
2020-01-03 06:21:58.760,40.05,141.809,55.6,0.8,147,pre_M1_reference,pre_M1_reference_7d
