fault_id,n_vertices,min_lon,max_lon,min_lat,max_lat,min_x_km,max_x_km,min_y_km,max_y_km,mean_strike_deg
101,6,-117.378027292525,-117.37802293531,35.5786357297551,35.57866806398,15.58776387374482,15.588165088681311,-17.89015409478841,-17.88656726686932,173.6223675301565
102,5,-117.377997459315,-117.377992433004,35.5786581390619,35.5786794790748,15.590469906377173,15.590923242250147,-17.887663712885647,-17.885295334692405,9.158877306841605
103,14,-117.731557908,-117.730902695,35.6696550538667,35.6786230299999,-16.43641726523437,-16.378336210548987,-7.78989140469778,-6.794811064180392,178.3353570237417
104,5,-117.37799068742,-117.377988654952,35.5786709004418,35.5786859353077,15.591081240213645,15.591262547183787,-17.886246748174955,-17.884578289876256,6.201714496850534
105,6,-117.377985867953,-117.37797756811,35.5786893788118,35.5787130228878,15.59151449477287,15.59226221062786,-17.884195786723378,-17.881571131714583,15.900251557130382
106,4,-117.377974430376,-117.377968716983,35.5787164681905,35.5787307988873,15.59254594863089,15.593061033695404,-17.881188373295565,-17.879597458954265,17.94501453120985
107,6,-117.377981316485,-117.377973347592,35.5787274686978,35.5787472456889,15.591919651608775,15.592638203357334,-17.87996894751315,-17.87777340280154,18.136095670584307
108,4,-117.377972746845,-117.377968672916,35.5787585681534,35.5787682898248,15.592688487970566,15.59305963855707,-17.87651641990757,-17.875438436027096,161.00350850670222
109,5,-117.377587890968,-117.377586361222,35.5782384137718,35.5782535583551,15.627672217073172,15.62781382096492,-17.934167382536415,-17.932487317120042,175.17020196208736
110,6,-117.375061100889,-117.375054579006,35.5750963192398,35.5751256830039,15.85732681350507,15.857912193549817,-18.282381522730123,-18.27912252837799,10.18855168703814
111,6,-117.375077869648,-117.375063395959,35.575085389779,35.5751146294367,15.855808968562428,15.857118044078192,-18.283596865317836,-18.280350565865653,20.56113999746032
112,3,-117.375057985638,-117.375056727486,35.5750903189631,35.5751046316735,15.85760755450213,15.857722898125788,-18.283046746090644,-18.281458746271753,179.6902512299437
113,4,-117.375051468251,-117.375049916021,35.5750857594003,35.5751023662812,15.858199758763138,15.858339470733277,-18.283551556295407,-18.281708791155246,3.5810829747773796
114,4,-117.375047906036,-117.375046805266,35.5750743218226,35.5750907803153,15.858525195634577,15.858626979557508,-18.28481985193438,-18.282993861647697,178.18747054952217
115,2,-117.375023972378,-117.37502190034,35.5750242934365,35.5750311705521,15.860706538819237,15.860893001081507,-18.290366868700985,-18.289603510700374,13.726610134715488
116,4,-117.374971203758,-117.374968843038,35.5751123532526,35.5751300932793,15.865468856734598,15.865686346530893,-18.280587633261714,-18.27861973941523,173.68531799362884
117,4,-117.374906044278,-117.37489684961,35.575002789747,35.5750210828567,15.871396757338804,15.872233820875294,-18.29273219127617,-18.290704036766382,157.54622130649088
118,3,-117.374915434999,-117.374911181206,35.5749951581001,35.5750055938332,15.870548595306746,15.870936241379956,-18.293581246572636,-18.29242407803984,161.37244892430664
119,3,-117.374905120675,-117.37490387961,35.5750074905033,35.5750166482997,15.871482540516253,15.871595658337293,-18.292211773280297,-18.291195882436643,174.4035304973256
120,2,-117.374841172582,-117.374835313499,35.5748816007053,35.5748979000181,15.87730138811326,15.877835705866756,-18.306168300544233,-18.304360821329904,163.53153652981467
121,3,-117.374678940281,-117.37467323768,35.5747279452385,35.5747486818063,15.892036458639149,15.892557473614705,-18.323190327948225,-18.32089050612866,167.23502136613143
122,5,-117.374684365891,-117.374680106702,35.5747266349263,35.5747472329984,15.891544939446698,15.891933276733186,-18.32333684128614,-18.321052130757167,170.53773050817688
123,4,-117.374348231686,-117.374343348367,35.5742423014411,35.5742752094334,15.922107436615132,15.922556609676343,-18.377019600161216,-18.37336921493355,173.00766983040393
124,5,-117.374353718449,-117.374351821779,35.5742797761908,35.574310405301,15.921607762699097,15.921778353645616,-18.372863241923383,-18.369464989497956,179.07034338222937
125,11,-117.605432442,-117.604482885277,35.777387329162,35.7811559580001,-5.011765819384169,-4.926115077303883,4.149664071851166,4.567858141294438,168.85675084656216
126,4,-117.374354252647,-117.374352883878,35.5742502838236,35.5742721877114,15.921566458894077,15.92168914124977,-18.376135713333625,-18.37370529953718,1.9150342907852478
127,11,-117.660986139199,-117.660928135625,35.9063681824457,35.9066647752592,-10.018709815869379,-10.013504480845347,18.465174485169747,18.49808721464294,174.1430939035525
128,12,-117.699972465757,-117.699624281535,35.8898059187082,35.8900543995909,-13.540867281693222,-13.50938793605455,16.632165529320552,16.659688134505178,46.860104741461555
