event_time,latitude,longitude,depth_km,magnitude,elapsed_hr_since_64,x_km,y_km
2019-07-05 23:39:18.960000+00:00,35.68302179518505,-117.50615029126512,6.84917081,1.05,30.091644444444444,3.4224822695631656,-0.10793597454028094
2019-07-05 23:39:53.720000+00:00,35.73237479518505,-117.52058185387357,5.158017200000001,0.77,30.1013,2.114788554388061,5.367549696152981
2019-07-05 23:40:11.280000+00:00,35.69298279518505,-117.5026270096134,9.12097802,0.69,30.10617777777778,3.7409556129484454,0.9973975735236356
2019-07-05 23:40:47.240000+00:00,35.71148879518505,-117.51707334513178,3.27815117,0.74,30.116166666666665,2.4328287081926674,3.0502487636198743
2019-07-05 23:40:57.720000+00:00,35.67755379518505,-117.50203189708456,4.01122634,1.79,30.119077777777775,3.795551076884852,-0.7144761109686464
2019-07-05 23:41:57+00:00,35.56041879518505,-117.48827047848984,6.1596446600000005,0.7,30.135544444444445,5.048722894277511,-13.710213462742734
2019-07-05 23:42:34.760000+00:00,35.76111479518505,-117.54553593250972,4.693494320000001,1.11,30.146033333333335,-0.14268952742835048,8.556126050043096
2019-07-05 23:43:00.640000+00:00,35.70754179518505,-117.47141906018712,3.30718385,0.74,30.153222222222222,6.564451656304492,2.6144061848504845
2019-07-05 23:43:19.880000+00:00,35.63575679518505,-117.54734088750958,7.29191918,0.81,30.158566666666665,-0.30639948997168237,-5.352768702375527
2019-07-05 23:43:58.080000+00:00,35.66458579518505,-117.46220296266468,8.351612000000001,1.46,30.169177777777776,7.402433098708653,-2.1510433694565747
2019-07-05 23:44:26.640000+00:00,35.69003279518505,-117.49521279683414,9.08468717,0.71,30.177111111111113,4.4121922440038785,0.6703931007553567
2019-07-05 23:44:53.260000+00:00,35.68604579518505,-117.5011125093068,3.03137339,0.98,30.184505555555557,3.8783716184229733,0.22777360772458496
2019-07-05 23:45:54.720000+00:00,35.75202479518505,-117.57562127475155,6.181419170000001,1.09,30.201577777777775,-2.8637784758867704,7.5480103791991215
2019-07-05 23:46:20.640000+00:00,35.72443279518505,-117.55462327998404,4.860432230000001,0.82,30.20877777777778,-0.9649447981564333,4.4861538929243
2019-07-05 23:46:49.200000+00:00,35.735866795185046,-117.54593210627698,4.70075249,0.52,30.216711111111113,-0.1785738009811478,5.754751391402116
2019-07-05 23:47:29.400000+00:00,35.75507579518505,-117.55308749549094,4.61365445,0.6,30.227877777777778,-0.825676364955278,7.886108933635981
2019-07-05 23:47:44.760000+00:00,35.64070479518505,-117.54704024346418,10.05728195,0.81,30.232144444444444,-0.27915099420399886,-4.803777575239123
2019-07-05 23:48:14.240000+00:00,35.61211579518505,-117.59567118799728,8.772585860000001,0.79,30.240333333333332,-4.685367822789694,-7.974558613428206
2019-07-05 23:48:21.820000+00:00,35.67009479518505,-117.51295235954711,7.081432250000001,1.19,30.242438888888888,2.807190556393324,-1.5424412760797233
2019-07-05 23:48:54.780000+00:00,35.70717979518505,-117.47462503405616,4.0692917,1.54,30.251594444444446,6.2743541485192305,2.5740314265667346
2019-07-05 23:49:38.200000+00:00,35.56124879518505,-117.60059153797155,6.645942050000001,0.78,30.263655555555555,-5.13441594697083,-13.618075260284808
2019-07-05 23:49:48.800000+00:00,35.73013279518505,-117.52345469184368,5.528183870000001,0.79,30.266599999999997,1.8549424872485873,5.118732695712014
2019-07-05 23:50:33.040000+00:00,35.73911379518505,-117.5579123410107,4.170906080000001,2.02,30.27888888888889,-1.2622953701680326,6.115107398666748
2019-07-05 23:51:03.240000+00:00,35.61842279518505,-117.52439864120308,9.53469371,1.36,30.287277777777778,1.7720112417721101,-7.275841392786469
2019-07-05 23:51:39.720000+00:00,35.645696795185046,-117.51776060267224,9.27339959,1.57,30.29741111111111,2.3725848866642103,-4.249591272267094
2019-07-05 23:52:00.480000+00:00,35.67458679518505,-117.46614268324215,6.14512832,2.29,30.30317777777778,7.044836510489002,-1.041693370967131
2019-07-05 23:52:51.680000+00:00,35.707757795185046,-117.46905907577931,2.64669038,0.77,30.3174,6.778001089814196,2.638532474507882
2019-07-05 23:53:23.360000+00:00,35.78386079518505,-117.56646857971882,1.7757099800000002,0.16,30.326200000000004,-2.0351511658017754,11.080135918694136
2019-07-05 23:53:37.280000+00:00,35.55196379518505,-117.6460898727034,9.63630809,0.52,30.330066666666667,-9.260386859793115,-14.644922941962365
2019-07-05 23:54:17.200000+00:00,35.76983079518505,-117.59505656348227,3.88057928,1.21,30.341155555555556,-4.620576530166684,9.524408407746018
2019-07-05 23:54:36.960000+00:00,35.732517795185046,-117.5549248642088,4.381393010000001,1.51,30.346644444444443,-0.992130802218678,5.383219786646714
2019-07-05 23:55:19.800000+00:00,35.778061795185046,-117.55040315959386,5.31043877,0.9,30.358544444444444,-0.5827329407583102,10.43649393277112
2019-07-05 23:55:52.320000+00:00,35.72001379518505,-117.55992096076422,6.8636871500000005,2.02,30.36757777777778,-1.4443392291136754,3.9959137797349866
2019-07-05 23:56:50.640000+00:00,35.69164879518505,-117.49297491339004,1.9644224,0.74,30.38377777777778,4.614661611223652,0.8497964298457021
2019-07-05 23:57:05.360000+00:00,35.73103279518505,-117.53138175688474,8.387902850000001,2.03,30.387866666666667,1.137769040180969,5.218470501387769
2019-07-05 23:58:13.440000+00:00,35.71976179518505,-117.53163294256233,3.67735052,2.25,30.406777777777776,1.1152015817995595,3.9679060089520637
2019-07-05 23:58:36.260000+00:00,35.74771179518505,-117.5718369627634,5.317696940000001,1.04,30.413116666666667,-2.5216418605310214,7.069360388439558
2019-07-05 23:58:50.760000+00:00,35.748069795185046,-117.5535589886574,6.2612590400000006,1.04,30.417144444444446,-0.8683950643396203,7.108766461646301
2019-07-06 00:00:11.780000+00:00,35.65416879518505,-117.5371132124924,6.479004140000001,1.17,30.43965,0.6198451342483966,-3.309896189982774
2019-07-06 00:00:31.710000+00:00,35.67397279518505,-117.57793463899286,7.843540100000001,1.12,30.44518611111111,-3.0760080146203275,-1.1120768523167537
2019-07-06 00:00:45.290000+00:00,35.78722579518505,-117.61251382356092,5.13624269,1.04,30.448958333333334,-6.197799728350822,11.455430888092602
2019-07-06 00:01:17.780000+00:00,35.71715279518505,-117.53395975412836,3.08218058,0.49,30.457983333333335,0.9046974144745314,3.678403639951149
2019-07-06 00:01:47.530000+00:00,35.77291479518505,-117.55235578680563,5.499151190000001,1.18,30.466247222222222,-0.7593299599831766,9.865422699478438
2019-07-06 00:02:05.750000+00:00,35.67521379518505,-117.51193572842968,6.065288450000001,1.62,30.471308333333337,2.8990488856312826,-0.9744436379512842
2019-07-06 00:02:55.020000+00:00,35.77382179518505,-117.59887285249118,7.10320676,0.94,30.484994444444443,-4.965416469599961,9.967415251651303
2019-07-06 00:03:09.760000+00:00,35.70534479518505,-117.47152390160376,2.3273309,1.01,30.48908888888889,6.555143817320698,2.370634215843716
2019-07-06 00:03:56.040000+00:00,35.67415579518505,-117.58140165218104,8.23548128,1.4,30.501944444444444,-3.3898805432675023,-1.0916583557684765
2019-07-06 00:04:22.800000+00:00,35.67470479518505,-117.47158769174624,1.86280802,1.0,30.509377777777775,6.5518759722902695,-1.028977754248119
2019-07-06 00:04:34.660000+00:00,35.69602679518505,-117.45995122920522,3.74993222,1.1,30.51267222222222,7.603330496486022,1.3376041489606554
2019-07-06 00:04:56.690000+00:00,35.67478679518505,-117.57547769765588,9.06291266,0.91,30.518791666666665,-2.8535439411822283,-1.0218352853099304
2019-07-06 00:05:27+00:00,35.81475279518505,-117.45130081980552,10.71051725,1.03,30.527211111111114,8.373824225461815,14.511486971411728
2019-07-06 00:06:12.160000+00:00,35.75847779518505,-117.55860474166433,5.564474720000001,0.94,30.539755555555555,-1.3246090366931345,8.263636562305662
2019-07-06 00:06:32.250000+00:00,35.67233279518505,-117.50728852080915,3.28540934,1.06,30.545336111111112,3.3198888953276575,-1.2939520195624892
2019-07-06 00:06:38.750000+00:00,35.74831379518505,-117.5804630063061,5.992706750000001,1.31,30.54714166666667,-3.301842693951833,7.136410738566405
2019-07-06 00:07:13.090000+00:00,35.63417379518505,-117.55891377364836,3.85880477,0.91,30.556680555555555,-1.354657600326172,-5.528308297115881
2019-07-06 00:07:22.080000+00:00,35.71972879518505,-117.52886594017876,5.557216550000001,1.37,30.559177777777776,1.3655649665568559,3.964279485041221
2019-07-06 00:07:42.910000+00:00,35.73515879518505,-117.55108405509888,6.508036820000001,0.82,30.564963888888887,-0.64464232513281,5.676217482977513
2019-07-06 00:07:59.670000+00:00,35.62080279518505,-117.5233248122608,8.954040110000001,0.83,30.569619444444445,1.8692404889292826,-7.011755824596441
2019-07-06 00:08:32.110000+00:00,35.72333779518505,-117.54918720087691,4.054775360000001,1.36,30.578630555555556,-0.47311479473867435,4.364619576519861
2019-07-06 00:08:48.650000+00:00,35.62129079518505,-117.5705908473373,4.678977980000001,1.83,30.583225,-2.412733991272941,-6.957480551241494
2019-07-06 00:09:26.840000+00:00,35.74352879518505,-117.55232166024248,5.252373410000001,0.78,30.593833333333333,-0.7565221419129038,6.604912767230586
2019-07-06 00:09:42.980000+00:00,35.70121479518505,-117.50177360353965,6.602393030000001,0.94,30.59831666666667,3.8178066360693927,1.9107987370859598
2019-07-06 00:09:57.540000+00:00,35.56861779518505,-117.60402606617586,4.570105430000001,1.09,30.60236111111111,-5.445293028145731,-12.800292926144005
2019-07-06 00:10:29.970000+00:00,35.83229779518505,-117.58699609357689,0.60714461,0.46,30.611369444444442,-3.888666008537217,16.455104462990025
2019-07-06 00:10:58.890000+00:00,35.76206679518505,-117.56113600141413,6.0507721100000005,2.83,30.61940277777778,-1.5534609581528096,8.66188959395395
2019-07-06 00:11:59.070000+00:00,35.69480579518505,-117.49731314111924,5.891092370000001,1.95,30.636119444444443,4.221827659913612,1.1998809061966247
2019-07-06 00:13:02.480000+00:00,35.726413795185046,-117.55961142311018,4.80962504,3.62,30.653733333333335,-1.416218617060449,4.706014087333823
2019-07-06 00:13:52.020000+00:00,35.74124579518505,-117.5399184951588,8.91049109,2.87,30.667494444444444,0.3654133562878638,6.351579548889155
2019-07-06 00:14:41.390000+00:00,35.76826379518505,-117.5931764500233,4.2144551,3.0,30.681208333333334,-4.450654544664401,9.350455485486627
2019-07-06 00:15:38.810000+00:00,35.76882179518505,-117.5929804904244,4.258004120000001,3.05,30.697158333333334,-4.43290361191913,9.412359346686294
2019-07-06 00:15:54.760000+00:00,35.76565179518505,-117.58887926092036,4.0692917,2.63,30.70158888888889,-4.0622063919564395,9.060455517725101
2019-07-06 00:18:26.550000+00:00,35.76790979518505,-117.59292342439304,4.0692917,1.86,30.743752777777775,-4.427793864788989,9.311166077600776
2019-07-06 00:18:57.430000+00:00,35.76706779518505,-117.60917536343256,5.03462831,2.78,30.752330555555556,-5.897472535526445,9.2185970001927
2019-07-06 00:19:29.030000+00:00,35.73626879518505,-117.56150913533652,4.352360330000001,1.79,30.761108333333336,-1.587716868555785,5.7994950595349115
2019-07-06 00:20:06.680000+00:00,35.74066779518505,-117.53917845336656,8.830651220000002,3.21,30.771566666666665,0.43235867789556864,6.287451024551993
2019-07-06 00:21:01.630000+00:00,35.66408879518505,-117.52070792686486,3.45234725,1.53,30.786830555555554,2.1051768860847986,-2.209017941353168
2019-07-06 00:21:01.670000+00:00,35.66055679518505,-117.5116826724736,4.526556410000001,1.11,30.786841666666668,2.9224927538367917,-2.6006721210259887
2019-07-06 00:21:27.350000+00:00,35.72514479518505,-117.51541433142404,5.3031806,1.05,30.793975,2.5825138878495624,4.565476032001263
2019-07-06 00:21:59.870000+00:00,35.62220679518505,-117.5870129131799,8.12660873,1.39,30.803008333333334,-3.9004105618571705,-6.855321038590441
2019-07-06 00:22:19.950000+00:00,35.75032779518505,-117.56604215198828,3.98945183,1.46,30.80858611111111,-1.9974358567869621,7.359483604899163
2019-07-06 00:22:27.380000+00:00,35.58190279518505,-117.59938801892017,4.19268059,1.69,30.81065,-5.024013456946885,-11.326553986016233
2019-07-06 00:22:38.240000+00:00,35.64738979518505,-117.55991572451512,7.3354682,1.42,30.813666666666666,-1.44517452447717,-4.061947695425519
2019-07-06 00:23:03.850000+00:00,35.77109979518505,-117.55714965537096,5.891092370000001,0.79,30.820780555555555,-1.1928258545886916,9.664087445978462
2019-07-06 00:23:18.410000+00:00,35.64765479518505,-117.53639674358772,5.91286688,1.01,30.824824999999997,0.6847810878173568,-4.032636295647775
2019-07-06 00:24:26.140000+00:00,35.76310479518505,-117.56832207654676,6.079804790000001,0.9,30.84363888888889,-2.20329624884545,8.777197982971742
2019-07-06 00:24:47.040000+00:00,35.71290479518505,-117.5532554473702,3.29992568,0.94,30.849444444444444,-0.841309463799374,3.2070659769648078
2019-07-06 00:24:56.400000+00:00,35.74130279518505,-117.53873849928024,8.533066250000001,1.08,30.852044444444445,0.47215228600599046,6.357908972236407
2019-07-06 00:25:26.900000+00:00,35.59804079518505,-117.59904717711048,5.81851067,0.69,30.860516666666665,-4.992117810361108,-9.536037464078502
2019-07-06 00:25:49.450000+00:00,35.79378479518505,-117.6006242989702,5.21608256,1.14,30.866780555555557,-5.122503167413849,12.182499761859157
2019-07-06 00:26:24.320000+00:00,35.73916679518505,-117.55093734484252,5.680605440000001,1.24,30.876466666666666,-0.6313386735873886,6.120920705583696
2019-07-06 00:27:06.800000+00:00,35.62770379518505,-117.55608930836998,4.773334190000001,1.15,30.888266666666667,-1.0989109909695767,-6.246204122052624
2019-07-06 00:27:46.700000+00:00,35.72444479518505,-117.559359280851,4.60639628,0.75,30.899350000000002,-1.3934405540032682,4.487542214396744
2019-07-06 00:28:21.980000+00:00,35.73604579518505,-117.56012511921637,5.2451152400000005,1.18,30.90915,-1.46251876770858,5.774730793023925
2019-07-06 00:28:52.860000+00:00,35.687567795185046,-117.491070619061,5.970932240000001,1.04,30.91772777777778,4.787269519602617,0.3970873517141129
2019-07-06 00:29:27.910000+00:00,35.77043279518505,-117.55939560707256,6.326582570000001,1.21,30.927463888888887,-1.395924445582469,9.590110240695836
2019-07-06 00:29:56.220000+00:00,35.74754879518505,-117.56871995097382,5.3467296200000005,1.25,30.935327777777776,-2.2397126868582853,7.051199246732617
2019-07-06 00:30:27.060000+00:00,35.69179079518505,-117.4825019236324,2.21120018,0.58,30.943894444444446,5.562597247012461,0.8660943957913827
2019-07-06 00:30:33.470000+00:00,35.66270579518505,-117.4986858272494,5.39753681,0.85,30.945674999999998,4.099227535669106,-2.3617702222327868
2019-07-06 00:31:05.670000+00:00,35.60450679518505,-117.5851646414207,4.72978517,0.81,30.954619444444447,-3.733795264475622,-8.819240497538289
2019-07-06 00:31:07.950000+00:00,35.790700795185046,-117.5819880754166,9.476628350000002,0.76,30.95525277777778,-3.437960746495876,11.839501274057593
2019-07-06 00:31:18.310000+00:00,35.77103079518505,-117.60074465037448,4.36687667,0.95,30.958130555555556,-5.134844593090852,9.657836762917855
2019-07-06 00:31:46.010000+00:00,35.66001979518505,-117.5217736338002,6.30480806,0.79,30.965825,2.0087849131179967,-2.6605069841148623
2019-07-06 00:31:57.720000+00:00,35.67344779518505,-117.51515860115865,8.939523770000001,1.33,30.969077777777777,2.6073334217105404,-1.1704769173986418
2019-07-06 00:32:42.940000+00:00,35.72602379518505,-117.56185839493182,4.686236150000001,0.97,30.981638888888888,-1.6195192337055724,4.6627767879118895
2019-07-06 00:33:56.840000+00:00,35.64468379518505,-117.58410152977292,8.329837490000001,0.89,31.002166666666668,-3.6356447900641946,-4.361559699687706
2019-07-06 00:34:21.210000+00:00,35.631996795185046,-117.57933961707674,7.74918389,1.09,31.00893611111111,-3.2048821486716688,-5.769377381721299
2019-07-06 00:35:38.870000+00:00,35.74422779518505,-117.53600471079086,6.101579300000001,1.64,31.030508333333334,0.7194169891260177,6.68246671192749
