interval_index,interval_label,start_time,end_time,event_count_reference,event_count_actual,convex_status,convex_area_m2,convex_perimeter_m,convex_centroid_distance_to_mainshock71_m,convex_nearest_fault_distance_m,convex_fault_points_within_3km,convex_compactness,convex_major_axis_m,convex_minor_axis_m,convex_orientation_deg,hours_since_mainshock64_start,alpha_status,alpha_area_m2,alpha_perimeter_m,alpha_centroid_distance_to_mainshock71_m,alpha_nearest_fault_distance_m,alpha_fault_points_within_3km,alpha_compactness,alpha_major_axis_m,alpha_minor_axis_m,alpha_orientation_deg,component_count,accepted_triangle_count,hotspot_longitude,hotspot_latitude,step_distance_m,cumulative_path_length_m,hotspot_distance_to_mainshock71_m,hotspot_nearest_fault_distance_m,hotspot_fault_points_within_3km,peak_density,convex_area_change_m2,alpha_area_change_m2,convex_distance_change_to_mainshock71_m,alpha_distance_change_to_mainshock71_m,hotspot_distance_change_to_mainshock71_m,alpha_component_count_change,convex_area_ratio_to_previous,alpha_area_ratio_to_previous,process_flag,near_complex_fault_zone
21,morphology_1h_21,2019-07-05T13:33:49.040000+0000,2019-07-05T14:33:49.040000+0000,135,135,ok,523430026.5690813,100370.5913844035,13819.256820739178,2331.3908711843405,31,0.6529133224346608,39503.4762235766,22004.03610635581,67.92289677001963,20.0,ok,2465248.3799983817,19230.78829911613,9053.243969615818,1032.7212599945192,326,0.08376765773746916,22072.482220668116,8729.731966977593,76.29642980215078,7,52,,,,,,,,,222397894.32788354,-1374191.1195746441,2834.088961710424,5069.0854064022105,,1.0,1.7387845698468174,0.6420854867676742,defocusing;bifurcation,False
22,morphology_1h_22,2019-07-05T14:33:49.040000+0000,2019-07-05T15:33:49.040000+0000,148,148,ok,343217919.6661272,76975.24995770706,9510.921150341472,2097.577403379645,254,0.7279098612412178,30304.140827995976,16090.956508535386,93.26167186819646,21.0,ok,2130648.4000755576,21218.37656961847,7206.371920874913,921.4759965355393,453,0.0594699189872623,21528.312256065423,11295.094112330928,142.40728706025334,10,53,,,,,,,,,-180212106.9029541,-334599.9799228241,-4308.335670397706,-1846.8720487409055,,3.0,0.6557092681820574,0.8642733192170098,focusing;bifurcation,True
23,morphology_1h_23,2019-07-05T15:33:49.040000+0000,2019-07-05T16:33:49.040000+0000,162,162,ok,323621580.9322066,72934.44522465265,11158.890148557688,958.3873221511087,414,0.7645078893318843,26552.91530285263,17755.115004164603,90.93710365831055,22.0,ok,1667935.0336148008,22672.039145842697,10976.971069094361,844.7830515794668,544,0.040776301266166826,21445.95720839186,11872.073227592688,150.3882323390153,11,52,,,,,,,,,-19596338.733920634,-462713.36646075686,1647.9689982162163,3770.5991482194486,,1.0,0.9429040920911607,0.7828297871932562,bifurcation,True
24,morphology_1h_24,2019-07-05T16:33:49.040000+0000,2019-07-05T17:33:49.040000+0000,152,152,ok,462685305.75052106,86063.0551672643,10029.114178368362,3701.2378695853663,0,0.7849862559743711,27021.298601170656,23066.12338299116,131.61410124184596,23.0,ok,3826307.813648323,26805.996905963893,5821.499356702332,528.3952740132614,479,0.0669153636399722,24034.087997234026,12568.565844055229,88.41729080822347,9,58,,,,,,,,,139063724.8183145,2158372.7800335223,-1129.7759701893265,-5155.471712392029,,-2.0,1.4297109124111413,2.2940388783343852,defocusing;bifurcation,True
25,morphology_1h_25,2019-07-05T17:33:49.040000+0000,2019-07-05T18:33:49.040000+0000,146,146,ok,756727096.9785944,116040.7819102786,9886.697507058969,2663.5002259468442,52,0.7062002329742071,48292.337774420106,21452.128400530455,127.91965127292121,24.0,ok,1883232.2383524792,19220.946454860252,8826.347776993318,810.1957805217677,345,0.06405664763264292,13058.775916401833,7124.304400362806,104.61419731394676,9,42,,,,,,,,,294041791.22807336,-1943075.5752958439,-142.41667130939277,3004.848420290986,,0.0,1.6355114103982806,0.49218001532313926,bifurcation,False
26,morphology_1h_26,2019-07-05T18:33:49.040000+0000,2019-07-05T19:33:49.040000+0000,141,141,ok,360061107.271544,80247.34970362292,8102.614533811771,1053.2658277862533,371,0.7026267510604541,30062.971705036125,15345.919101703355,87.47679867069905,25.0,ok,1333656.768436157,14478.044193927512,9404.840369596148,1395.3597669827268,287,0.07995288539352251,17852.88289650911,5133.483198798009,83.3488630146843,7,31,,,,,,,,,-396665989.70705044,-549575.4699163223,-1784.0829732471975,578.49259260283,,-2.0,0.4758136833069281,0.7081743511373239,focusing;bifurcation,False
27,morphology_1h_27,2019-07-05T19:33:49.040000+0000,2019-07-05T20:33:49.040000+0000,142,142,ok,638470367.6997306,117294.05791706976,11434.403512314815,940.4475715902024,59,0.583174582333693,44254.65197094044,22281.400124261912,7.252272108225753,26.0,ok,2637658.067959061,22360.87963825854,10790.32502713665,580.4411476498728,515,0.06629039263872076,24383.48621388984,9195.955459551176,74.29426347877268,8,56,,,,,,,,,278409260.42818666,1304001.299522904,3331.788978503044,1385.4846575405027,,1.0,1.7732278071850212,1.977763792292655,defocusing;bifurcation,True
28,morphology_1h_28,2019-07-05T20:33:49.040000+0000,2019-07-05T21:33:49.040000+0000,141,141,ok,498357596.7544308,90688.45379577967,11843.312815282845,1352.7745465012322,57,0.7614597502825836,29057.97615692123,21775.500634302516,79.39806672745146,27.0,ok,1568787.9879154458,17223.12884352187,13446.117403529699,566.7524300507761,639,0.06645842096803414,21428.71234817115,7284.34756538359,71.54030912884366,7,62,,,,,,,,,-140112770.94529986,-1068870.080043615,408.9093029680298,2655.7923763930485,,-1.0,0.7805492971426449,0.5947654879805273,bifurcation,True
29,morphology_1h_29,2019-07-05T21:33:49.040000+0000,2019-07-05T22:33:49.040000+0000,144,144,ok,686508268.1476495,104986.38007999976,11895.007886843312,386.17553059110634,267,0.7826898701670769,31914.95688118891,30035.176917895013,79.73992376669833,28.0,ok,1473590.615979705,15229.90609297889,11834.535790549138,152.5505877361007,536,0.07983480341758267,18358.24633553237,9182.979370994168,49.86664657199745,8,44,,,,,,,,,188150671.39321876,-95197.37193574081,51.69507156046711,-1611.5816129805607,,1.0,1.3775414935350756,0.9393178857378708,defocusing;bifurcation,True
30,morphology_1h_30,2019-07-05T22:33:49.040000+0000,2019-07-05T23:33:49.040000+0000,135,135,ok,486121678.0145113,87495.61803213286,13218.889345498741,1700.5260176515626,56,0.7979620658945874,28064.891918401194,24174.61007942729,59.18170337162701,29.0,ok,1377765.4876619354,18874.457657189047,11584.325543574265,404.07108349730134,524,0.048599992582569376,20291.647408949622,8244.85453815723,81.69411917921929,10,33,,,,,,,,,-200386590.13313824,-95825.12831776962,1323.881458655429,-250.21024697487337,,2.0,0.7081075357273914,0.9349716757974459,bifurcation,True
31,morphology_1h_31,2019-07-05T23:33:49.040000+0000,2019-07-06T00:33:49.040000+0000,116,116,ok,432414415.63839537,86996.7754456502,10572.879641125779,623.9427367035062,551,0.7179657324925183,31502.72400610655,15087.561723322664,82.99039014059684,30.0,ok,1198927.0067519767,14679.17459567536,9236.240066881131,909.5953268935557,262,0.06991966438842011,13837.561811785747,8761.952473155232,147.7146124966365,8,25,,,,,,,,,-53707262.37611592,-178838.48090995871,-2646.009704372962,-2348.0854766931334,,-2.0,0.8895188904237414,0.8701967188817836,focusing;bifurcation,False
32,morphology_1h_32,2019-07-06T00:33:49.040000+0000,2019-07-06T01:33:49.040000+0000,113,113,ok,586527952.6704665,111715.47447197756,3712.057672379681,343.88352198634266,419,0.5905707180472604,39979.09879722252,27057.285852253677,147.36690862334672,31.0,ok,1051276.1033557258,11861.587905676748,6756.732866915112,823.4704218690324,453,0.09389468149591089,12867.575082470423,11764.263473339397,151.6048537442001,6,19,,,,,,,,,154113537.03207117,-147650.9033962509,-6860.821968746098,-2479.5071999660195,,-2.0,1.3564024034780282,0.8768474623019351,bifurcation,True
33,morphology_1h_33,2019-07-06T01:33:49.040000+0000,2019-07-06T02:33:49.040000+0000,118,118,ok,454406438.9595317,90349.72972956055,14710.204524897348,1450.9688154343946,896,0.6995207881015818,34373.74251742773,17153.478125685495,81.52859815423739,32.0,ok,780380.6629217066,10515.000650289052,9971.12844176423,731.7696201033395,137,0.08869471768905483,15840.19478176164,9065.448395395215,107.22394390445743,6,27,,,,,,,,,-132121513.71093482,-270895.4404340192,10998.146852517668,3214.395574849117,,0.0,0.7747396128191598,0.7423175133827284,bifurcation,False
34,morphology_1h_34,2019-07-06T02:33:49.040000+0000,2019-07-06T03:19:53.040000+0000,96,96,ok,588414783.2286127,104426.95517735787,18773.513118854797,590.4944809550843,5270,0.6780601303658607,40512.982252483926,23747.48873604075,69.03899818938402,33.0,ok,932768.0860282239,10048.292783774446,10396.782955534782,668.3868269939735,527,0.11609111457510249,11405.542385321267,7209.573005064152,97.89538611329971,4,17,,,,,,,,,134008344.26908094,152387.4231065173,4063.3085939574485,425.6545137705525,,-2.0,1.2949085505388611,1.1952731921059991,defocusing;bifurcation,True
