event_time,latitude,longitude,depth_km,magnitude,event_time_raw,within_intermainshock_window,x_m,y_m
2019-07-05T01:58:07.020000+0000,35.71079279518505,-117.46520929488162,2.97330803,2.93,2019-07-05 01:58:07.020000+00:00,True,457919.09139439167,3951971.6386201773
2019-07-05T01:59:09.320000+0000,35.72187679518505,-117.55111509533516,5.774961650000001,1.93,2019-07-05 01:59:09.320000+00:00,True,450155.24012863403,3953241.2054026625
2019-07-05T01:59:37.440000+0000,35.67260579518505,-117.51161854048178,5.070919160000001,1.48,2019-07-05 01:59:37.440000+00:00,True,453699.0036037355,3947757.1939524426
2019-07-05T02:00:06.850000+0000,35.59006579518505,-117.59482360464618,5.72415446,1.15,2019-07-05 02:00:06.850000+00:00,True,446113.5740259679,3938645.1046590875
2019-07-05T02:00:13.440000+0000,35.58220479518505,-117.5906240405856,6.6822329,0.98,2019-07-05 02:00:13.440000+00:00,True,446488.7963344338,3937770.959276134
2019-07-05T02:00:33.800000+0000,35.69474079518505,-117.48310413643011,4.047517190000001,1.59,2019-07-05 02:00:33.800000+00:00,True,456291.6254055939,3950199.124281784
2019-07-05T02:00:37.920000+0000,35.59431379518505,-117.5860179095496,5.28140609,1.72,2019-07-05 02:00:37.920000+00:00,True,446914.1158384426,3939111.461588641
2019-07-05T02:00:58.030000+0000,35.66687279518505,-117.5191531274129,5.383020470000001,1.57,2019-07-05 02:00:58.030000+00:00,True,453013.7649827966,3947124.923979638
2019-07-05T02:01:13.400000+0000,35.66941979518505,-117.4676883109126,4.30881131,1.3,2019-07-05 02:01:13.400000+00:00,True,457672.995879666,3947384.0216619885
2019-07-05T02:01:40.950000+0000,35.77221479518505,-117.61112073611316,4.3378439900000005,3.4,2019-07-05 02:01:40.950000+00:00,True,444762.84975726,3958856.4305852824
2019-07-05T02:01:58.550000+0000,35.63604979518505,-117.54161190858532,10.85568065,4.24,2019-07-05 02:01:58.550000+00:00,True,450962.2659502758,3943717.323501169
2019-07-05T02:03:28.950000+0000,35.67979579518505,-117.47510305869436,2.32007273,2.0,2019-07-05 02:03:28.950000+00:00,True,457007.50223773264,3948538.0415075566
2019-07-05T02:03:31.770000+0000,35.62162479518505,-117.58608587134506,10.028249270000002,2.32,2019-07-05 02:03:31.770000+00:00,True,446926.00018872414,3942140.5409014137
2019-07-05T02:04:12.060000+0000,35.62385879518505,-117.56788103193416,4.30881131,1.41,2019-07-05 02:04:12.060000+00:00,True,448576.0184806025,3942378.6428609886
2019-07-05T02:04:30.830000+0000,35.74152279518505,-117.54299551518766,7.4080499,2.32,2019-07-05 02:04:30.830000+00:00,True,450901.6700780529,3955416.0739252702
2019-07-05T02:04:58.830000+0000,35.63559779518505,-117.5433698760727,10.84842248,1.66,2019-07-05 02:04:58.830000+00:00,True,450802.82040312124,3943668.070492002
2019-07-05T02:05:18.970000+0000,35.65351779518505,-117.51426116562396,3.95316098,3.44,2019-07-05 02:05:18.970000+00:00,True,453448.7678461571,3945641.3957237354
2019-07-05T02:06:14.530000+0000,35.72226779518505,-117.52589612358004,5.833027010000001,2.1,2019-07-05 02:06:14.530000+00:00,True,452436.38483364764,3953272.0548520996
