node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,is_low_abs,is_low_q20,dist_to_mw71_km,dist_to_mw64_km
2323,-3.0,3.0,1284,439,2.160478359908884,0.6526049651903251,0.6545196910837249,0.030419316963723936,0.6028169851423731,0.7165817100930183,robust,1.0,full_interevent,5.0,-117.57674442337795,35.748501011705564,True,False,3.4043803135759108,8.961140543815063
2324,-2.0,3.0,1374,470,2.1697234042553193,0.6436629871800211,0.6449225745322632,0.02840079729601427,0.5949909798061289,0.7004773779376557,robust,1.0,full_interevent,5.0,-117.56568848191635,35.74850355069957,True,False,3.937256873730048,8.143357861778018
2325,-1.0,3.0,1436,485,2.1636494845360827,0.6495099330025965,0.6505629552614823,0.02712121682208171,0.5980400401528785,0.7075766497757664,robust,1.0,full_interevent,5.0,-117.5546325398931,35.74850507409603,True,False,4.627545576221352,7.370652256344588
2326,0.0,3.0,1441,492,2.1565447154471546,0.6564854525513083,0.6578184990179847,0.028719919397698208,0.6053030557541933,0.7153759446841286,robust,1.0,full_interevent,5.0,-117.54357659758901,35.74850558189486,True,False,5.415382205373605,6.6587350227301645
2327,1.0,3.0,1443,494,2.1489473684210525,0.6641122862102041,0.6679160095505348,0.027784189875569434,0.6190865133849998,0.7233786189041657,robust,1.0,full_interevent,5.0,-117.5325206552849,35.74850507409603,True,False,6.264068230834367,6.0291781796451325
2328,2.0,3.0,1386,487,2.1487679671457904,0.6642945260828358,0.6642045328893562,0.02958505782310759,0.6118709777526291,0.7276053856923295,robust,1.0,full_interevent,5.0,-117.52146471326165,35.74850355069957,True,False,7.151974354737276,5.510283744135569
2329,3.0,3.0,1111,383,2.1465274151436033,0.6665789831845047,0.6698210125763494,0.03293758490966503,0.6084726718105479,0.7363228842083313,robust,1.0,full_interevent,5.0,-117.51040877180007,35.748501011705564,True,False,8.066159156692297,5.135704855213199
2330,4.0,3.0,815,282,2.087163120567376,0.7334034606666088,0.7363427923495328,0.04030067216649694,0.6597040423276872,0.8316145702748228,robust,1.0,full_interevent,5.0,-117.49935283118097,35.74849745711419,True,False,8.998617111054468,4.938390606142465
2331,5.0,3.0,610,224,2.099017857142857,0.7190093418058272,0.7209430500399384,0.042609884567342104,0.642419652594651,0.8187110053438109,robust,1.0,full_interevent,5.0,-117.48829689168525,35.74849288692565,True,False,9.944209183320389,4.939629459565956
2332,6.0,3.0,405,152,2.0632236842105263,0.7643019711623744,0.7680089776860598,0.05430949527031401,0.6687444454951977,0.8826033855753712,robust,1.0,full_interevent,5.0,-117.47724095359368,35.748487301140266,True,False,10.899517542162354,5.13927783027806
