time,latitude,longitude,depth_km,magnitude
2019-02-01 07:40:57.270000+00:00,35.37179,-117.87128,6.222,1.13
2019-02-01 07:41:01.493000+00:00,35.37257,-117.8715,5.123,1.03
2019-02-01 15:16:22.111000+00:00,36.08751,-117.61072,4.635,0.04
2019-02-01 21:10:57.550000+00:00,35.36149,-117.88805,7.868,0.93
2019-02-02 01:34:14.361000+00:00,36.29629,-117.89717,9.347,1.02
2019-02-02 03:54:39.216000+00:00,36.08606,-117.61448,4.097,1.09
2019-02-02 08:01:52.053000+00:00,35.97738,-117.91671,4.533,0.9
2019-02-02 08:46:39.651000+00:00,35.98888,-117.92047,6.706,0.29
2019-02-03 01:31:11.058000+00:00,36.03502,-117.78127,2.557,0.97
2019-02-03 18:51:47.289000+00:00,36.01577,-117.80655,1.932,0.58
2019-02-03 19:41:37.238000+00:00,36.00969,-117.80537,1.832,1.07
2019-02-04 02:53:34.190000+00:00,35.97709,-117.66866,3.648,0.73
2019-02-04 05:19:35.606000+00:00,35.97718,-117.66888,3.619,0.66
2019-02-04 20:39:49.457000+00:00,35.97676,-117.6689,3.657,1.04
2019-02-05 01:44:58.096000+00:00,36.00715,-117.80503,2.299,0.72
2019-02-05 02:18:51.985000+00:00,35.96292,-117.98873,7.2,0.54
2019-02-05 12:19:54.330000+00:00,35.43386,-118.43507,6.848,1.84
2019-02-05 22:01:42.753000+00:00,35.97699,-117.66866,3.644,0.87
2019-02-06 14:51:50.295000+00:00,36.00642,-117.9773,7.308,0.25
2019-02-06 22:34:50.838000+00:00,36.27392,-118.31672,3.079,1.51
2019-02-07 05:11:43.835000+00:00,36.00729,-117.8065,1.502,0.05
2019-02-07 10:25:56.283000+00:00,36.08504,-117.83888,2.399,0.44
2019-02-08 10:29:38.974000+00:00,36.23273,-118.31742,4.312,1.33
2019-02-08 11:56:06.887000+00:00,35.47835,-118.32351,8.261,1.45
2019-02-08 12:07:10.598000+00:00,35.47797,-118.32373,8.214,0.99
2019-02-08 12:38:38.703000+00:00,35.47821,-118.32358,8.194,1.19
2019-02-08 12:39:01.051000+00:00,35.47807,-118.32361,8.128,1.02
2019-02-08 17:00:12.228000+00:00,35.47818,-118.32364,8.287,2.14
2019-02-08 17:59:22.094000+00:00,36.11143,-117.68617,1.52,-0.04
2019-02-09 10:01:24.855000+00:00,35.75725,-117.65504,7.62,0.84
2019-02-09 20:10:42.948000+00:00,35.64725,-118.31624,7.837,1.47
2019-02-09 21:33:42.090000+00:00,36.00966,-117.80644,1.77,0.5
2019-02-09 21:37:02.900000+00:00,36.02267,-117.83383,-0.55,1.2
2019-02-10 08:54:29.051000+00:00,36.01032,-117.80695,2.288,0.99
2019-02-10 09:58:59.969000+00:00,35.95309,-117.65031,4.007,0.91
2019-02-10 10:45:27.302000+00:00,36.05728,-117.59632,2.552,0.61
2019-02-10 11:26:00.943000+00:00,36.00537,-117.78773,1.83,0.85
2019-02-10 14:16:51.782000+00:00,36.07649,-117.88846,3.502,1.43
2019-02-11 00:17:29.062000+00:00,36.07757,-117.86958,5.328,1.23
2019-02-11 10:38:14.379000+00:00,35.88422,-118.35296,3.762,1.3
2019-02-11 12:19:26.467000+00:00,36.07787,-117.86924,5.505,0.48
2019-02-12 03:39:00.957000+00:00,36.11939,-117.66896,4.371,0.89
2019-02-12 19:51:24.511000+00:00,35.72969,-117.69527,8.953,0.9
2019-02-13 00:25:14.340000+00:00,36.08502,-117.83864,2.434,0.72
2019-02-13 00:26:32.157000+00:00,36.08482,-117.83847,2.287,1.1
2019-02-13 01:08:39.959000+00:00,36.02156,-117.815,2.054,0.75
2019-02-13 10:24:08.318000+00:00,36.06842,-117.65985,5.442,0.74
2019-02-13 20:11:50.339000+00:00,35.647,-118.31642,7.858,1.45
2019-02-13 23:09:11.852000+00:00,36.21118,-117.87099,3.706,1.27
2019-02-14 01:27:30.584000+00:00,35.90911,-117.7212,6.037,0.84
2019-02-14 07:47:50.973000+00:00,36.01628,-117.39757,4.853,1.17
2019-02-14 17:59:41.437000+00:00,35.65315,-118.15234,9.757,1.34
2019-02-14 21:18:57.919000+00:00,36.08455,-117.83805,2.32,1.71
2019-02-15 02:14:36.668000+00:00,36.20028,-118.01838,3.677,1.28
2019-02-15 03:18:09.103000+00:00,36.19986,-118.01838,3.662,1.1
2019-02-15 03:50:46.609000+00:00,35.64682,-118.31657,7.84,1.36
2019-02-15 17:26:18.553000+00:00,36.00791,-117.79169,1.952,0.62
2019-02-15 21:07:31.691000+00:00,36.10894,-117.61723,2.845,1.28
2019-02-16 03:30:10.294000+00:00,36.08446,-117.83817,2.475,0.88
2019-02-16 08:42:20.525000+00:00,36.06526,-117.99479,6.687,1.51
2019-02-16 11:10:16.981000+00:00,36.03332,-117.80739,1.855,1.15
2019-02-16 14:59:33.272000+00:00,36.11957,-117.66924,4.484,1.19
2019-02-16 15:48:23.283000+00:00,35.67795,-118.24364,10.843,1.39
2019-02-17 01:51:17.405000+00:00,36.03711,-117.80722,1.824,2.2
2019-02-18 03:51:21.813000+00:00,36.08311,-117.64966,3.36,1.03
2019-02-18 05:53:57.780000+00:00,36.02366,-117.77102,1.961,0.85
2019-02-19 22:04:11.179000+00:00,36.07984,-117.65044,4.119,1.16
2019-02-20 04:10:38.468000+00:00,36.11025,-117.8984,3.881,2.17
2019-02-20 12:16:30.965000+00:00,35.97829,-117.96598,4.265,0.4
2019-02-20 14:24:16.588000+00:00,36.1087,-117.6169,2.797,1.72
2019-02-20 16:23:14.177000+00:00,36.0946,-117.84041,2.666,0.61
2019-02-20 17:00:18.111000+00:00,36.08451,-117.65256,4.991,0.68
2019-02-21 00:15:36.662000+00:00,36.02333,-117.77546,2.557,1.45
2019-02-21 00:16:22.810000+00:00,36.02238,-117.77592,2.669,2.4
2019-02-21 01:25:02.886000+00:00,36.02359,-117.77619,2.698,0.5
2019-02-21 01:32:01.693000+00:00,36.02008,-117.776,2.676,0.87
2019-02-21 03:04:58.368000+00:00,36.02368,-117.77618,2.672,0.91
2019-02-21 03:18:08.744000+00:00,36.02294,-117.77614,2.596,0.44
2019-02-21 09:30:24.539000+00:00,36.01874,-117.7768,2.606,0.76
2019-02-21 21:31:46.190000+00:00,36.0187,-117.77627,2.687,0.61
2019-02-22 03:05:23.527000+00:00,36.00553,-117.80648,1.869,1.21
2019-02-22 03:07:02.786000+00:00,36.00664,-117.80566,1.874,1.8
2019-02-22 03:10:02.861000+00:00,36.00867,-117.80655,1.797,1.06
2019-02-22 18:13:42.470000+00:00,36.26317,-117.425,6.26,0.75
2019-02-23 01:50:24.458000+00:00,35.51416,-118.37854,9.565,1.8
2019-02-23 03:06:54.989000+00:00,35.99219,-117.91684,6.333,0.45
2019-02-23 09:15:32.092000+00:00,35.83477,-117.6595,9.731,0.7
2019-02-23 12:24:25.432000+00:00,36.09567,-117.65856,3.638,0.67
2019-02-23 15:57:10.349000+00:00,36.02024,-117.77465,2.139,0.48
2019-02-23 16:55:52.302000+00:00,36.02039,-117.77486,2.121,0.41
2019-02-23 21:12:54.979000+00:00,36.11001,-117.89907,3.867,0.78
2019-02-23 22:29:54.938000+00:00,36.06159,-117.95189,3.532,0.75
2019-02-23 22:46:16.289000+00:00,36.0209,-117.77217,2.057,0.22
2019-02-23 23:49:13.504000+00:00,36.0359,-117.81691,2.02,0.21
2019-02-24 04:28:35.079000+00:00,35.9093,-117.70041,3.266,0.59
2019-02-24 08:07:46.514000+00:00,36.01165,-117.80896,2.17,-0.35
2019-02-24 16:53:47.972000+00:00,36.0844,-117.66136,2.812,1.26
2019-02-24 17:43:39.405000+00:00,36.10977,-117.89935,4.201,0.95
2019-02-24 20:05:20.277000+00:00,35.44988,-118.47435,1.461,1.45
2019-02-25 00:40:07.614000+00:00,35.51394,-118.37843,9.576,0.97
2019-02-25 01:19:36.546000+00:00,36.11753,-117.8694,3.031,0.89
2019-02-25 04:25:02.404000+00:00,36.08862,-117.83831,2.244,0.97
2019-02-25 04:29:19.655000+00:00,36.05663,-117.85879,2.583,0.88
2019-02-25 06:39:56.472000+00:00,36.10991,-117.89894,3.986,1.26
2019-02-25 11:05:39.102000+00:00,36.09762,-117.89392,7.607,0.85
2019-02-25 11:06:25.299000+00:00,36.09789,-117.89381,7.787,0.3
2019-02-25 11:34:52.454000+00:00,36.08528,-117.61405,3.844,1.91
2019-02-25 11:52:06.379000+00:00,36.04239,-117.84228,2.2,1.49
2019-02-25 11:56:33.927000+00:00,36.09773,-117.89386,7.572,1.17
2019-02-25 16:58:54.066000+00:00,36.08534,-117.61409,3.867,1.52
2019-02-25 19:21:00.266000+00:00,35.97705,-117.6693,3.567,0.8
2019-02-26 00:56:03.176000+00:00,35.94077,-117.69211,3.598,0.93
2019-02-26 01:25:24.614000+00:00,35.95436,-117.66687,3.455,0.65
2019-02-26 02:08:38.513000+00:00,35.97714,-117.6692,3.583,0.55
2019-02-26 05:45:24.348000+00:00,36.08464,-117.61356,3.835,0.52
2019-02-26 07:24:24.359000+00:00,36.08528,-117.61392,3.782,1.94
2019-02-26 15:03:04.619000+00:00,36.08764,-117.60571,3.824,0.13
2019-02-27 00:19:13.194000+00:00,36.08725,-117.61327,5.28,0.6
2019-02-27 10:10:58.644000+00:00,36.04291,-117.84147,2.205,0.33
2019-02-27 11:19:48.443000+00:00,36.08571,-117.61435,3.795,1.18
2019-02-27 11:47:44.648000+00:00,35.9678,-117.9668,6.197,0.97
2019-02-27 12:44:12.181000+00:00,35.45512,-118.46755,3.158,2.06
2019-02-27 13:35:56.638000+00:00,36.01685,-117.79979,1.674,0.49
2019-02-27 13:36:28.665000+00:00,36.01723,-117.79934,1.607,0.59
2019-02-27 17:53:48.210000+00:00,35.9725,-117.67317,3.81,-0.17
2019-02-27 18:19:37.225000+00:00,35.45662,-118.46885,3.107,1.49
2019-02-28 00:15:51.103000+00:00,35.99194,-117.68064,3.932,1.25
2019-02-28 02:18:48.038000+00:00,36.07864,-117.85147,2.701,0.66
2019-02-28 04:42:19.487000+00:00,35.45435,-118.46659,3.158,1.54
2019-02-28 05:19:10.534000+00:00,36.02378,-117.70668,3.655,1.32
2019-02-28 07:35:50.381000+00:00,36.02321,-117.70715,3.65,2.82
2019-02-28 07:43:40.955000+00:00,36.02361,-117.70651,3.59,1.48
2019-02-28 08:21:53.502000+00:00,36.02439,-117.70587,3.65,0.32
2019-03-01 15:14:06.179000+00:00,35.45874,-118.46831,3.394,1.4
2019-03-01 15:39:35.721000+00:00,36.08808,-117.6563,3.912,0.56
2019-03-01 17:54:51.441000+00:00,36.03576,-117.52805,4.429,1.53
