node_id,x_km,y_km,longitude,latitude,b_pre,b_pre_std,n_pre,valid_pre,b_post,b_post_std,n_post,valid_post,delta_b,combined_uncertainty
1826,4.0,-6.0,-117.49939761633875,35.66738247907961,0.605854401752778,0.025949773500723777,470,1.0,1.1885005166739935,0.10208632594605693,145,1.0,0.5826461149212154,0.10533284715559264
1827,5.0,-6.0,-117.48835287312194,35.667377916452985,0.6088364637639712,0.026909368652431202,458,1.0,1.1379620162713107,0.11308450253213655,137,1.0,0.5291255525073395,0.11624206998420684
1828,6.0,-6.0,-117.4773081313023,35.667372339909896,0.600438560997426,0.0266962083478091,440,1.0,1.1337088863374076,0.10696734756083927,135,1.0,0.5332703253399816,0.11024836046105638
1829,7.0,-6.0,-117.46626339115922,35.667365749450695,0.6119902110362883,0.02787051231913747,392,1.0,1.166289232239046,0.11531052634833329,118,1.0,0.5542990212027576,0.1186308684266488
1830,8.0,-6.0,-117.45521865297219,35.6673581450758,0.5975342527675964,0.03288973471254264,254,1.0,1.0960956453082997,0.133933993422062,82,1.0,0.4985613925407033,0.1379131945951597
1831,9.0,-6.0,-117.44417391702062,35.667349526785685,0.5797442391070786,0.03740375891252293,158,1.0,1.017472130684166,0.15220316949237733,49,1.0,0.43772789157708747,0.15673176443947628
1875,-3.0,-5.0,-117.57671456106613,35.676398857873835,0.5824341613542389,0.04927113592753789,107,1.0,0.9903787876992486,0.17108590153373707,37,1.0,0.4079446263450097,0.17803940726480047
1876,-2.0,-5.0,-117.5656685737064,35.67640139313298,0.612099519845456,0.03906122224787192,217,1.0,1.1640530062838446,0.1608508999958604,68,1.0,0.5519534864383886,0.16552580195539285
1877,-1.0,-5.0,-117.55462258578751,35.67640291428854,0.6069288782557034,0.03146443048953514,321,1.0,1.0316725929177297,0.12857418176979638,104,1.0,0.4247437146620263,0.13236816310504362
1878,0.0,-5.0,-117.54357659758901,35.676403421340396,0.6041942136049644,0.029713301391895153,379,1.0,1.0176330686269421,0.10647644046519407,130,1.0,0.41343885502197775,0.11054461838435924
1879,1.0,-5.0,-117.5325306093905,35.67640291428854,0.6097674160106371,0.027078737994130717,444,1.0,1.1061932023355676,0.08813841442213834,146,1.0,0.4964257863249305,0.09220432825091987
1880,2.0,-5.0,-117.52148462147161,35.67640139313298,0.6013166324079852,0.02497130312719672,489,1.0,1.0875780708458522,0.08566935650074166,155,1.0,0.48626143843786707,0.08923454837181344
1881,3.0,-5.0,-117.51043863411189,35.676398857873835,0.6119278918428082,0.024651619478060223,509,1.0,1.1101951925949887,0.08988424260857697,160,1.0,0.4982673007521805,0.09320343025988154
1882,4.0,-5.0,-117.49939264759091,35.67639530851125,0.6055899150045344,0.02568814785495021,504,1.0,1.1099705620290974,0.10065791441728794,150,1.0,0.504380647024563,0.10388405399798299
1883,5.0,-5.0,-117.48834666218829,35.67639074504545,0.6085502683800769,0.025308297452857616,483,1.0,1.1348398522095027,0.1063953341896079,143,1.0,0.5262895838294258,0.10936396599100029
1884,6.0,-5.0,-117.47730067818362,35.67638516747672,0.6089363623020809,0.025441024569296956,456,1.0,1.1132675515823336,0.1054711757259635,139,1.0,0.5043311892802527,0.10849615034715583
1885,7.0,-5.0,-117.46625469585648,35.676378575805394,0.6109843510842333,0.029215507823126003,413,1.0,1.1080576132903215,0.10595957033801313,121,1.0,0.49707326220608816,0.10991349527505478
1886,8.0,-5.0,-117.45520871548646,35.6763709700319,0.5987534057739422,0.03060923280216485,302,1.0,1.115883045089168,0.124395562908618,93,1.0,0.5171296393152257,0.12810613257798809
1887,9.0,-5.0,-117.44416273735312,35.676362350156694,0.607329029506358,0.03695287956550385,224,1.0,1.0584725186711461,0.13759097059626754,66,1.0,0.4511434891647881,0.14246680489786243
1888,10.0,-5.0,-117.4331167617361,35.676352716180325,0.5611421391473502,0.043700636131870106,133,1.0,1.1942694782921084,0.2574704134163926,37,1.0,0.6331273391447582,0.26115275105412583
1931,-3.0,-4.0,-117.57671828900995,35.685411674438015,0.5401672660488204,0.05459432530797816,90,1.0,0.669862954092419,0.16292848737424256,33,1.0,0.12969568804359866,0.17183198873868644
1932,-2.0,-4.0,-117.56567105900254,35.68541421016351,0.5986845827458137,0.0402978464642792,193,1.0,0.835404827599095,0.12169232070948764,72,1.0,0.23672024485328125,0.12819101898853685
1933,-1.0,-4.0,-117.55462382843564,35.685415731598866,0.6122881713987007,0.02918139283454886,363,1.0,0.9375856514933201,0.09985518871782433,117,1.0,0.32529748009461934,0.10403178553517463
1934,0.0,-4.0,-117.54357659758901,35.685416238744,0.6120110132895096,0.025672335237090962,459,1.0,0.9789230668945548,0.09019365552889966,155,1.0,0.3669120536050452,0.09377613925829636
1935,1.0,-4.0,-117.53252936674237,35.685415731598866,0.6197172441638169,0.02362552766027521,516,1.0,1.0114147589589093,0.08763095085810856,173,1.0,0.3916975147950924,0.09075984302279651
1936,2.0,-4.0,-117.52148213617548,35.68541421016351,0.6087061772865422,0.023220389816787777,543,1.0,1.0361133598549632,0.09268200385509998,178,1.0,0.42740718256842103,0.09554653495465101
1937,3.0,-4.0,-117.51043490616807,35.685411674438015,0.5985403732577484,0.0223719927624175,560,1.0,1.0312242024880545,0.08465513298632475,166,1.0,0.432683829230306,0.08756139332544903
1938,4.0,-4.0,-117.49938767699987,35.685408124422544,0.5991368481984644,0.023431198270808022,526,1.0,1.0514638084694126,0.09260472660925755,158,1.0,0.4523269602709482,0.09552306759511678
1939,5.0,-4.0,-117.48834044895068,35.68540356011732,0.6088097296625613,0.023832174865433684,497,1.0,1.0217091010898336,0.0890472621557032,150,1.0,0.4128993714272723,0.092181274976229
1940,6.0,-4.0,-117.47729322230022,35.68539798152263,0.6155183300522696,0.028118779572276792,452,1.0,1.1015454214549374,0.10584709842731038,135,1.0,0.48602709140266775,0.10951837293401971
1941,7.0,-4.0,-117.46624599732819,35.685391388638806,0.6122759416765914,0.029933945742775664,385,1.0,1.1356755071950553,0.11980029802663912,112,1.0,0.5233995655184639,0.12348340987761469
1942,8.0,-4.0,-117.45519877431437,35.685383781466264,0.5886924585256647,0.030154482456974507,308,1.0,1.102417522533305,0.11700646757298172,95,1.0,0.5137250640076404,0.12082965805693238
1943,9.0,-4.0,-117.44415155353849,35.685375160005485,0.6092904883272985,0.036101016226286024,235,1.0,1.0894862480030691,0.143102402486319,69,1.0,0.48019575967577066,0.1475858427151026
1944,10.0,-4.0,-117.43310433528032,35.685365524257,0.581687675739157,0.03968431067273936,180,1.0,1.1280376153331233,0.21600962531174187,45,1.0,0.5463499395939663,0.21962468609172697
1987,-3.0,-3.0,-117.5767220183368,35.694424477480666,0.5824969963961821,0.04836531902292705,122,1.0,0.7533839946279753,0.13353033335299877,48,1.0,0.1708869982317932,0.1420195550251883
1988,-2.0,-3.0,-117.56567354522072,35.694427013672644,0.6290215959699488,0.04491811584114782,175,1.0,0.7681331137372315,0.09190078669497964,77,1.0,0.1391115177672827,0.10229072160208336
1989,-1.0,-3.0,-117.5546250715448,35.69442853538789,0.6138437906759742,0.030629281580506085,352,1.0,0.8615885567826447,0.07682813147416197,128,1.0,0.2477447661066705,0.0827086130699158
1990,0.0,-3.0,-117.54357659758901,35.69442904262632,0.6230684476592555,0.025481452118300215,474,1.0,0.9159859091031184,0.07302519489667467,172,1.0,0.2929174614438629,0.07734328343013727
1991,1.0,-3.0,-117.53252812363321,35.69442853538789,0.6213926268485169,0.02316006952419074,548,1.0,0.9794737757451379,0.07483175447899122,187,1.0,0.358081148896621,0.07833377495543906
