mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_total,n_post,rate_ratio,moving_rate_max,post_omori_p,radial_iqr_km,depth_iqr_km,baseline_rate_ratio,baseline_moving_rate_max,baseline_post_omori_p,rate_ratio_delta,sparse_flag
M1,44.0,60.0,stratified,,3539,2972,5.250883392226148,277.57142857142856,0.6129322680584737,,,5.408496732026144,271.0,0.6383674259945586,-0.1576133397999957,False
M1,44.0,60.0,stratified,1.2,3383,2850,5.357142857142857,269.42857142857144,0.6252670530500625,,,5.408496732026144,271.0,0.6383674259945586,-0.051353874883287354,False
M1,44.0,60.0,stratified,1.5,2727,2321,5.730864197530864,234.28571428571428,0.6813629535471485,,,5.408496732026144,271.0,0.6383674259945586,0.32236746550471995,False
M1,44.0,60.0,stratified,2.0,1321,1129,5.910994764397906,131.71428571428572,0.8456268853950176,,,5.408496732026144,271.0,0.6383674259945586,0.5024980323717623,False
M1,44.0,60.0,stratified,2.5,644,533,4.845454545454546,66.14285714285714,0.961146296102104,,,5.408496732026144,271.0,0.6383674259945586,-0.5630421865715984,False
M1,44.0,90.0,all,,3788,3185,5.290697674418604,268.85714285714283,0.6469814243137311,,,5.408496732026144,271.0,0.6383674259945586,-0.11779905760753984,False
M1,44.0,90.0,all,1.2,3604,3046,5.468581687612208,261.57142857142856,0.6592297905123108,,,5.408496732026144,271.0,0.6383674259945586,0.060084955586064304,False
M1,44.0,90.0,all,1.5,2885,2465,5.883054892601431,229.0,0.7130903293938352,,,5.408496732026144,271.0,0.6383674259945586,0.4745581605752873,False
M1,44.0,90.0,all,2.0,1384,1185,5.984848484848484,129.14285714285714,0.864871311026077,,,5.408496732026144,271.0,0.6383674259945586,0.5763517528223403,False
M1,44.0,90.0,all,2.5,663,551,4.963963963963963,67.42857142857143,0.9763863024978722,,,5.408496732026144,271.0,0.6383674259945586,-0.44453276806218067,False
M1,44.0,90.0,mainshock_window,,3785,3184,5.306666666666667,268.85714285714283,0.6471358570638953,,,5.408496732026144,271.0,0.6383674259945586,-0.10183006535947747,False
M1,44.0,90.0,mainshock_window,1.2,3602,3046,5.488288288288287,261.57142857142856,0.6592297905123108,,,5.408496732026144,271.0,0.6383674259945586,0.07979155626214318,False
M1,44.0,90.0,mainshock_window,1.5,2884,2465,5.897129186602871,229.0,0.7130903293938352,,,5.408496732026144,271.0,0.6383674259945586,0.4886324545767273,False
M1,44.0,90.0,mainshock_window,2.0,1384,1185,5.984848484848484,129.14285714285714,0.864871311026077,,,5.408496732026144,271.0,0.6383674259945586,0.5763517528223403,False
M1,44.0,90.0,mainshock_window,2.5,663,551,4.963963963963963,67.42857142857143,0.9763863024978722,,,5.408496732026144,271.0,0.6383674259945586,-0.44453276806218067,False
M1,44.0,90.0,stratified,,3780,3179,5.298333333333333,268.42857142857144,0.6468892443571843,,,5.408496732026144,271.0,0.6383674259945586,-0.11016339869281122,False
M1,44.0,90.0,stratified,1.2,3597,3041,5.47927927927928,261.1428571428572,0.6589887419009068,,,5.408496732026144,271.0,0.6383674259945586,0.0707825472531356,False
M1,44.0,90.0,stratified,1.5,2880,2461,5.88755980861244,228.57142857142856,0.7127775421972771,,,5.408496732026144,271.0,0.6383674259945586,0.47906307658629554,False
M1,44.0,90.0,stratified,2.0,1382,1183,5.974747474747474,128.85714285714286,0.864426235215579,,,5.408496732026144,271.0,0.6383674259945586,0.5662507427213299,False
M1,44.0,90.0,stratified,2.5,663,551,4.963963963963963,67.42857142857143,0.9763863024978722,,,5.408496732026144,271.0,0.6383674259945586,-0.44453276806218067,False
M1,50.0,7.0,all,,2259,1746,3.41015625,252.42857142857144,,,,5.408496732026144,271.0,0.6383674259945586,-1.9983404820261441,False
M1,50.0,7.0,all,1.2,2187,1702,3.5165289256198347,246.57142857142856,,,,5.408496732026144,271.0,0.6383674259945586,-1.8919678064063095,False
M1,50.0,7.0,all,1.5,1867,1490,3.9627659574468086,218.28571428571428,,,,5.408496732026144,271.0,0.6383674259945586,-1.4457307745793355,False
M1,50.0,7.0,all,2.0,1000,822,4.6440677966101696,125.28571428571428,,,,5.408496732026144,271.0,0.6383674259945586,-0.7644289354159746,False
M1,50.0,7.0,all,2.5,509,408,4.08,65.57142857142857,,,,5.408496732026144,271.0,0.6383674259945586,-1.328496732026144,False
M1,50.0,7.0,mainshock_window,,2259,1746,3.41015625,252.42857142857144,,,,5.408496732026144,271.0,0.6383674259945586,-1.9983404820261441,False
