interval_id,geometry_type,component_id,vertex_id,longitude,latitude,elapsed_mid_hr
M_14,convex,1,4,-117.42509763119996,35.49266579518504,13.5
M_14,convex,1,5,-117.44804718073748,35.833497795185046,13.5
M_14,alpha,1,0,-117.61790218184927,35.58417379518506,13.5
M_14,alpha,1,1,-117.60980596360342,35.59506679518505,13.5
M_14,alpha,1,2,-117.60918640550298,35.58729079518505,13.5
M_14,alpha,1,3,-117.61869179159606,35.57873379518504,13.5
M_14,alpha,1,4,-117.62365552278405,35.57498579518504,13.5
M_14,alpha,1,5,-117.63120706359494,35.568581795185054,13.5
M_14,alpha,1,6,-117.6332502625543,35.57135679518505,13.5
M_14,alpha,1,7,-117.6251115009112,35.574680795185046,13.5
M_14,alpha,1,8,-117.61790218184927,35.58417379518506,13.5
M_14,alpha,2,0,-117.58737773931388,35.60586979518505,13.5
M_14,alpha,2,1,-117.5890211908237,35.59823179518504,13.5
M_14,alpha,2,2,-117.59702149764534,35.60250479518505,13.5
M_14,alpha,2,3,-117.59167484777252,35.60737979518505,13.5
M_14,alpha,2,4,-117.58737773931388,35.60586979518505,13.5
M_14,alpha,3,0,-117.58743640170138,35.62900179518505,13.5
M_14,alpha,3,1,-117.57960094922709,35.63661479518505,13.5
M_14,alpha,3,2,-117.57405866332005,35.63263979518505,13.5
M_14,alpha,3,3,-117.57066389707839,35.62198279518504,13.5
M_14,alpha,3,4,-117.58743640170138,35.62900179518505,13.5
M_14,alpha,4,0,-117.55454379558554,35.63447879518504,13.5
M_14,alpha,4,1,-117.5583604120478,35.64304779518506,13.5
M_14,alpha,4,2,-117.55823846069103,35.64372379518506,13.5
M_14,alpha,4,3,-117.54206028907984,35.64133879518504,13.5
M_14,alpha,4,4,-117.53762548119937,35.644008795185066,13.5
M_14,alpha,4,5,-117.54271914914357,35.63939379518504,13.5
M_14,alpha,4,6,-117.54869167382031,35.63278579518505,13.5
M_14,alpha,4,7,-117.5528097596231,35.63397879518505,13.5
M_14,alpha,4,8,-117.55454379558554,35.63447879518504,13.5
M_14,alpha,5,0,-117.46752672785313,35.67520579518506,13.5
M_14,alpha,5,1,-117.4513154706561,35.67163679518505,13.5
M_14,alpha,5,2,-117.46458827568058,35.668930795185055,13.5
M_14,alpha,5,3,-117.46409953888552,35.65870179518505,13.5
M_14,alpha,5,4,-117.47401215666179,35.66727879518505,13.5
M_14,alpha,5,5,-117.47904123821601,35.66841079518504,13.5
M_14,alpha,5,6,-117.48011526516161,35.66878479518504,13.5
M_14,alpha,5,7,-117.49282801407327,35.67917679518505,13.5
M_14,alpha,5,8,-117.49749081174564,35.67636979518504,13.5
M_14,alpha,5,9,-117.50635993594081,35.664214795185046,13.5
M_14,alpha,5,10,-117.5071416428743,35.66014579518505,13.5
M_14,alpha,5,11,-117.50078460562284,35.64573779518505,13.5
M_14,alpha,5,12,-117.51129127491406,35.65503579518506,13.5
M_14,alpha,5,13,-117.5161663490027,35.65606479518505,13.5
