station_code,station_number,latitude,longitude,elevation_m,matched
N.KMIH,2003,39.274167,141.823333,-61.0,True
N.KMNH,1603,42.6105,140.484167,38.0,True
N.KMYH,2047,38.081333,140.297833,214.0,True
N.KOSH,2069,40.456333,140.8395,299.0,True
N.KRIH,2085,40.609167,140.664667,-5.0,True
N.KRMH,2015,40.2705,141.570833,138.0,True
N.KSKF,2454,,,,False
N.KSRF,1959,42.982,144.485167,18.0,True
N.KUCH,2077,41.234,140.989667,-82.0,True
N.KUMH,1610,42.134333,140.004,-32.0,True
N.KWAH,2052,39.688333,140.4075,64.0,True
N.KWSH,2036,,,,False
N.KYMH,1566,43.058667,141.806333,-94.0,True
N.KYOH,1599,42.975833,140.622,-181.0,True
N.KZMH,2027,39.939833,141.549167,469.0,True
N.KZNH,2070,40.062167,140.808333,210.0,True
N.MBEH,1564,42.593333,142.352167,54.0,True
N.MBWH,1576,42.512667,142.038167,-212.0,True
N.MGMH,2046,38.713167,140.554667,145.0,True
N.MKRH,1601,42.763,140.808333,127.0,True
N.MMRH,1525,42.892,143.060333,-131.0,True
N.MRRH,1597,42.411667,141.001667,-164.0,True
N.MSAH,1560,43.23,141.897833,-126.0,True
N.MSRH,2116,38.699333,141.417667,-12.0,True
N.NCPH,1569,42.597667,142.544667,203.0,True
N.NHEH,2011,40.238333,141.342333,28.0,True
N.NHJH,2074,40.856333,141.103333,-269.0,True
N.NHWH,2012,40.261167,141.170833,124.0,True
N.NRKH,2031,38.858667,140.651333,141.0,True
N.NSEH,2058,39.5575,140.611667,-83.0,True
N.NSNH,2060,39.814667,140.579,217.0,True
N.NSSH,2061,39.663333,140.572167,-6.0,True
N.NWAH,2080,40.449167,141.337333,-51.0,True
N.NYAH,2088,40.548833,140.272667,56.0,True
N.OGCH,2065,38.980167,140.495167,183.0,True
N.OHTH,1605,42.647667,141.064333,148.0,True
N.OIWH,1574,42.873833,141.819167,-42.0,True
N.OKEH,1537,43.635167,143.51,190.0,True
N.OMRH,2062,39.354833,140.386833,-36.0,True
N.OOMH,2078,41.527333,140.912667,-92.0,True
N.OWNH,2087,40.484167,140.5565,28.0,True
N.RIFH,2117,38.34,140.955167,-1004.0,True
N.RKBH,1527,43.468333,143.683,128.0,True
N.RKSH,2075,40.966333,141.373833,-97.0,True
N.RNKH,1600,42.830833,140.483167,-93.0,True
N.RZTH,2007,39.030667,141.532,-22.0,True
N.SAIH,2076,41.404833,140.856667,-172.0,True
N.SAMH,1593,42.133,142.916333,-63.0,True
N.SCNH,1556,43.384833,144.627833,-25.0,True
N.SCSH,1555,43.213833,144.680333,-213.0,True
N.SHGH,2082,40.462333,141.092333,163.0,True
N.SHZH,1590,42.874167,142.883,318.0,True
N.SKSH,1530,43.173833,142.917667,47.0,True
N.SKWH,2559,38.131167,139.542667,-24.0,True
