mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_total,n_pre,n_post,duration_pre_days,duration_post_days,pre_rate,post_rate,rate_ratio,moving_rate_max,moving_rate_median,post_omori_c,post_omori_k,post_omori_p,post_omori_r2,post_omori_fit_ok,radial_q25_km,radial_q50_km,radial_q75_km,depth_q25_km,depth_q50_km,depth_q75_km,mag_q25,mag_q50,mag_q75,mecha_events,mecha_available
M1,44.0,7.0,all,2.5,505,99,405,7.0,7.0,14.142857142857142,57.857142857142854,4.090909090909091,65.0,58.0,,,,,False,9.6348650955617,16.65332976048389,23.28599435369895,10.92,12.69,14.07,2.7,3.1,3.5,6,True
M1,44.0,7.0,mainshock_window,,2233,509,1723,7.0,7.0,72.71428571428571,246.14285714285714,3.3850687622789786,250.28571428571428,246.28571428571428,,,,,False,9.486605095990258,16.006348984834503,23.864959557942047,9.72,11.63,12.99,1.6,1.8,2.4,6,True
M1,44.0,7.0,mainshock_window,1.2,2161,481,1679,7.0,7.0,68.71428571428571,239.85714285714286,3.490644490644491,244.42857142857142,240.0,,,,,False,9.607711576338518,16.247134647264946,23.985107969399277,9.71,11.63,13.0,1.6,1.9,2.4,6,True
M1,44.0,7.0,mainshock_window,1.5,1844,373,1470,7.0,7.0,53.285714285714285,210.0,3.941018766756032,216.42857142857142,210.14285714285714,,,,,False,9.871019480080173,16.635806328920978,24.052238336133854,9.7975,11.715,13.13,1.7,2.0,2.5,6,True
M1,44.0,7.0,mainshock_window,2.0,991,175,815,7.0,7.0,25.0,116.42857142857143,4.6571428571428575,124.28571428571429,116.57142857142857,,,,,False,10.568488347020324,17.181520493603,23.951462061316832,10.25,12.34,13.765,2.2,2.5,3.1,6,True
M1,44.0,7.0,mainshock_window,2.5,505,99,405,7.0,7.0,14.142857142857142,57.857142857142854,4.090909090909091,65.0,58.0,,,,,False,9.6348650955617,16.65332976048389,23.28599435369895,10.92,12.69,14.07,2.7,3.1,3.5,6,True
M1,44.0,7.0,stratified,,2230,509,1720,7.0,7.0,72.71428571428571,245.71428571428572,3.37917485265226,249.85714285714286,245.85714285714286,,,,,False,9.48060031673754,15.970025210521015,23.84310260190783,9.72,11.62,12.98,1.6,1.8,2.4,6,True
M1,44.0,7.0,stratified,1.2,2158,481,1676,7.0,7.0,68.71428571428571,239.42857142857142,3.4844074844074844,244.0,239.57142857142858,,,,,False,9.600174879463928,16.227822441259235,23.965393900914545,9.71,11.62,12.9975,1.6,1.9,2.4,6,True
M1,44.0,7.0,stratified,1.5,1841,373,1467,7.0,7.0,53.285714285714285,209.57142857142858,3.932975871313673,216.0,209.71428571428572,,,,,False,9.868217151011864,16.60987934785496,24.03177945611733,9.79,11.71,13.12,1.7,2.0,2.5,6,True
M1,44.0,7.0,stratified,2.0,989,175,813,7.0,7.0,25.0,116.14285714285714,4.645714285714286,124.0,116.28571428571429,,,,,False,10.568451575646858,17.072784485615603,23.923992324406832,10.24,12.34,13.76,2.2,2.5,3.1,6,True
M1,44.0,7.0,stratified,2.5,505,99,405,7.0,7.0,14.142857142857142,57.857142857142854,4.090909090909091,65.0,58.0,,,,,False,9.6348650955617,16.65332976048389,23.28599435369895,10.92,12.69,14.07,2.7,3.1,3.5,6,True
M1,44.0,30.0,all,,3156,540,2615,30.0,30.0,18.0,87.16666666666667,4.842592592592593,275.7142857142857,21.357142857142858,0.01,272.43616668435135,0.5527774596276611,0.8929018411456737,True,10.777189912505229,18.133754513193132,25.445651293742344,9.54,11.56,12.942499999999999,1.5,1.8,2.3,6,True
M1,44.0,30.0,all,1.2,3034,510,2523,30.0,30.0,17.0,84.1,4.947058823529411,268.0,19.785714285714285,0.01,265.57967291105945,0.5637167183010661,0.8931997902485826,True,10.821635901751396,18.25109480424433,25.453768645573973,9.5425,11.56,12.97,1.5,1.8,2.3,6,True
M1,44.0,30.0,all,1.5,2478,393,2084,30.0,30.0,13.1,69.46666666666667,5.302798982188295,233.85714285714286,14.0,0.01,229.7138100525682,0.6222250489426768,0.8956754936840075,True,11.040022684959329,17.984991373438138,25.159631019587515,9.622499999999999,11.665,13.127500000000001,1.7,1.9,2.4,6,True
M1,44.0,30.0,all,2.0,1232,185,1046,30.0,30.0,6.166666666666667,34.86666666666667,5.654054054054054,131.85714285714286,5.5,0.01,126.52004363257771,0.79996670307667,0.9353499216334062,True,11.334877911864098,18.093420655765172,24.580490626335532,10.4125,12.45,13.872499999999999,2.2,2.4,3.0,6,True
