interval_label,geometry_type,component_index,ring_type,point_order,x_m,y_m,longitude,latitude
morphology_1h_28,alpha_shape,4,exterior,1,457715.1082376003,3952125.667630768,-117.46747239451724,35.71217279518505
morphology_1h_28,alpha_shape,4,exterior,2,457737.83222732897,3952091.2873215126,-117.46721937220694,35.71186379518504
morphology_1h_28,alpha_shape,4,exterior,3,457703.5144892902,3951526.349289498,-117.46756900438864,35.70676879518505
morphology_1h_28,alpha_shape,4,exterior,4,457399.42234453687,3951993.970164653,-117.470955307805,35.710971795185046
morphology_1h_28,alpha_shape,5,exterior,0,451706.9270772934,3953253.922157573,-117.53396010920467,35.72206879518506
morphology_1h_28,alpha_shape,5,exterior,1,451164.8216443234,3953592.18283698,-117.53997432759488,35.72509179518505
morphology_1h_28,alpha_shape,5,exterior,2,450922.41903361166,3954217.636389766,-117.54269273419231,35.730718795185055
morphology_1h_28,alpha_shape,5,exterior,3,451330.9258828252,3953968.157686283,-117.53816057311504,35.72848979518505
morphology_1h_28,alpha_shape,5,exterior,4,451309.73311855615,3953712.7269828594,-117.53837940663661,35.72618579518504
morphology_1h_28,alpha_shape,5,exterior,5,451706.9270772934,3953253.922157573,-117.53396010920467,35.72206879518506
morphology_1h_28,alpha_shape,6,exterior,0,451429.0633053968,3955639.657862895,-117.53717666284578,35.74356479518505
morphology_1h_28,alpha_shape,6,exterior,1,451906.5790921011,3955756.732328961,-117.53190274087486,35.74464379518504
morphology_1h_28,alpha_shape,6,exterior,2,451850.65193453006,3955360.737722143,-117.5324974825053,35.74107079518505
morphology_1h_28,alpha_shape,6,exterior,3,451636.6622409205,3955520.288205213,-117.53487358576088,35.742498795185035
morphology_1h_28,alpha_shape,6,exterior,4,451429.0633053968,3955639.657862895,-117.53717666284578,35.74356479518505
morphology_1h_29,alpha_shape,0,exterior,0,445193.8461978416,3935921.250912573,-117.60479083957425,35.56545679518504
morphology_1h_29,alpha_shape,0,exterior,1,445165.5395079871,3935513.820377799,-117.60507557617015,35.56178179518504
morphology_1h_29,alpha_shape,0,exterior,2,444941.743185934,3935582.410893362,-117.60754961960166,35.562387795185046
morphology_1h_29,alpha_shape,0,exterior,3,444901.24552330654,3935584.546262032,-117.60799662082005,35.562404795185046
morphology_1h_29,alpha_shape,0,exterior,4,444904.58840475575,3936012.760057835,-117.60798889756543,35.56626579518505
morphology_1h_29,alpha_shape,0,exterior,5,444980.2436036059,3936203.174447845,-117.60716702093872,35.56798679518504
morphology_1h_29,alpha_shape,0,exterior,6,445154.9205470226,3936315.452342226,-117.6052470942078,35.56900879518505
morphology_1h_29,alpha_shape,0,exterior,7,445193.8461978416,3935921.250912573,-117.60479083957425,35.56545679518504
morphology_1h_29,alpha_shape,1,exterior,0,443685.5931948605,3936851.2181787062,-117.62149843464918,35.57375679518504
morphology_1h_29,alpha_shape,1,exterior,1,443236.27499361633,3937174.4938179,-117.62647964183552,35.57664579518505
morphology_1h_29,alpha_shape,1,exterior,2,443403.3252811237,3937355.7743264064,-117.62464875974914,35.57828979518505
morphology_1h_29,alpha_shape,1,exterior,3,443685.5931948605,3936851.2181787062,-117.62149843464918,35.57375679518504
morphology_1h_29,alpha_shape,2,exterior,0,445916.3257216743,3939064.2192516495,-117.59702887509404,35.59383379518504
morphology_1h_29,alpha_shape,2,exterior,1,445736.9771047702,3939278.705830825,-117.59902301320835,35.59575779518505
morphology_1h_29,alpha_shape,2,exterior,2,445985.659111734,3939688.351150398,-117.59630527935228,35.59946479518505
morphology_1h_29,alpha_shape,2,exterior,3,446031.09753546887,3939516.160494414,-117.59579216806416,35.59791479518505
morphology_1h_29,alpha_shape,2,exterior,4,445916.3257216743,3939064.2192516495,-117.59702887509404,35.59383379518504
morphology_1h_29,alpha_shape,3,exterior,0,452515.5427561648,3946513.333628753,-117.524621728505,35.66133479518504
morphology_1h_29,alpha_shape,3,exterior,1,453064.0884830357,3946604.698246972,-117.51856678972429,35.66218479518505
morphology_1h_29,alpha_shape,3,exterior,2,453233.2300310633,3946703.518036106,-117.51670385447551,35.66308379518504
