stage,interval_index,interval_label,start_time,end_time,duration_hours,event_count_actual,area_m2,perimeter_m,centroid_x_m,centroid_y_m,centroid_distance_to_mainshock71_m,nearest_fault_distance_m,fault_points_within_3km,compactness,major_axis_m,minor_axis_m,orientation_deg,component_count,geometry_status,centroid_longitude,centroid_latitude,accepted_triangle_count,hours_since_mainshock64_start,hours_since_mainshock64_end
morphology_1h,23,morphology_1h_23,2019-07-05T15:33:49.040000+00:00,2019-07-05T16:33:49.040000+00:00,1.0,162,1667935.0336148008,22672.039145842697,450697.8824668298,3949184.1985164955,10976.971069094361,844.7830515794668,544,0.040776301266166826,21445.95720839186,11872.073227592688,150.3882323390153,11,ok,-117.5448666001369,35.685326225810314,52,22.0,23.0
morphology_1h,24,morphology_1h_24,2019-07-05T16:33:49.040000+00:00,2019-07-05T17:33:49.040000+00:00,1.0,152,3826307.813648323,26805.996905963893,449973.8385057771,3954683.7791642756,5821.499356702332,528.3952740132614,479,0.0669153636399722,24034.087997234026,12568.565844055229,88.41729080822347,9,ok,-117.55321063045074,35.73487373920687,58,23.0,24.0
morphology_1h,25,morphology_1h_25,2019-07-05T17:33:49.040000+00:00,2019-07-05T18:33:49.040000+00:00,1.0,146,1883232.2383524792,19220.946454860252,451260.6126676645,3951913.6200613333,8826.347776993318,810.1957805217677,345,0.06405664763264292,13058.775916401833,7124.304400362806,104.61419731394676,9,ok,-117.53881330756596,35.709962673100335,42,24.0,25.0
morphology_1h,26,morphology_1h_26,2019-07-05T18:33:49.040000+00:00,2019-07-05T19:33:49.040000+00:00,1.0,141,1333656.768436157,14478.044193927512,448687.85046922194,3950165.2862387914,9404.840369596148,1395.3597669827268,287,0.07995288539352251,17852.88289650911,5133.483198798009,83.3488630146843,7,ok,-117.56714229889762,35.69406909771001,31,25.0,26.0
morphology_1h,27,morphology_1h_27,2019-07-05T19:33:49.040000+00:00,2019-07-05T20:33:49.040000+00:00,1.0,142,2637658.067959061,22360.87963825854,451003.98395597254,3949525.2403936274,10790.32502713665,580.4411476498728,515,0.06629039263872076,24383.48621388984,9195.955459551176,74.29426347877268,8,ok,-117.54150460862739,35.68841632573373,56,26.0,27.0
morphology_1h,28,morphology_1h_28,2019-07-05T20:33:49.040000+00:00,2019-07-05T21:33:49.040000+00:00,1.0,141,1568787.9879154458,17223.12884352187,452385.5081023446,3947243.221458795,13446.117403529699,566.7524300507761,639,0.06645842096803414,21428.71234817115,7284.34756538359,71.54030912884366,7,ok,-117.52610150501096,35.667909245786426,62,27.0,28.0
morphology_1h,29,morphology_1h_29,2019-07-05T21:33:49.040000+00:00,2019-07-05T22:33:49.040000+00:00,1.0,144,1473590.615979705,15229.90609297889,450531.1386196101,3948195.565860712,11834.535790549138,152.5505877361007,536,0.07983480341758267,18358.24633553237,9182.979370994168,49.86664657199745,8,ok,-117.54664850820902,35.67640434748145,44,28.0,29.0
morphology_1h,30,morphology_1h_30,2019-07-05T22:33:49.040000+00:00,2019-07-05T23:33:49.040000+00:00,1.0,135,1377765.4876619354,18874.457657189047,450297.69456060755,3948376.971450933,11584.325543574265,404.07108349730134,524,0.048599992582569376,20291.647408949622,8244.85453815723,81.69411917921929,10,ok,-117.54923924927499,35.67802816352704,33,29.0,30.0
morphology_1h,31,morphology_1h_31,2019-07-05T23:33:49.040000+00:00,2019-07-06T00:33:49.040000+00:00,1.0,116,1198927.0067519767,14679.17459567536,452029.23695355584,3951956.7321663243,9236.240066881131,909.5953268935557,262,0.06991966438842011,13837.561811785747,8761.952473155232,147.7146124966365,8,ok,-117.53031907931248,35.71038911089744,25,30.0,31.0
morphology_1h,32,morphology_1h_32,2019-07-06T00:33:49.040000+00:00,2019-07-06T01:33:49.040000+00:00,1.0,113,1051276.1033557258,11861.587905676748,450180.56315321435,3953680.7305564308,6756.732866915112,823.4704218690324,453,0.09389468149591089,12867.575082470423,11764.263473339397,151.6048537442001,6,ok,-117.55086239968375,35.72584081019044,19,31.0,32.0
morphology_1h,33,morphology_1h_33,2019-07-06T01:33:49.040000+00:00,2019-07-06T02:33:49.040000+00:00,1.0,118,780380.6629217066,10515.000650289052,453524.9088808603,3952299.6268491284,9971.12844176423,731.7696201033395,137,0.08869471768905483,15840.19478176164,9065.448395395215,107.22394390445743,6,ok,-117.5138048019877,35.71355237322185,27,32.0,33.0
morphology_1h,34,morphology_1h_34,2019-07-06T02:33:49.040000+00:00,2019-07-06T03:19:53.040000+00:00,0.7677777777777778,96,932768.0860282239,10048.292783774446,451919.2426332895,3950470.721557597,10396.782955534782,668.3868269939735,527,0.11609111457510249,11405.542385321267,7209.573005064152,97.89538611329971,4,ok,-117.53144609966954,35.69698587415528,17,33.0,33.76777777777778
