interval_label,geometry_type,component_index,ring_type,point_order,x_m,y_m,longitude,latitude
morphology_1h_09,convex_hull,0,exterior,1,436967.0031169796,3971252.943260392,-117.6983438176799,35.88350679518505
morphology_1h_09,convex_hull,0,exterior,2,457830.37722956366,3952054.2460132474,-117.46619434838074,35.711533795185055
morphology_1h_09,convex_hull,0,exterior,3,457919.09139439167,3951971.638620177,-117.46520929488162,35.710792795185036
morphology_1h_09,convex_hull,0,exterior,4,465950.0069192319,3944239.8731054254,-117.37610129289318,35.641391795185044
morphology_1h_09,convex_hull,0,exterior,5,446024.0150363433,3931430.2368498174,-117.59533094325349,35.52501079518503
morphology_1h_09,convex_hull,0,exterior,6,428139.99315332016,3929530.994967775,-117.79240063769927,35.50675279518506
morphology_1h_10,convex_hull,0,exterior,0,435854.6934872116,3933645.168904115,-117.7076623291797,35.54437479518505
morphology_1h_10,convex_hull,0,exterior,1,441266.94632076734,3953097.920551253,-117.64937396661486,35.72009479518505
morphology_1h_10,convex_hull,0,exterior,2,444774.28114427096,3958921.800187239,-117.61099877883956,35.77280479518506
morphology_1h_10,convex_hull,0,exterior,3,450339.9685196527,3961466.311750189,-117.54958246267012,35.796042795185045
morphology_1h_10,convex_hull,0,exterior,4,453089.3071776428,3962130.11607801,-117.51919590644818,35.80216279518505
morphology_1h_10,convex_hull,0,exterior,5,453845.7568180552,3961812.9134305622,-117.5108057016555,35.799338795185044
morphology_1h_10,convex_hull,0,exterior,6,462965.17082014296,3952645.574792583,-117.40945674827856,35.71707179518504
morphology_1h_10,convex_hull,0,exterior,7,460812.7026301879,3947695.933692404,-117.43301252289892,35.67236179518505
morphology_1h_10,convex_hull,0,exterior,8,445263.5969072435,3936110.2619692446,-117.60403396201073,35.56716479518506
morphology_1h_10,convex_hull,0,exterior,9,444620.3989681475,3935851.587612352,-117.61111379226553,35.564796795185046
morphology_1h_10,convex_hull,0,exterior,10,435854.6934872116,3933645.168904115,-117.7076623291797,35.54437479518505
morphology_1h_11,convex_hull,0,exterior,0,458480.9844622952,3933136.371971336,-117.4580280870982,35.54099379518505
morphology_1h_11,convex_hull,0,exterior,1,431894.9020349392,3934652.9792052354,-117.75142896102999,35.55319679518506
morphology_1h_11,convex_hull,0,exterior,2,437159.2472305099,3970188.619930967,-117.69613012005318,35.87392379518506
morphology_1h_11,convex_hull,0,exterior,3,459920.3954089298,3961313.48594222,-117.44355239452004,35.795102795185045
morphology_1h_11,convex_hull,0,exterior,4,462898.7969163268,3945988.7112484337,-117.40988341992684,35.65704979518505
morphology_1h_11,convex_hull,0,exterior,5,458480.9844622952,3933136.371971336,-117.4580280870982,35.54099379518505
morphology_1h_12,convex_hull,0,exterior,0,453127.9605449727,3924131.12416158,-117.51655926864072,35.45956079518504
morphology_1h_12,convex_hull,0,exterior,1,443455.1792449919,3937042.2261254494,-117.62405455720757,35.575465795185025
morphology_1h_12,convex_hull,0,exterior,2,438193.6055624336,3953387.764228408,-117.68337414178416,35.72251979518505
morphology_1h_12,convex_hull,0,exterior,3,446053.26464272896,3961446.701179676,-117.5970194334522,35.795639795185046
morphology_1h_12,convex_hull,0,exterior,4,454060.4563933968,3958219.3710145513,-117.5082233548896,35.76694979518504
morphology_1h_12,convex_hull,0,exterior,5,459913.42286989454,3953148.0674208505,-117.44322106687414,35.72148279518504
morphology_1h_12,convex_hull,0,exterior,6,459647.23359184136,3946970.902851694,-117.4458540485303,35.66577779518504
morphology_1h_12,convex_hull,0,exterior,7,453127.9605449727,3924131.12416158,-117.51655926864072,35.45956079518504
morphology_1h_13,convex_hull,0,exterior,0,452894.7646239114,3931818.731723545,-117.51957521891602,35.528863795185046
morphology_1h_13,convex_hull,0,exterior,1,442755.3554150076,3935984.802926275,-117.63170287075587,35.56589179518505
morphology_1h_13,convex_hull,0,exterior,2,440853.2166574936,3962321.680045952,-117.65462898376049,35.803228795185056
morphology_1h_13,convex_hull,0,exterior,3,458270.6880149893,3967720.792607337,-117.46214358357138,35.85280179518505
morphology_1h_13,convex_hull,0,exterior,4,460528.0118822621,3956012.855819111,-117.43656693564029,35.747336795185056
morphology_1h_13,convex_hull,0,exterior,5,460744.5013581856,3947600.517703565,-117.43376146071213,35.67149879518505
morphology_1h_13,convex_hull,0,exterior,6,459369.1044978668,3934918.045942291,-117.44832024030067,35.55709479518504
morphology_1h_13,convex_hull,0,exterior,7,452894.7646239114,3931818.731723545,-117.51957521891602,35.528863795185046
morphology_1h_14,convex_hull,0,exterior,0,461442.9576914012,3927763.100601922,-117.42509763119996,35.49266579518505
morphology_1h_14,convex_hull,0,exterior,1,442802.19768785103,3936282.859610878,-117.63120706359494,35.56858179518505
morphology_1h_14,convex_hull,0,exterior,2,442619.02638051263,3936591.820182335,-117.6332502625543,35.57135679518505
morphology_1h_14,convex_hull,0,exterior,3,436611.4099809756,3973514.840935025,-117.70246330160671,35.90387579518505
morphology_1h_14,convex_hull,0,exterior,4,459533.7285001197,3965573.810476836,-117.44804718073748,35.83349779518504
morphology_1h_14,convex_hull,0,exterior,5,461442.9576914012,3927763.100601922,-117.42509763119996,35.49266579518505
morphology_1h_15,convex_hull,0,exterior,0,442709.5460782116,3935977.887450479,-117.63220786609652,35.565826795185046
morphology_1h_15,convex_hull,0,exterior,1,438837.5333757391,3937809.70943776,-117.675072033842,35.58211079518505
morphology_1h_15,convex_hull,0,exterior,2,444587.230464792,3958887.363966571,-117.61306575559335,35.77248379518504
morphology_1h_15,convex_hull,0,exterior,3,445561.6006021707,3960172.0599302743,-117.60237359855806,35.78412079518504
morphology_1h_15,convex_hull,0,exterior,4,459940.8389263482,3958322.156313028,-117.443176440611,35.76813379518505
morphology_1h_15,convex_hull,0,exterior,5,460188.2256426999,3945048.5857133023,-117.4397818021026,35.648467795185056
morphology_1h_15,convex_hull,0,exterior,6,455161.808567424,3937988.89477412,-117.49491221248572,35.58460079518504
morphology_1h_15,convex_hull,0,exterior,7,444102.1757881373,3936124.779954177,-117.61685096674209,35.56723079518505
morphology_1h_15,convex_hull,0,exterior,8,442709.5460782116,3935977.887450479,-117.63220786609652,35.565826795185046
morphology_1h_16,convex_hull,0,exterior,0,464852.2881277761,3934777.437977435,-117.3878141644954,35.55603679518505
morphology_1h_16,convex_hull,0,exterior,1,444451.5363323855,3935376.598634928,-117.6129444846529,35.56050479518504
morphology_1h_16,convex_hull,0,exterior,2,442945.073755343,3936248.892968725,-117.62962804223083,35.56828379518504
morphology_1h_16,convex_hull,0,exterior,3,442059.1789586174,3937365.289217872,-117.63948376032297,35.578297795185044
morphology_1h_16,convex_hull,0,exterior,4,433166.0803255991,3952396.982988258,-117.73887547293091,35.71325879518504
morphology_1h_16,convex_hull,0,exterior,5,434510.11159990734,3973298.706322492,-117.72573014949548,35.90178879518505
morphology_1h_16,convex_hull,0,exterior,6,455770.2297665097,3964649.5031840736,-117.48966456375145,35.82500179518505
morphology_1h_16,convex_hull,0,exterior,7,466049.070493327,3938233.2817657017,-117.3747544016998,35.587237795185054
morphology_1h_16,convex_hull,0,exterior,8,464852.2881277761,3934777.437977435,-117.3878141644954,35.55603679518505
morphology_1h_17,convex_hull,0,exterior,0,433237.0603583135,3931123.947035053,-117.73633069003075,35.52147079518505
morphology_1h_17,convex_hull,0,exterior,1,437196.8661917717,3971975.17265128,-117.695854292951,35.89003279518505
morphology_1h_17,convex_hull,0,exterior,2,450353.5972318513,3960355.9675011407,-117.54936273710646,35.786032795185044
morphology_1h_17,convex_hull,0,exterior,3,459661.00077195663,3951860.294280823,-117.44594722766752,35.70986179518505
morphology_1h_17,convex_hull,0,exterior,4,460318.8839097128,3949802.013330846,-117.4385728904532,35.69133079518506
morphology_1h_17,convex_hull,0,exterior,5,458197.36952592974,3947381.097539842,-117.4618943106244,35.669415795185046
morphology_1h_17,convex_hull,0,exterior,6,445013.3245489464,3935832.521707005,-117.60677678151372,35.56464679518504
morphology_1h_17,convex_hull,0,exterior,7,444568.828533864,3935497.20829465,-117.61165856305497,35.561598795185056
morphology_1h_17,convex_hull,0,exterior,8,433237.0603583135,3931123.947035053,-117.73633069003075,35.52147079518505
morphology_1h_18,convex_hull,0,exterior,0,434453.38775123225,3934200.932197402,-117.72316568145492,35.549293795185044
morphology_1h_18,convex_hull,0,exterior,1,436949.6027649383,3969841.713773935,-117.69842489146536,35.87078279518505
morphology_1h_18,convex_hull,0,exterior,2,459798.8092312985,3962411.201277016,-117.44495311184969,35.80499479518505
morphology_1h_18,convex_hull,0,exterior,3,463928.0790667049,3952841.4733583913,-117.39881987842415,35.71887379518505
morphology_1h_18,convex_hull,0,exterior,4,456823.6186933841,3941360.0457952954,-117.476750400247,35.61506979518506
morphology_1h_18,convex_hull,0,exterior,5,445056.8410698315,3936191.944066136,-117.60632101398484,35.56788979518505
morphology_1h_18,convex_hull,0,exterior,6,442098.02873398014,3935614.044094221,-117.63892962841712,35.56251079518504
morphology_1h_18,convex_hull,0,exterior,7,434453.38775123225,3934200.932197402,-117.72316568145492,35.549293795185044
morphology_1h_19,convex_hull,0,exterior,0,447554.7554720873,3929471.858857133,-117.57832168651662,35.50743579518504
morphology_1h_19,convex_hull,0,exterior,1,442662.6845504242,3936489.0555400425,-117.63276119630319,35.57043279518505
morphology_1h_19,convex_hull,0,exterior,2,436903.7460130388,3969893.508566597,-117.69893692523097,35.87124679518505
morphology_1h_19,convex_hull,0,exterior,3,454177.5509536556,3963982.4700155794,-117.50725812186793,35.81891479518505
morphology_1h_19,convex_hull,0,exterior,4,458776.5612797349,3953395.1761615057,-117.455803224428,35.72366379518504
morphology_1h_19,convex_hull,0,exterior,5,461139.6386155546,3931908.626841428,-117.42864030249083,35.53003179518505
morphology_1h_19,convex_hull,0,exterior,6,447554.7554720873,3929471.858857133,-117.57832168651662,35.50743579518504
morphology_1h_20,convex_hull,0,exterior,0,444659.39981598686,3935605.8955598376,-117.61066663364909,35.56258379518504
morphology_1h_20,convex_hull,0,exterior,1,443061.7599373551,3936386.789510384,-117.62835013184748,35.56953379518505
morphology_1h_20,convex_hull,0,exterior,2,442262.5461799178,3957837.072037843,-117.63870806033285,35.76288079518505
morphology_1h_20,convex_hull,0,exterior,3,442391.8350745378,3961232.854041327,-117.63752227859963,35.793503795185046
morphology_1h_20,convex_hull,0,exterior,4,443272.2690116669,3962866.419337017,-117.62789535036032,35.80828279518506
morphology_1h_20,convex_hull,0,exterior,5,450426.6859289847,3959600.998543856,-117.54850724420324,35.779229795185046
morphology_1h_20,convex_hull,0,exterior,6,456998.57456689,3950834.7542349854,-117.47532455216036,35.700502795185045
morphology_1h_20,convex_hull,0,exterior,7,457985.4488669936,3947429.0121195177,-117.46423834110183,35.66983879518505
morphology_1h_20,convex_hull,0,exterior,8,457692.84198804514,3942047.74064761,-117.46718884855923,35.62130779518505
morphology_1h_20,convex_hull,0,exterior,9,446292.4510976376,3935869.875657922,-117.5926648106871,35.56505379518505
morphology_1h_20,convex_hull,0,exterior,10,444659.39981598686,3935605.8955598376,-117.61066663364909,35.56258379518504
morphology_1h_21,convex_hull,0,exterior,0,429630.84940157033,3926687.138592922,-117.77571581391219,35.481219795185034
morphology_1h_21,convex_hull,0,exterior,1,441790.7199420694,3956667.653415975,-117.64384229536985,35.75230979518505
morphology_1h_21,convex_hull,0,exterior,2,444737.6199231677,3960960.238087235,-117.61154511020871,35.79118079518504
morphology_1h_21,convex_hull,0,exterior,3,449449.8179817105,3961277.802115656,-117.55942133615997,35.79429779518505
morphology_1h_21,convex_hull,0,exterior,4,459599.4251054686,3953879.630815979,-117.44672954247697,35.728065795185046
morphology_1h_21,convex_hull,0,exterior,5,459573.2162046499,3941966.8057995415,-117.44642080176676,35.62065679518505
morphology_1h_21,convex_hull,0,exterior,6,429630.84940157033,3926687.138592922,-117.77571581391219,35.481219795185034
morphology_1h_22,convex_hull,0,exterior,0,444518.8138613325,3935528.6854838766,-117.61221258319364,35.561879795185035
morphology_1h_22,convex_hull,0,exterior,1,442979.67581541976,3936246.4535817946,-117.62924604079701,35.56826379518505
morphology_1h_22,convex_hull,0,exterior,2,442518.3294336907,3936631.28791895,-117.6343642876502,35.571706795185044
morphology_1h_22,convex_hull,0,exterior,3,440961.0781441644,3963957.005352723,-117.65355605393114,35.81797879518504
morphology_1h_22,convex_hull,0,exterior,4,445802.7605907716,3965613.064442992,-117.60007415829315,35.83318879518505
morphology_1h_22,convex_hull,0,exterior,5,451309.6300540409,3959518.015976337,-117.53873319320523,35.77852579518505
morphology_1h_22,convex_hull,0,exterior,6,457760.8180415764,3951977.824882208,-117.46695929841928,35.71084179518505
