source_row_index,event_time,latitude,longitude,depth_km,magnitude,t_days,x_km,y_km,along_strike_km,cross_strike_km,in_entire_corridor,north_35p70,south_35p70,on_split_35p70,north_35p72,south_35p72,on_split_35p72,north_35p74,south_35p74,on_split_35p74
1938,2019-07-05T07:09:22.770000Z,35.65813179518505,-117.51065649783936,2.2837818800000003,1.33,0.5663626157407408,3.487128721846339,-7.806181218847154,33.3569499756898,-2.6698133008631575,True,False,True,False,False,True,False,False,True,False
1939,2019-07-05T07:09:24.510000Z,35.67163679518505,-117.45131547065608,7.604020490000001,1.72,0.5663827546296296,8.859038702661177,-6.304032162550339,35.83543310056138,2.327284859973615,True,False,True,False,False,True,False,False,True,False
1940,2019-07-05T07:10:07.390000Z,35.72752079518505,-117.66455950309644,1.7466773,0.76,0.5668790509259259,-10.439929022718127,-0.10178652217157128,18.312148936046153,-7.863520718511307,False,False,False,False,False,False,False,False,False,False
1941,2019-07-05T07:10:34.680000Z,35.56518379518505,-117.50812682000546,1.6813537700000003,1.07,0.5671949074074074,3.720499519281991,-18.118837705098215,41.1765150565986,-9.397349824579964,False,False,False,False,False,False,False,False,False,False
1942,2019-07-05T07:10:46.660000Z,35.66693379518505,-117.5140181318074,3.72815771,1.52,0.5673335648148149,3.1823791169897144,-6.829689264379114,32.427382354671835,-2.2428321575370345,True,False,True,False,False,True,False,False,True,False
1943,2019-07-05T07:11:01.810000Z,35.70835179518505,-117.46787111865868,2.50152698,1.18,0.567508912037037,7.356784193198857,-2.231751265936349,31.80402687502299,3.9360123561075886,True,True,False,False,False,True,False,False,True,False
1944,2019-07-05T07:11:26.170000Z,35.718271795185046,-117.52626983494471,5.383020470000001,0.72,0.5677908564814814,2.071765494439917,-1.133896110539075,27.451609695377293,0.7433374144968755,True,True,False,False,False,True,False,False,True,False
1945,2019-07-05T07:11:48.780000Z,35.63939379518505,-117.54271914914357,4.388651180000001,2.45,0.5680525462962963,0.5839521116203273,-9.885873981912455,32.95965399552116,-6.218857161264352,False,False,False,False,False,False,False,False,False,False
1946,2019-07-05T07:12:46.220000Z,35.67494479518505,-117.48010770904284,2.79911195,1.14,0.5687173611111112,6.252047644462558,-5.939215961500781,33.81980672347334,0.6341388101413068,True,False,True,False,False,True,False,False,True,False
1947,2019-07-05T07:13:03.230000Z,35.90387579518505,-117.7024633016067,6.9580433600000005,0.91,0.5689142361111111,-13.838574845930388,19.470473077771572,1.4935968822058403,2.708160609048117,True,True,False,False,True,False,False,True,False,False
1948,2019-07-05T07:13:16.250000Z,35.69640879518505,-117.49940425676472,6.8709453200000015,0.87,0.5690649305555555,4.503880987293989,-3.5587742366408137,30.881058891082112,0.9279936115417121,True,False,True,False,False,True,False,False,True,False
1949,2019-07-05T07:13:49.690000Z,35.73064979518505,-117.5470067292058,7.212079310000001,1.88,0.5694519675925926,0.19539293153703316,0.23925171685005092,25.175596271851827,0.2678672823012721,True,True,False,False,True,False,False,False,True,False
