origin_time,latitude,longitude,depth_km,magnitude,event_id,mainshock_id,mainshock_time,mainshock_latitude,mainshock_longitude,mainshock_depth_km,mainshock_magnitude,relative_time_seconds,relative_time_hours,relative_time_days,epicentral_distance_km,depth_diff_km,abs_depth_diff_km,hypocentral_distance_km,distance_band,within_30km,within_60km,within_100km,prepost_flag,magnitude_bin,is_m4plus,is_m5plus,is_m6plus,mag_to_mainshock_gap,is_mainshock_like_event,window_pm7d,window_pm14d,window_pm25d,overlap_mainshock_count_pm25d_100km,shared_across_mainshocks_pm25d_100km
2025-11-03 20:56:11.280000+00:00,39.365308,143.561947,10.51,1.5,EVT_000807,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-472047.96,-131.12443333333334,-5.463518055555555,6.24074772823671,-5.390000000000001,5.390000000000001,8.2461525699863,0-30 km,True,True,True,pre,<4,False,False,False,5.4,False,True,True,True,1,False
2025-11-03 20:58:41.880000+00:00,39.362805,143.55236,11.52,1.7,EVT_000808,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-471897.36,-131.08259999999999,-5.461775,5.847472536715829,-4.380000000000001,4.380000000000001,7.305979405093191,0-30 km,True,True,True,pre,<4,False,False,False,5.2,False,True,True,True,1,False
2025-11-03 21:00:16.040000+00:00,39.364221,143.55376,11.43,1.7,EVT_000809,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-471803.2,-131.05644444444445,-5.460685185185185,5.813570394751515,-4.470000000000001,4.470000000000001,7.333382625687228,0-30 km,True,True,True,pre,<4,False,False,False,5.2,False,True,True,True,1,False
2025-11-03 21:05:34.680000+00:00,39.363989,143.579818,13.15,1.9,EVT_000810,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-471484.56,-130.96793333333332,-5.456997222222222,7.551903889551106,-2.75,2.75,8.037023849474203,0-30 km,True,True,True,pre,<4,False,False,False,5.0,False,True,True,True,1,False
2025-11-03 21:26:35.760000+00:00,39.982772,144.007861,14.89,2.7,EVT_000811,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-470223.48,-130.61763333333332,-5.4424013888888885,77.50443094173491,-1.0099999999999998,1.0099999999999998,77.51101157643446,60-100 km,False,False,True,pre,<4,False,False,False,4.2,False,True,True,True,1,False
2025-11-03 21:27:34.560000+00:00,39.98936,143.970736,13.04,2.7,EVT_000812,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-470164.68,-130.6013,-5.441720833333333,76.4184259932288,-2.860000000000001,2.860000000000001,76.47192577202817,60-100 km,False,False,True,pre,<4,False,False,False,4.2,False,True,True,True,1,False
2025-11-03 21:37:06.840000+00:00,39.925765,143.638102,13.7,2.0,EVT_000813,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-469592.4,-130.44233333333335,-5.435097222222223,59.31130772096895,-2.200000000000001,2.200000000000001,59.35209535956983,30-60 km,False,True,True,pre,<4,False,False,False,4.9,False,True,True,True,1,False
2025-11-03 22:14:52.200000+00:00,39.344128,143.579753,13.92,2.2,EVT_000815,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-467327.04,-129.81306666666666,-5.408877777777778,8.973195480702719,-1.9800000000000004,1.9800000000000004,9.189049849407919,0-30 km,True,True,True,pre,<4,False,False,False,4.7,False,True,True,True,1,False
2025-11-03 22:28:14.640000+00:00,39.350212,143.583285,11.16,1.5,EVT_000816,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-466524.6,-129.59016666666665,-5.399590277777778,8.726670284169236,-4.74,4.74,9.930879832552723,0-30 km,True,True,True,pre,<4,False,False,False,5.4,False,True,True,True,1,False
2025-11-03 22:35:22.580000+00:00,39.358028,143.575114,3.25,1.3,EVT_000818,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-466096.66,-129.47129444444442,-5.394637268518518,7.627565883530963,-12.65,12.65,14.771670904390115,0-30 km,True,True,True,pre,<4,False,False,False,5.6000000000000005,False,True,True,True,1,False
2025-11-03 22:36:46.440000+00:00,39.35826,143.599495,10.71,1.4,EVT_000819,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-466012.8,-129.448,-5.393666666666666,9.319586492670481,-5.1899999999999995,5.1899999999999995,10.667276709374613,0-30 km,True,True,True,pre,<4,False,False,False,5.5,False,True,True,True,1,False
2025-11-03 22:41:26.240000+00:00,39.359253,143.552327,10.45,1.2,EVT_000820,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-465733.0,-129.37027777777777,-5.390428240740741,6.145757302971042,-5.450000000000001,5.450000000000001,8.214184854690203,0-30 km,True,True,True,pre,<4,False,False,False,5.7,False,True,True,True,1,False
2025-11-03 22:43:42.380000+00:00,39.384412,143.583838,12.58,1.3,EVT_000821,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-465596.86,-129.33246111111112,-5.388852546296296,6.8864147567721385,-3.3200000000000003,3.3200000000000003,7.644940039155904,0-30 km,True,True,True,pre,<4,False,False,False,5.6000000000000005,False,True,True,True,1,False
2025-11-03 22:44:13.960000+00:00,39.352861,143.546012,12.55,1.9,EVT_000822,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-465565.28,-129.3236888888889,-5.388487037037037,6.410851278546617,-3.3499999999999996,3.3499999999999996,7.233361190735797,0-30 km,True,True,True,pre,<4,False,False,False,5.0,False,True,True,True,1,False
2025-11-03 23:01:15.440000+00:00,39.375004,143.571273,4.63,1.3,EVT_000823,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-464543.8,-129.03994444444444,-5.3766643518518515,6.286496486467787,-11.27,11.27,12.904764161904387,0-30 km,True,True,True,pre,<4,False,False,False,5.6000000000000005,False,True,True,True,1,False
2025-11-03 23:28:46.080000+00:00,39.350195,143.481022,12.47,1.8,EVT_000826,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-462893.16,-128.58143333333334,-5.357559722222222,6.178079070761039,-3.4299999999999997,3.4299999999999997,7.066368303773557,0-30 km,True,True,True,pre,<4,False,False,False,5.1000000000000005,False,True,True,True,1,False
2025-11-03 23:50:49.440000+00:00,39.343176,143.522559,11.62,1.1,EVT_000829,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-461569.8,-128.21383333333333,-5.342243055555556,6.676260578567387,-4.280000000000001,4.280000000000001,7.930375483729188,0-30 km,True,True,True,pre,<4,False,False,False,5.800000000000001,False,True,True,True,1,False
2025-11-04 00:16:07.470000+00:00,39.34246,143.575586,11.62,1.7,EVT_000831,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-460051.77,-127.79215833333333,-5.324673263888889,8.865039308222237,-4.280000000000001,4.280000000000001,9.844151661586965,0-30 km,True,True,True,pre,<4,False,False,False,5.2,False,True,True,True,1,False
2025-11-04 00:35:21.560000+00:00,39.362826,143.58737,10.32,1.6,EVT_000832,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-458897.68,-127.47157777777778,-5.31131574074074,8.166226419461674,-5.58,5.58,9.890584104789456,0-30 km,True,True,True,pre,<4,False,False,False,5.300000000000001,False,True,True,True,1,False
