subset,phase_name,interpretable_window_count,window_count,phase_group,median_b_value,b_value_iqr,median_mc,mc_iqr,robust_windows,usable_with_caution_windows,exploratory_windows,not_interpretable_windows
off_axis_30km,preM3_sens_M3minus28d_to_M3,3,3,preM3,0.6174162893378569,0.06776006148595681,1.3,0.09999999999999987,1.0,0.0,2.0,0.0
off_axis_30km,full_M1_to_M3,19,19,full,0.7957768101983798,0.16388728628509575,1.4,0.19999999999999996,8.0,2.0,9.0,0.0
off_axis_30km,postM3_context,11,11,postM3,0.7075519255280982,0.14950490997876142,1.5,0.10000000000000009,2.0,0.0,9.0,0.0
overlap_60km,baseline_primary,0,0,,,,,,,,,
overlap_60km,baseline_sensitivity_M1minus7d,0,0,,,,,,,,,
overlap_60km,M1_related_primary,20,20,M1_related,0.6657984492214426,0.26280210560366746,1.55,0.30000000000000004,6.0,0.0,14.0,0.0
overlap_60km,M1_related_sens_M1minus7d_to_M1plus14d,18,18,M1_related,0.6445173724573211,0.2944560134001632,1.6,0.30000000000000004,5.0,0.0,13.0,0.0
overlap_60km,M1_related_sens_M1minus14d_to_M1plus28d,21,21,M1_related,0.6766660694974412,0.24605487999776954,1.5,0.30000000000000004,7.0,0.0,14.0,0.0
overlap_60km,middle_primary,7,7,middle,0.6359582449568527,0.07687137171171854,1.3,0.050000000000000044,3.0,0.0,4.0,0.0
overlap_60km,preM3_primary,7,7,preM3,0.516683861922164,0.07815965029196353,1.2,0.19999999999999996,0.0,0.0,7.0,0.0
overlap_60km,preM3_sens_M3minus42d_to_M3,7,7,preM3,0.516683861922164,0.07815965029196353,1.2,0.19999999999999996,0.0,0.0,7.0,0.0
overlap_60km,preM3_sens_M3minus28d_to_M3,6,6,preM3,0.5259531104015981,0.10388543249885251,1.2,0.2250000000000001,0.0,0.0,6.0,0.0
overlap_60km,full_M1_to_M3,30,30,full,0.6352307830757494,0.19546457859383992,1.5,0.30000000000000004,9.0,0.0,21.0,0.0
overlap_60km,postM3_context,17,17,postM3,0.7186355848464882,0.045829233809497216,1.5,0.40000000000000013,4.0,1.0,12.0,0.0
