subset,phase_name,phase_group,event_count,largest_mag,second_largest_mag,third_largest_mag,gap_1_2,gap_2_3,count_M4plus,count_M5plus,count_M6plus,companions_within_0p5,companions_within_1p0
off_axis_30km,baseline_primary,baseline,395,3.9,3.7,3.6,0.19999999999999973,0.10000000000000009,0,0,0,6,16
off_axis_30km,baseline_sensitivity_M1minus7d,baseline,402,3.9,3.7,3.6,0.19999999999999973,0.10000000000000009,0,0,0,6,17
off_axis_30km,M1_related_primary,M1_related,1318,5.5,5.5,5.4,0.0,0.09999999999999964,21,6,0,5,16
off_axis_30km,M1_related_sens_M1minus7d_to_M1plus14d,M1_related,1190,5.5,5.5,5.4,0.0,0.09999999999999964,20,6,0,5,15
off_axis_30km,M1_related_sens_M1minus14d_to_M1plus28d,M1_related,1377,5.5,5.5,5.4,0.0,0.09999999999999964,21,6,0,5,16
off_axis_30km,middle_primary,middle,599,6.1,4.9,3.9,1.1999999999999993,1.0000000000000004,2,1,1,0,0
off_axis_30km,preM3_primary,preM3,258,7.7,3.7,3.4,4.0,0.30000000000000027,1,1,1,0,0
off_axis_30km,preM3_sens_M3minus42d_to_M3,preM3,281,7.7,3.7,3.4,4.0,0.30000000000000027,1,1,1,0,0
off_axis_30km,preM3_sens_M3minus28d_to_M3,preM3,221,7.7,3.7,3.4,4.0,0.30000000000000027,1,1,1,0,0
off_axis_30km,full_M1_to_M3,full,1881,7.7,6.1,5.5,1.6000000000000005,0.5999999999999996,16,7,2,0,0
off_axis_30km,postM3_context,postM3,1391,5.6,5.4,5.3,0.1999999999999993,0.10000000000000053,17,6,0,4,7
