event_id,time,mag,moment_proxy,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,along_axis_30km,off_axis_30km,m2_related_flag,phase_primary
125,2025-06-05 11:00:27.980000+00:00,2.0,1258925411794.1663,False,False,False,False,False,False,baseline_to_M1_minus14d
126,2025-06-05 11:07:48.650000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
127,2025-06-05 13:35:32.980000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
128,2025-06-05 13:56:17.920000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
129,2025-06-05 17:05:38.480000+00:00,0.8,19952623149.688828,False,False,False,False,False,False,baseline_to_M1_minus14d
130,2025-06-05 17:48:53.860000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
131,2025-06-05 18:12:56.800000+00:00,0.9,28183829312.644493,False,False,False,False,False,False,baseline_to_M1_minus14d
132,2025-06-05 18:41:31.660000+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
133,2025-06-05 18:51:37.840000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
134,2025-06-05 19:47:35.160000+00:00,1.0,39810717055.34969,True,True,False,False,True,False,baseline_to_M1_minus14d
135,2025-06-05 19:48:07.520000+00:00,0.9,28183829312.644493,True,True,False,False,True,False,baseline_to_M1_minus14d
136,2025-06-05 21:20:45.080000+00:00,1.5,223872113856.83377,False,False,False,False,False,False,baseline_to_M1_minus14d
137,2025-06-05 21:39:01.280000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
138,2025-06-05 21:59:01.120000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
139,2025-06-05 22:11:45.160000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
140,2025-06-06 02:16:53.920000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
141,2025-06-06 03:18:38.210000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
