event_time,latitude,longitude,depth_km,magnitude
2019-07-24 15:14:48.220000+00:00,35.91817479518505,-117.64925834421256,3.5829943099999997,0.96
2019-07-24 15:15:51.170000+00:00,35.61557879518505,-117.45726843682263,3.55396163,-0.07
2019-07-24 15:16:18.380000+00:00,35.54202679518505,-117.5383171610573,1.15150736,0.25
2019-07-24 15:16:35.690000+00:00,35.61918779518505,-117.46911769618372,7.052399570000001,0.54
2019-07-24 15:17:13.670000+00:00,35.61031679518505,-117.44394605875135,5.3394714500000005,-0.08
2019-07-24 15:17:28.010000+00:00,35.87350479518505,-117.6929070895582,7.5677296400000005,1.02
2019-07-24 15:17:38.510000+00:00,35.69738579518505,-117.56968432725309,4.32332765,0.91
2019-07-24 15:17:57.010000+00:00,35.58483279518505,-117.34754922913154,4.287036800000001,1.0
2019-07-24 15:18:22.450000+00:00,35.59325179518505,-117.48146083331774,4.36687667,0.1
2019-07-24 15:18:55.470000+00:00,35.62179179518505,-117.4829848833491,4.49026556,1.99
2019-07-24 15:19:04.450000+00:00,35.62400479518505,-117.44723504242985,7.604020490000001,1.59
2019-07-24 15:19:32.660000+00:00,36.11891479518505,-117.86114605907221,4.58462177,1.02
2019-07-24 15:20:11.350000+00:00,35.83860079518505,-117.64510155144573,2.11684397,0.5
2019-07-24 15:20:12.710000+00:00,35.63064979518505,-117.57603552020782,7.023366890000001,-0.07
2019-07-24 15:20:22.890000+00:00,35.65029879518505,-117.43755193389562,5.223340730000001,0.01
2019-07-24 15:20:37.440000+00:00,35.80763179518505,-117.6394353031339,6.130611980000001,0.44
2019-07-24 15:21:02.190000+00:00,35.80612979518505,-117.6496401941779,6.5733603500000015,1.33
2019-07-24 15:21:33.380000+00:00,35.58854779518505,-117.3430984957061,4.3305858200000005,0.42
2019-07-24 15:22:11.160000+00:00,35.77577579518505,-117.60052499401118,6.094321130000001,0.55
2019-07-24 15:22:36.130000+00:00,35.70318379518505,-117.52928774563576,8.758069520000001,0.8
2019-07-24 15:22:54.340000+00:00,35.96665279518505,-117.67819988445032,3.5975106500000003,0.75
2019-07-24 15:23:18.060000+00:00,35.64404079518505,-117.41199048350208,8.206448600000002,0.05
2019-07-24 15:23:23.400000+00:00,35.70460379518505,-117.52965384812096,8.736295010000001,0.57
2019-07-24 15:23:31.100000+00:00,35.78608979518505,-117.60788274123703,4.36687667,0.73
2019-07-24 15:23:54.170000+00:00,35.73788879518505,-117.58590625244798,6.522553160000001,0.45
2019-07-24 15:24:16.240000+00:00,36.064703795185046,-117.84546807085006,2.53055966,1.02
2019-07-24 15:24:36.610000+00:00,35.63382779518505,-117.45617074876263,6.42093878,0.94
2019-07-24 15:25:15.590000+00:00,35.888511795185046,-117.48851318216694,0.94102043,0.33
2019-07-24 15:25:35.580000+00:00,35.65938579518505,-117.50491958814246,4.657203470000001,0.17
2019-07-24 15:25:43.080000+00:00,35.62111179518505,-117.45135183447103,4.555589090000001,0.01
2019-07-24 15:25:54.050000+00:00,35.96608279518505,-117.67854184277527,3.61202699,0.98
2019-07-24 15:26:25.870000+00:00,35.57009479518505,-117.52921317206922,8.975814620000001,0.43
2019-07-24 15:26:47.290000+00:00,35.598382795185046,-117.43365020166509,4.01848451,1.17
2019-07-24 15:26:51.520000+00:00,35.85920679518505,-117.69878204932226,8.69274599,1.05
2019-07-24 15:27:39.510000+00:00,35.58807579518505,-117.41742246183442,5.506409360000001,-0.24
2019-07-24 15:28:28.400000+00:00,35.64112379518505,-117.49947427361066,6.0289976,0.74
2019-07-24 15:28:40.060000+00:00,35.92678479518505,-117.46141697236244,1.64506292,0.82
2019-07-24 15:28:59.170000+00:00,35.66847179518505,-117.46359524261084,7.74918389,0.3
2019-07-24 15:29:20.940000+00:00,35.98369779518505,-117.44368813122296,3.9604191500000003,0.36
2019-07-24 15:29:28.290000+00:00,35.62626379518505,-117.4299902048352,4.352360330000001,0.73
2019-07-24 15:30:14.420000+00:00,35.59915179518505,-117.55980625687859,5.3394714500000005,-0.15
2019-07-24 15:30:52.680000+00:00,35.75716779518505,-117.41957464686604,5.085435500000001,0.77
2019-07-24 15:31:17.210000+00:00,35.81294579518505,-117.44161668867955,16.98157613,0.75
2019-07-24 15:31:28.210000+00:00,35.69511079518505,-117.54669416312221,6.580618520000001,0.42
2019-07-24 15:31:41.160000+00:00,35.58688379518505,-117.42919037629761,4.983821120000001,0.05
2019-07-24 15:32:01.290000+00:00,35.71634379518505,-117.5088136957036,3.60476882,0.71
2019-07-24 15:32:16.440000+00:00,35.65049079518505,-117.46551494771622,3.3434747,1.06
2019-07-24 15:32:34.400000+00:00,35.576889795185046,-117.51154565933548,8.866942070000002,0.18
