cell_id,ix,iy,x_left_km,x_right_km,y_bottom_km,y_top_km,x_center_km,y_center_km
228,66,2,461.0,461.5,3924.0,3924.5,461.25,3924.25
229,67,2,461.5,462.0,3924.0,3924.5,461.75,3924.25
230,68,2,462.0,462.5,3924.0,3924.5,462.25,3924.25
231,69,2,462.5,463.0,3924.0,3924.5,462.75,3924.25
232,70,2,463.0,463.5,3924.0,3924.5,463.25,3924.25
233,71,2,463.5,464.0,3924.0,3924.5,463.75,3924.25
234,72,2,464.0,464.5,3924.0,3924.5,464.25,3924.25
235,73,2,464.5,465.0,3924.0,3924.5,464.75,3924.25
236,74,2,465.0,465.5,3924.0,3924.5,465.25,3924.25
237,75,2,465.5,466.0,3924.0,3924.5,465.75,3924.25
238,76,2,466.0,466.5,3924.0,3924.5,466.25,3924.25
239,77,2,466.5,467.0,3924.0,3924.5,466.75,3924.25
240,78,2,467.0,467.5,3924.0,3924.5,467.25,3924.25
241,79,2,467.5,468.0,3924.0,3924.5,467.75,3924.25
242,80,2,468.0,468.5,3924.0,3924.5,468.25,3924.25
243,0,3,428.0,428.5,3924.5,3925.0,428.25,3924.75
244,1,3,428.5,429.0,3924.5,3925.0,428.75,3924.75
245,2,3,429.0,429.5,3924.5,3925.0,429.25,3924.75
246,3,3,429.5,430.0,3924.5,3925.0,429.75,3924.75
247,4,3,430.0,430.5,3924.5,3925.0,430.25,3924.75
248,5,3,430.5,431.0,3924.5,3925.0,430.75,3924.75
249,6,3,431.0,431.5,3924.5,3925.0,431.25,3924.75
250,7,3,431.5,432.0,3924.5,3925.0,431.75,3924.75
251,8,3,432.0,432.5,3924.5,3925.0,432.25,3924.75
252,9,3,432.5,433.0,3924.5,3925.0,432.75,3924.75
253,10,3,433.0,433.5,3924.5,3925.0,433.25,3924.75
254,11,3,433.5,434.0,3924.5,3925.0,433.75,3924.75
255,12,3,434.0,434.5,3924.5,3925.0,434.25,3924.75
256,13,3,434.5,435.0,3924.5,3925.0,434.75,3924.75
257,14,3,435.0,435.5,3924.5,3925.0,435.25,3924.75
258,15,3,435.5,436.0,3924.5,3925.0,435.75,3924.75
259,16,3,436.0,436.5,3924.5,3925.0,436.25,3924.75
260,17,3,436.5,437.0,3924.5,3925.0,436.75,3924.75
261,18,3,437.0,437.5,3924.5,3925.0,437.25,3924.75
262,19,3,437.5,438.0,3924.5,3925.0,437.75,3924.75
263,20,3,438.0,438.5,3924.5,3925.0,438.25,3924.75
264,21,3,438.5,439.0,3924.5,3925.0,438.75,3924.75
265,22,3,439.0,439.5,3924.5,3925.0,439.25,3924.75
266,23,3,439.5,440.0,3924.5,3925.0,439.75,3924.75
267,24,3,440.0,440.5,3924.5,3925.0,440.25,3924.75
268,25,3,440.5,441.0,3924.5,3925.0,440.75,3924.75
269,26,3,441.0,441.5,3924.5,3925.0,441.25,3924.75
270,27,3,441.5,442.0,3924.5,3925.0,441.75,3924.75
271,28,3,442.0,442.5,3924.5,3925.0,442.25,3924.75
272,29,3,442.5,443.0,3924.5,3925.0,442.75,3924.75
273,30,3,443.0,443.5,3924.5,3925.0,443.25,3924.75
274,31,3,443.5,444.0,3924.5,3925.0,443.75,3924.75
275,32,3,444.0,444.5,3924.5,3925.0,444.25,3924.75
276,33,3,444.5,445.0,3924.5,3925.0,444.75,3924.75
277,34,3,445.0,445.5,3924.5,3925.0,445.25,3924.75
278,35,3,445.5,446.0,3924.5,3925.0,445.75,3924.75
