region,depth_bin,threshold,window_name,observed_count,n_random_windows,n_outside_windows,random_expected_mean,random_expected_median,random_expected_ci_low,random_expected_ci_high,random_ratio_mean,random_ratio_ci_low,random_ratio_ci_high,random_excess_mean,random_excess_ci_low,random_excess_ci_high,random_percentile,random_exceedance_fraction,outside_expected_mean,outside_expected_median,outside_expected_ci_low,outside_expected_ci_high,outside_ratio_mean,outside_ratio_ci_low,outside_ratio_ci_high,outside_excess_mean,outside_excess_ci_low,outside_excess_ci_high,outside_percentile,outside_exceedance_fraction,n_shifted_windows,active_shifted_mean,active_shifted_median,active_shifted_max,active_shifted_percentile
m1_m3_local_union,30-60 km,4.0,active_period,1,2122,1888,0.25175,0.0,0.0,3.0,1.78575,0.3333333333333333,2.0,0.74825,-2.0,1.0,97.36098020735156,0.19698397737983034,0.20675,0.0,0.0,3.0,1.8325,0.3333333333333333,2.0,0.79325,-2.0,1.0,97.03389830508475,0.14565677966101695,1,1.0,1.0,1.0,100.0
m1_m3_local_union,30-60 km,5.0,14D,0,2320,2093,0.00425,0.0,0.0,0.0,0.0,0.0,0.0,-0.00425,0.0,0.0,99.39655172413792,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,29,0.06896551724137931,0.0,1.0,93.10344827586206
m1_m3_local_union,30-60 km,5.0,30D,0,2304,2070,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,98.69791666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,27,0.18518518518518517,0.0,1.0,81.48148148148148
m1_m3_local_union,30-60 km,5.0,7D,0,2327,2107,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0,0.0,99.69918349806618,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,30,0.03333333333333333,0.0,1.0,96.66666666666667
m1_m3_local_union,30-60 km,5.0,active_period,1,2122,1888,0.06675,0.0,0.0,1.0,1.93325,1.0,2.0,0.93325,0.0,1.0,100.0,0.06738925541941565,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,100.0,0.0,1,1.0,1.0,1.0,100.0
m1_m3_local_union,>=60 km,3.0,14D,0,2320,2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,29,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,3.0,30D,0,2304,2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,27,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,3.0,7D,0,2327,2107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,30,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,3.0,active_period,0,2122,1888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,4.0,14D,0,2320,2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,29,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,4.0,30D,0,2304,2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,27,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,4.0,7D,0,2327,2107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,30,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,4.0,active_period,0,2122,1888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,5.0,14D,0,2320,2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,29,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,5.0,30D,0,2304,2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,27,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,5.0,7D,0,2327,2107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,30,0.0,0.0,0.0,100.0
m1_m3_local_union,>=60 km,5.0,active_period,0,2122,1888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1,0.0,0.0,0.0,100.0
m2_near_field,0-30 km,3.0,14D,0,2320,2093,0.4755,0.0,0.0,3.0,0.0,0.0,0.0,-0.4755,-3.0,0.0,75.64655172413794,1.0,0.25525,0.0,0.0,2.0,0.0,0.0,0.0,-0.25525,-2.0,0.0,78.64309603440039,1.0,29,2.0689655172413794,1.0,16.0,48.275862068965516
m2_near_field,0-30 km,3.0,30D,0,2304,2070,0.91525,0.0,0.0,4.0,0.0,0.0,0.0,-0.91525,-4.0,0.0,57.204861111111114,1.0,0.54225,0.0,0.0,3.0,0.0,0.0,0.0,-0.54225,-3.0,0.0,59.130434782608695,1.0,27,4.555555555555555,2.0,20.0,25.925925925925924
