Starting Ridgecrest fixed-window b-value contrast workflow
Reading interevent catalog: <REPO_ROOT>/examples/ridgecrest/data/catalog_TRACE/TRACE_ridgecrest_relocated.csv
Reading background catalog: <REPO_ROOT>/examples/ridgecrest/data/catalog_longterm/catalog_2year_background_before_64.csv
Reading mainshocks: <REPO_ROOT>/examples/ridgecrest/data/catalog_TRACE/main_shock_events.csv
Inferred delta_m interevent=0.01, background=0.01, common=0.01
Center separation = 11.998 km
Prepared 84 subset statistics rows and bootstrap tasks
Bootstrapping subsets with up to 64 workers and 2000 replicates each
bootstrap_worker subset=subset_0058 progress=2000/2000
bootstrap_worker subset=subset_0073 progress=2000/2000
bootstrap_worker subset=subset_0068 progress=2000/2000
bootstrap_worker subset=subset_0069 progress=2000/2000
bootstrap_worker subset=subset_0033 progress=2000/2000
bootstrap_worker subset=subset_0076 progress=2000/2000
bootstrap_worker subset=subset_0049 progress=2000/2000
bootstrap_worker subset=subset_0079 progress=2000/2000
bootstrap_worker subset=subset_0081 progress=2000/2000
bootstrap_worker subset=subset_0080 progress=2000/2000
bootstrap_worker subset=subset_0015 progress=2000/2000
bootstrap_worker subset=subset_0060 progress=2000/2000
bootstrap_worker subset=subset_0074 progress=2000/2000
bootstrap_worker subset=subset_0050 progress=2000/2000
bootstrap_worker subset=subset_0078 progress=2000/2000
bootstrap_worker subset=subset_0077 progress=2000/2000
bootstrap_worker subset=subset_0075 progress=2000/2000
bootstrap_worker subset=subset_0082 progress=2000/2000
bootstrap_worker subset=subset_0084 progress=2000/2000
bootstrap_worker subset=subset_0083 progress=2000/2000
Bootstrap progress: 84/84 subsets complete
Generating figures
Workflow complete
Outputs written to: <PACKAGE_ROOT>/results/exp_run/outputs/01_ridgecrest_bvalue_contrast_analysis
