cell_id,total_events,first_event_bin_index,first_event_count,onset_bin_index,onset_count,future_active_bins,window_cumulative_count,quality_flag,first_event_time_hr_from_64,onset_time_hr_from_64,onset_time_min_from_64
5320,0,,0,,,,,inactive,,,
5321,0,,0,,,,,inactive,,,
5322,0,,0,,,,,inactive,,,
5323,0,,0,,,,,inactive,,,
5324,0,,0,,,,,inactive,,,
5325,0,,0,,,,,inactive,,,
5326,0,,0,,,,,inactive,,,
5327,0,,0,,,,,inactive,,,
5328,0,,0,,,,,inactive,,,
5329,0,,0,,,,,inactive,,,
5330,0,,0,,,,,inactive,,,
5331,0,,0,,,,,inactive,,,
5332,0,,0,,,,,inactive,,,
5333,0,,0,,,,,inactive,,,
5334,0,,0,,,,,inactive,,,
5335,0,,0,,,,,inactive,,,
5336,1,62.0,1,,,,,insufficient_data,31.0,,
5337,0,,0,,,,,inactive,,,
5338,0,,0,,,,,inactive,,,
5339,0,,0,,,,,inactive,,,
5340,0,,0,,,,,inactive,,,
5341,0,,0,,,,,inactive,,,
5342,0,,0,,,,,inactive,,,
5343,0,,0,,,,,inactive,,,
5344,0,,0,,,,,inactive,,,
5345,0,,0,,,,,inactive,,,
5346,0,,0,,,,,inactive,,,
5347,0,,0,,,,,inactive,,,
5348,0,,0,,,,,inactive,,,
5349,0,,0,,,,,inactive,,,
5350,0,,0,,,,,inactive,,,
5351,0,,0,,,,,inactive,,,
5352,0,,0,,,,,inactive,,,
5353,0,,0,,,,,inactive,,,
5354,0,,0,,,,,inactive,,,
5355,0,,0,,,,,inactive,,,
5356,0,,0,,,,,inactive,,,
5357,0,,0,,,,,inactive,,,
5358,0,,0,,,,,inactive,,,
5359,0,,0,,,,,inactive,,,
5360,0,,0,,,,,inactive,,,
5361,0,,0,,,,,inactive,,,
5362,0,,0,,,,,inactive,,,
5363,0,,0,,,,,inactive,,,
5364,0,,0,,,,,inactive,,,
5365,0,,0,,,,,inactive,,,
5366,0,,0,,,,,inactive,,,
5367,0,,0,,,,,inactive,,,
5368,0,,0,,,,,inactive,,,
5369,0,,0,,,,,inactive,,,
5370,0,,0,,,,,inactive,,,
5371,0,,0,,,,,inactive,,,
5372,0,,0,,,,,inactive,,,
5373,0,,0,,,,,inactive,,,
5374,0,,0,,,,,inactive,,,
5375,0,,0,,,,,inactive,,,
5376,0,,0,,,,,inactive,,,
5377,0,,0,,,,,inactive,,,
5378,0,,0,,,,,inactive,,,
5379,1,64.0,1,,,,,insufficient_data,32.0,,
5380,1,36.0,1,,,,,insufficient_data,18.0,,
5381,0,,0,,,,,inactive,,,
5382,0,,0,,,,,inactive,,,
5383,0,,0,,,,,inactive,,,
5384,3,40.0,1,,,,,ambiguous,20.0,,
5385,31,35.0,2,35.0,2.0,4.0,13.0,robust,17.5,17.5,1050.0
5386,21,35.0,2,35.0,2.0,4.0,8.0,robust,17.5,17.5,1050.0
5387,28,12.0,1,32.0,1.0,2.0,6.0,robust,6.0,16.0,960.0
5388,21,3.0,1,30.0,1.0,3.0,3.0,robust,1.5,15.0,900.0
5389,24,7.0,1,25.0,1.0,3.0,7.0,robust,3.5,12.5,750.0
5390,3,20.0,1,,,,,ambiguous,10.0,,
5391,1,11.0,1,,,,,insufficient_data,5.5,,
5392,0,,0,,,,,inactive,,,
5393,3,6.0,1,,,,,ambiguous,3.0,,
5394,4,7.0,1,,,,,ambiguous,3.5,,
5395,0,,0,,,,,inactive,,,
5396,1,47.0,1,,,,,insufficient_data,23.5,,
5397,0,,0,,,,,inactive,,,
5398,1,45.0,1,,,,,insufficient_data,22.5,,
5399,0,,0,,,,,inactive,,,
5400,0,,0,,,,,inactive,,,
5401,0,,0,,,,,inactive,,,
5402,0,,0,,,,,inactive,,,
5403,0,,0,,,,,inactive,,,
