reference_id,source_file,raw_time,origin_time,latitude,longitude,depth_km,magnitude,event_id,has_origin_time,has_location,has_depth,has_magnitude,flag_time_parse_failed,flag_missing_location,flag_missing_depth,flag_missing_magnitude,flag_lat_out_of_bounds,flag_lon_out_of_bounds,flag_depth_out_of_bounds,flag_mag_out_of_bounds,flag_any_quality_issue,quality_status,duplicate_signature,flag_exact_duplicate_signature
M3,Snet_catalog_relocate.csv,2026-04-23T00:16:09.730000Z,2026-04-23 00:16:09.730000+00:00,39.710583,143.418376,13.46,1.6,CAT_023400,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776903370000000000|39.7106|143.4184|13.46|1.6,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:16:28.650000Z,2026-04-23 00:16:28.650000+00:00,39.709184,143.423161,2.29,2.7,CAT_023401,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776903389000000000|39.7092|143.4232|2.29|2.7,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:17:23.800000Z,2026-04-23 00:17:23.800000+00:00,39.720239,143.420231,12.89,2.0,CAT_023402,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776903444000000000|39.7202|143.4202|12.89|2.0,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:20:24.890000Z,2026-04-23 00:20:24.890000+00:00,39.715255,143.423128,13.03,1.9,CAT_023404,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776903625000000000|39.7153|143.4231|13.03|1.9,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:22:24.520000Z,2026-04-23 00:22:24.520000+00:00,39.720858,143.429085,13.25,3.2,CAT_023405,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776903745000000000|39.7209|143.4291|13.25|3.2,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:26:36.840000Z,2026-04-23 00:26:36.840000+00:00,39.72098,143.449626,12.91,2.4,CAT_023406,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776903997000000000|39.721|143.4496|12.91|2.4,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:29:23.900000Z,2026-04-23 00:29:23.900000+00:00,40.118685,143.3389,14.04,1.4,CAT_023407,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776904164000000000|40.1187|143.3389|14.04|1.4,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:32:16.300000Z,2026-04-23 00:32:16.300000+00:00,39.866341,142.865723,21.64,2.2,CAT_023408,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776904336000000000|39.8663|142.8657|21.64|2.2,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:34:48.880000Z,2026-04-23 00:34:48.880000+00:00,39.624613,143.250553,15.69,1.6,CAT_023409,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776904489000000000|39.6246|143.2506|15.69|1.6,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:38:56.300000Z,2026-04-23 00:38:56.300000+00:00,40.136548,143.339648,12.13,1.8,CAT_023411,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776904736000000000|40.1365|143.3396|12.13|1.8,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:53:21.900000Z,2026-04-23 00:53:21.900000+00:00,39.892908,143.049723,15.44,1.4,CAT_023413,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776905602000000000|39.8929|143.0497|15.44|1.4,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:54:11.070000Z,2026-04-23 00:54:11.070000+00:00,39.847477,143.575602,15.06,2.4,CAT_023414,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776905651000000000|39.8475|143.5756|15.06|2.4,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:05:40.220000Z,2026-04-23 01:05:40.220000+00:00,39.720207,143.237044,8.62,1.0,CAT_023415,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776906340000000000|39.7202|143.237|8.62|1.0,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:06:35.840000Z,2026-04-23 01:06:35.840000+00:00,40.052445,143.067757,18.16,1.3,CAT_023416,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776906396000000000|40.0524|143.0678|18.16|1.3,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:07:10.330000Z,2026-04-23 01:07:10.330000+00:00,39.705347,143.216309,13.22,1.5,CAT_023417,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776906430000000000|39.7053|143.2163|13.22|1.5,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:10:48.560000Z,2026-04-23 01:10:48.560000+00:00,39.577173,143.233968,10.02,1.3,CAT_023419,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776906649000000000|39.5772|143.234|10.02|1.3,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:11:53.750000Z,2026-04-23 01:11:53.750000+00:00,39.893852,143.083203,15.8,1.9,CAT_023420,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776906714000000000|39.8939|143.0832|15.8|1.9,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:14:58.300000Z,2026-04-23 01:14:58.300000+00:00,39.930815,142.886507,7.92,1.6,CAT_023421,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776906898000000000|39.9308|142.8865|7.92|1.6,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:16:33.150000Z,2026-04-23 01:16:33.150000+00:00,40.150366,143.255355,14.31,1.2,CAT_023423,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776906993000000000|40.1504|143.2554|14.31|1.2,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:16:56.210000Z,2026-04-23 01:16:56.210000+00:00,40.144527,143.384212,12.82,1.4,CAT_023424,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776907016000000000|40.1445|143.3842|12.82|1.4,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:17:26.190000Z,2026-04-23 01:17:26.190000+00:00,39.958936,142.91027,19.52,1.2,CAT_023425,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776907046000000000|39.9589|142.9103|19.52|1.2,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:18:02.340000Z,2026-04-23 01:18:02.340000+00:00,39.661633,143.184912,15.68,1.9,CAT_023426,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776907082000000000|39.6616|143.1849|15.68|1.9,False
