event_code,mechanism_origin_time,matched_event_id,time_residual_seconds,distance_residual_km,depth_residual_km,mag_residual,within_primary_tolerance,ambiguity_flag,focal_mech_projection,focal_mech_score,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,region_name
J2025120919044907,2025-12-09 10:04:49.070000+00:00,EVT_005759,0.0,0.06925333348981019,0.120000000000001,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121007143897,2025-12-09 22:14:38.970000+00:00,EVT_006017,0.01,0.07131899278208549,0.14999999999999858,0.0,True,True,LOW,97.0,194.0,21.0,90.0,14.0,69.0,90.0,E OFF AOMORI PREF
J2025121007200270,2025-12-09 22:20:02.700000+00:00,EVT_006021,0.02,0.08895190370832416,0.030000000000001137,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121007494671,2025-12-09 22:49:46.710000+00:00,EVT_006030,0.01,0.15672900358089267,0.010000000000001563,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121008043604,2025-12-09 23:04:36.040000+00:00,EVT_006035,0.0,0.1259141341493597,0.0799999999999983,0.0,True,False,LOW,93.0,182.0,26.0,61.0,33.0,68.0,103.0,E OFF AOMORI PREF
J2025121015234827,2025-12-10 06:23:48.270000+00:00,EVT_006164,0.01,0.14866043644630098,0.04999999999999716,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121018370283,2025-12-10 09:37:02.830000+00:00,EVT_006218,0.01,0.099715115798508,0.19999999999999574,0.0,True,True,LOW,88.0,218.0,19.0,104.0,23.0,72.0,85.0,E OFF AOMORI PREF
J2025121023012950,2025-12-10 14:01:29.500000+00:00,EVT_006274,0.02,0.35328404344660125,0.030000000000001137,0.0,True,False,LOW,96.0,186.0,23.0,63.0,34.0,70.0,101.0,E OFF AOMORI PREF
J2025121023522419,2025-12-10 14:52:24.190000+00:00,EVT_006283,0.0,0.21282237767511764,0.10000000000000142,0.0,True,False,LOW,94.0,183.0,33.0,62.0,35.0,61.0,106.0,E OFF AOMORI PREF
J2025121110225761,2025-12-11 01:22:57.610000+00:00,EVT_006410,0.01,0.0847414187683446,0.010000000000001563,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121111222360,2025-12-11 02:22:23.600000+00:00,EVT_006426,0.0,0.07086716434415564,0.030000000000001137,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121119121381,2025-12-11 10:12:13.810000+00:00,EVT_006499,246.02,279.1516223795959,47.49,2.4,False,False,,,,,,,,,S OFF URAKAWA
J2025121202041771,2025-12-11 17:04:17.710000+00:00,EVT_006556,0.01,0.05654427681082747,0.00999999999999801,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121203110558,2025-12-11 18:11:05.580000+00:00,EVT_006566,0.02,0.15500859153183072,0.23000000000000043,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121206395215,2025-12-11 21:39:52.150000+00:00,EVT_006587,0.01,0.12804850698882014,0.16999999999999815,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121207091989,2025-12-11 22:09:19.890000+00:00,EVT_006593,0.03,0.18418087642821496,0.22000000000000064,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121208542149,2025-12-11 23:54:21.490000+00:00,EVT_006612,0.01,0.1111770017543374,0.0799999999999983,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121208563359,2025-12-11 23:56:33.590000+00:00,EVT_006614,0.01,0.09538684543758917,444.55,0.0,False,False,,,,,,,,,SE OFF TOKACHI
J2025121211441342,2025-12-12 02:44:13.420000+00:00,EVT_006635,0.0,0.04749000361035268,0.10999999999999943,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121211464936,2025-12-12 02:46:49.360000+00:00,EVT_006636,0.03,0.07662928248990493,0.010000000000001563,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121211470534,2025-12-12 02:47:05.340000+00:00,EVT_006637,0.0,0.05053313381457297,0.14999999999999858,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
