event_id,origin_time,latitude,longitude,depth_km,magnitude,region,npicks
149,2025-06-01T22:08:26.540000Z,42.332667,144.464167,14.000,1.50,SE OFF TOKACHI,10
150,2025-06-01T22:16:07.640000Z,41.068333,142.835500,22.960,1.60,E OFF AOMORI PREF,24
151,2025-06-01T22:52:52.130000Z,41.069667,142.835333,23.610,1.50,E OFF AOMORI PREF,19
152,2025-06-01T23:36:47.940000Z,40.055833,143.053833,18.250,1.00,FAR E OFF SANRIKU,13
153,2025-06-02T00:13:04.370000Z,41.507667,142.573167,32.210,1.40,E OFF AOMORI PREF,10
154,2025-06-02T00:13:44.800000Z,41.514500,142.569000,34.740,0.80,E OFF AOMORI PREF,6
155,2025-06-02T01:13:07.840000Z,40.138333,141.139500,8.810,0.60,NORTHERN IWATE PREF,16
156,2025-06-02T01:19:13.270000Z,42.313667,144.481333,13.430,2.10,SE OFF TOKACHI,32
157,2025-06-02T01:22:05.800000Z,41.698167,143.759333,16.510,3.10,SE OFF ERIMOMISAKI,31
158,2025-06-02T01:31:29.210000Z,42.294500,144.460833,9.300,1.30,SE OFF TOKACHI,6
159,2025-06-02T01:37:11.050000Z,41.721667,143.139000,30.030,1.10,E OFF AOMORI PREF,7
160,2025-06-02T01:37:25.430000Z,41.413500,142.850333,21.910,1.70,E OFF AOMORI PREF,17
161,2025-06-02T01:38:01.190000Z,41.709667,143.721167,16.080,2.40,SE OFF ERIMOMISAKI,31
162,2025-06-02T01:48:29.700000Z,41.701833,143.745833,37.000,0.90,SE OFF ERIMOMISAKI,6
163,2025-06-02T02:15:30.230000Z,41.683500,143.790167,20.850,2.10,SE OFF ERIMOMISAKI,30
164,2025-06-02T02:59:32.210000Z,42.335333,144.432167,14.090,1.60,SE OFF TOKACHI,21
165,2025-06-02T03:38:07.130000Z,42.323333,144.481000,14.450,1.60,SE OFF TOKACHI,24
166,2025-06-02T03:47:03.300000Z,39.720000,143.438500,12.750,1.60,FAR E OFF SANRIKU,27
167,2025-06-02T03:57:16.240000Z,42.347833,144.477667,14.390,1.20,SE OFF TOKACHI,7
168,2025-06-02T03:58:08.940000Z,42.363833,144.458667,14.500,1.60,SE OFF TOKACHI,11
169,2025-06-02T04:18:05.790000Z,39.283667,142.610000,23.550,1.90,E OFF IWATE PREF,38
170,2025-06-02T04:21:25.290000Z,42.344833,143.119000,51.060,0.50,HIDAKA MOUNTAINS REGION,10
171,2025-06-02T04:41:24.150000Z,41.718000,143.718000,15.760,1.70,SE OFF ERIMOMISAKI,20
172,2025-06-02T04:46:16.890000Z,39.653333,142.594500,29.980,0.80,E OFF IWATE PREF,19
173,2025-06-02T04:47:24.210000Z,42.339000,144.482500,13.380,1.60,SE OFF TOKACHI,18
174,2025-06-02T05:10:31.480000Z,42.285333,144.467833,10.310,1.30,SE OFF TOKACHI,7
