domain,cell_id,x_km,y_km,event_count,cumulative_energy,first_activation_hours,peak_rate_time_30m_hours,peak_rate_time_1h_hours,first_nonzero_bin_30m_hours,first_nonzero_bin_1h_hours,longitude,latitude,distance_to_Mw6.4_km,distance_to_Mw7.1_km
Mw7.1_neighborhood,72,-7.68815743406584,2.38924860887942,0,0.0,,,,,,-117.62873005204202,35.706361398390854,12.202369729031401,8.403868156985805
Mw7.1_neighborhood,73,-7.18815743406584,2.38924860887942,0,0.0,,,,,,-117.62320499365745,35.70636516999324,11.702471326689546,8.223442101699263
Mw7.1_neighborhood,74,-6.68815743406584,2.38924860887942,0,0.0,,,,,,-117.61767993476998,35.70636868806519,11.202581992558683,8.070006195784487
Mw7.1_neighborhood,75,-6.18815743406584,2.38924860887942,0,0.0,,,,,,-117.61215487541455,35.70637195260666,10.702702997281069,7.945124291035352
Mw7.1_neighborhood,76,-5.68815743406584,2.38924860887942,0,0.0,,,,,,-117.60662981562619,35.70637496361759,10.20283586048596,7.850159234053791
Mw7.1_neighborhood,77,-5.18815743406584,2.38924860887942,0,0.0,,,,,,-117.60110475543985,35.706377721097944,9.702982414908696,7.786205751198718
Mw7.1_neighborhood,78,-4.68815743406584,2.38924860887942,0,0.0,,,,,,-117.59557969489053,35.70638022504768,9.203144891396446,7.754031209635412
Mw7.1_neighborhood,79,-4.18815743406584,2.38924860887942,0,0.0,,,,,,-117.5900546340132,35.70638247546674,8.703326033192461,7.754031209635412
Mw7.1_neighborhood,80,-3.6881574340658396,2.38924860887942,0,0.0,,,,,,-117.58452957284284,35.706384472355126,8.203529251977757,7.786205751198718
Mw7.1_neighborhood,81,-3.1881574340658396,2.38924860887942,0,0.0,,,,,,-117.57900451141445,35.70638621571277,7.703758844620193,7.850159234053791
Mw7.1_neighborhood,82,-2.6881574340658396,2.38924860887942,0,0.0,,,,,,-117.57347944976303,35.70638770553965,7.204020300087511,7.945124291035352
Mw7.1_neighborhood,83,-2.1881574340658396,2.38924860887942,0,0.0,,,,,,-117.56795438792352,35.70638894183576,6.704320743526675,8.070006195784487
Mw7.1_neighborhood,84,-1.6881574340658396,2.38924860887942,2,145367573.73967403,1.4696888888888888,1.25,1.5,1.25,1.5,-117.5624293259309,35.70638992460106,6.204669594756128,8.223442101699263
Mw7.1_neighborhood,85,-1.1881574340658396,2.38924860887942,1,707945.7843841374,7.571563888888889,7.75,7.5,7.75,7.5,-117.55690426382017,35.70639065383557,5.705079572459992,8.403868156985805
Mw7.1_neighborhood,86,-0.6881574340658396,2.38924860887942,0,0.0,,,,,,-117.55137920162633,35.70639112953923,5.205568276001131,8.609587678861281
Mw7.1_neighborhood,87,-0.18815743406583962,2.38924860887942,2,9061677.373231104,15.752477777777775,15.75,15.5,15.75,15.5,-117.54585413938433,35.706391351712085,4.706160773296903,8.838834764831844
Mw7.1_neighborhood,88,0.3118425659341604,2.38924860887942,0,0.0,,,,,,-117.54032907712916,35.70639132035408,4.206894029105987,9.089829481348922
Mw7.1_neighborhood,89,0.8118425659341604,2.38924860887942,1,1513561.2484362072,18.457344444444445,18.25,18.5,18.25,18.5,-117.53480401489581,35.706391035465245,3.707824904190692,9.360822613424528
Mw7.1_neighborhood,90,1.3118425659341604,2.38924860887942,3,2627523936.7121363,0.1929333333333333,0.25,0.5,0.25,0.5,-117.52927895271927,35.70639049704559,3.2090456008205654,9.650129532809393
Mw7.1_neighborhood,91,1.8118425659341604,2.38924860887942,0,0.0,,,,,,-117.52375389063452,35.706389705095106,2.7107161076281914,9.956153875869939
Mw7.1_neighborhood,92,-11.18815743406584,2.88924860887942,0,0.0,,,,,,-117.66741240104528,35.71083428038191,15.717463391072657,9.905806378079474
Mw7.1_neighborhood,93,-10.68815743406584,2.88924860887942,0,0.0,,,,,,-117.66188703623821,35.71083982720585,15.21803744238127,9.572094859538323
Mw7.1_neighborhood,94,-10.18815743406584,2.88924860887942,0,0.0,,,,,,-117.65636167068315,35.710845120476506,14.718650472979084,9.253377761660873
Mw7.1_neighborhood,95,-9.68815743406584,2.88924860887942,0,0.0,,,,,,-117.65083630441507,35.710850160193814,14.219306589765075,8.951256894984077
Mw7.1_neighborhood,96,-9.18815743406584,2.88924860887942,0,0.0,,,,,,-117.64531093746899,35.71085494635769,13.720010497144148,8.667467911679857
Mw7.1_neighborhood,97,-8.68815743406584,2.88924860887942,0,0.0,,,,,,-117.63978556987988,35.710859478968075,13.220767609702348,8.403868156985805
Mw7.1_neighborhood,98,-8.18815743406584,2.88924860887942,0,0.0,,,,,,-117.63426020168275,35.71086375802488,12.721584191356195,8.162413858657255
Mw7.1_neighborhood,99,-7.68815743406584,2.88924860887942,0,0.0,,,,,,-117.62873483291258,35.71086778352805,12.222467528521928,7.945124291035351
