window,version,magnitude_threshold,threshold_label,event_count,duration_days,rate_per_day,fraction_of_full_M1_to_M3,window_start,window_end
post_M3_7d,m2aware,3.0,M3+,224,6.995334606481482,32.021341737170694,0.5758354755784062,2026-04-20 07:52:58.060000+00:00,2026-04-27 07:52:58.060000+00:00
post_M3_7d,m2aware,4.0,M4+,39,6.995334606481482,5.575144320310969,0.4105263157894737,2026-04-20 07:52:58.060000+00:00,2026-04-27 07:52:58.060000+00:00
post_M3_7d,m2aware,5.0,M5+,12,6.995334606481482,1.7154290216341443,0.3870967741935484,2026-04-20 07:52:58.060000+00:00,2026-04-27 07:52:58.060000+00:00
post_M3_7d,m2aware,6.0,M6+,0,6.995334606481482,0.0,0.0,2026-04-20 07:52:58.060000+00:00,2026-04-27 07:52:58.060000+00:00
post_M3_14d,raw,3.0,M3+,255,11.283049652777779,22.600272785046325,0.6359102244389028,2026-04-20 07:52:58.060000+00:00,2026-05-04 07:52:58.060000+00:00
post_M3_14d,raw,4.0,M4+,43,11.283049652777779,3.8110263912038898,0.4387755102040816,2026-04-20 07:52:58.060000+00:00,2026-05-04 07:52:58.060000+00:00
post_M3_14d,raw,5.0,M5+,12,11.283049652777779,1.0635422487080624,0.3870967741935484,2026-04-20 07:52:58.060000+00:00,2026-05-04 07:52:58.060000+00:00
post_M3_14d,raw,6.0,M6+,0,11.283049652777779,0.0,0.0,2026-04-20 07:52:58.060000+00:00,2026-05-04 07:52:58.060000+00:00
post_M3_14d,m2aware,3.0,M3+,240,11.283049652777779,21.270844974161246,0.6169665809768637,2026-04-20 07:52:58.060000+00:00,2026-05-04 07:52:58.060000+00:00
post_M3_14d,m2aware,4.0,M4+,40,11.283049652777779,3.545140829026874,0.42105263157894735,2026-04-20 07:52:58.060000+00:00,2026-05-04 07:52:58.060000+00:00
post_M3_14d,m2aware,5.0,M5+,12,11.283049652777779,1.0635422487080624,0.3870967741935484,2026-04-20 07:52:58.060000+00:00,2026-05-04 07:52:58.060000+00:00
post_M3_14d,m2aware,6.0,M6+,0,11.283049652777779,0.0,0.0,2026-04-20 07:52:58.060000+00:00,2026-05-04 07:52:58.060000+00:00
