origin_time,latitude,longitude,depth_km,magnitude,event_id,time_since_M1_days,time_before_M3_days,distance_to_M1_km,distance_to_M2_km,distance_to_M3_km,along_axis_km,perpendicular_distance_km,axis_length_km,axis_fraction,nearest_endpoint,in_M1_core_30km,in_M3_core_30km,in_M1_extended_60km,in_M3_extended_60km,in_local_union_60km,in_corridor_20km,in_corridor_30km,off_corridor_local,M2_related_100km,M2_ambiguous_overlap,spatial_category,window__pre_M1_baseline_14d,window__pre_M1_baseline_7d,window__M1_related_primary,window__M1_related_sensitivity_narrow,window__M1_related_sensitivity_broad,window__full_M1_to_M3,window__middle_primary,window__pre_M3_primary,window__pre_M3_sensitivity_42d,window__pre_M3_sensitivity_28d,window__post_M3_7d,window__post_M3_14d
2026-04-22 08:50:20.470000+00:00,39.80533,143.208708,12.57,1.5,evt_023138,164.03242164351852,-2.0398427083333335,51.6181964803374,150.97780937485365,6.010483984143951,51.38544719568227,1.6448470414720617,57.16418144737492,0.8989098749360641,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:51:41.640000+00:00,39.889685,143.162126,14.39,1.1,evt_023139,164.0333611111111,-2.040782175925926,61.74615358805619,140.89186245683254,5.3203479486840575,61.42104986476014,3.14226851631161,57.16418144737492,1.0744674079047922,M3,False,True,False,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:52:35.140000+00:00,39.719092,143.438395,13.34,2.0,evt_023140,164.03398032407407,-2.0414013888888887,35.746149322829474,169.6752032429619,27.658569571080097,32.92983408422435,13.400906881587328,57.16418144737492,0.5760571261663111,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:57:15.800000+00:00,39.712948,143.366553,12.6,1.3,evt_023141,164.0372287037037,-2.0446497685185183,36.61230530431418,166.82521807174845,22.947977366610562,35.58572080686216,7.801292926435163,57.16418144737492,0.6225178058330497,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:59:56.590000+00:00,39.883927,143.173454,9.69,0.9,evt_023142,164.03908969907408,-2.046510763888889,60.72304321071284,141.94269923267896,4.868997200826842,60.3692154428719,3.6347131985919177,57.16418144737492,1.056067172035823,M3,False,True,False,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:00:37.300000+00:00,39.627917,143.426449,12.94,1.3,evt_023143,164.03956087962962,-2.0469819444444446,26.05382148977598,177.5509252480966,33.129159769801944,24.887146213887952,7.2362691209002925,57.16418144737492,0.4353625921644473,M1,True,False,True,True,True,True,True,False,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:07:08.410000+00:00,39.893075,143.315413,7.33,1.2,evt_023144,164.04408761574075,-2.0515086805555556,57.01557997079091,147.81050338505048,14.664213182456914,54.839591294159405,14.525771335813534,57.16418144737492,0.9593348475503751,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:09:30.910000+00:00,39.199556,143.417464,10.7,1.4,evt_023145,164.0457369212963,-2.053157986111111,23.792616746575597,218.85823845916252,74.84847256122387,-15.021334504490035,18.286382999399912,57.16418144737492,-0.2627752925723008,M1,True,False,True,False,True,True,True,False,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:19:31.740000+00:00,39.584729,143.681234,14.98,1.2,evt_023146,164.05269097222222,-2.060112037037037,25.2263699228887,193.973766829244,53.18926185450253,9.353127127252087,23.32306299785418,57.16418144737492,0.16361866627728294,M1,True,False,True,True,True,False,True,True,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:20:52.780000+00:00,40.268689,142.928581,22.47,1.2,evt_023147,164.05362893518517,-2.06105,108.28906101794412,94.70883854339137,51.27413669387709,107.6024797569392,8.100119748323984,57.16418144737492,1.882340952542066,M3,False,False,False,True,True,True,True,False,True,True,corridor_noncore,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:27:49.210000+00:00,39.752645,143.368896,11.47,1.3,evt_023148,164.05844872685185,-2.0658697916666666,40.74691215878223,163.24698816063602,20.650234736420455,39.216122116510576,10.276747071315864,57.16418144737492,0.6860261290124963,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:29:03.060000+00:00,39.734884,143.399707,12.32,1.1,evt_023149,164.0593034722222,-2.066724537037037,38.14040551743242,166.35652666199752,23.91484894695685,36.15762570750217,11.49424822180869,57.16418144737492,0.6325224081234979,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:29:24.200000+00:00,39.82098,143.301416,4.46,1.6,evt_023150,164.05954814814814,-2.066969212962963,49.80586570264178,153.72627964769956,12.551244960163935,48.68484736581395,9.319073841340916,57.16418144737492,0.8516670077858631,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:34:16.230000+00:00,39.722778,142.717611,26.2,1.1,evt_023151,164.062928125,-2.0703491898148147,76.49405851486445,143.16859509325258,39.81787636847809,65.72411414345892,38.98710201683203,57.16418144737492,1.1497429418098855,M3,False,False,False,True,True,False,False,True,False,False,off-corridor_local,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:43:00.930000+00:00,39.6745,143.067725,17.8,1.2,evt_023152,164.06900104166667,-2.0764221064814814,48.34354014798975,158.29191718742808,20.127920273632213,45.419669483131386,16.23878891465784,57.16418144737492,0.794547710351534,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:43:52.400000+00:00,40.148848,143.361328,13.79,1.4,evt_023153,164.06959675925927,-2.077017824074074,83.97358417679251,128.5218288984724,38.303166361761726,76.84338388041645,32.72456478974973,57.16418144737492,1.3442575741447136,M3,False,False,False,True,True,False,False,True,False,False,off-corridor_local,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:45:46.720000+00:00,39.674809,143.070133,18.52,1.2,evt_023154,164.07091990740741,-2.078340972222222,48.20436453542709,158.34600036447148,20.018864960919707,45.340348941189205,16.04511797873966,57.16418144737492,0.7931601186825236,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
