mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,metric,value
M1,44.0,90.0,stratified,2.0,rate_ratio,5.974747474747474
M1,44.0,90.0,stratified,2.0,post_omori_p,0.864426235215579
M1,44.0,90.0,stratified,2.5,n_total,663.0
M1,44.0,90.0,stratified,2.5,rate_ratio,4.963963963963963
M1,44.0,90.0,stratified,2.5,post_omori_p,0.9763863024978722
M1,50.0,7.0,all,,n_total,2259.0
M1,50.0,7.0,all,,rate_ratio,3.41015625
M1,50.0,7.0,all,,post_omori_p,
M1,50.0,7.0,all,1.2,n_total,2187.0
M1,50.0,7.0,all,1.2,rate_ratio,3.5165289256198347
M1,50.0,7.0,all,1.2,post_omori_p,
M1,50.0,7.0,all,1.5,n_total,1867.0
M1,50.0,7.0,all,1.5,rate_ratio,3.9627659574468086
M1,50.0,7.0,all,1.5,post_omori_p,
M1,50.0,7.0,all,2.0,n_total,1000.0
M1,50.0,7.0,all,2.0,rate_ratio,4.6440677966101696
M1,50.0,7.0,all,2.0,post_omori_p,
M1,50.0,7.0,all,2.5,n_total,509.0
M1,50.0,7.0,all,2.5,rate_ratio,4.08
M1,50.0,7.0,all,2.5,post_omori_p,
M1,50.0,7.0,mainshock_window,,n_total,2259.0
M1,50.0,7.0,mainshock_window,,rate_ratio,3.41015625
M1,50.0,7.0,mainshock_window,,post_omori_p,
M1,50.0,7.0,mainshock_window,1.2,n_total,2187.0
M1,50.0,7.0,mainshock_window,1.2,rate_ratio,3.5165289256198347
M1,50.0,7.0,mainshock_window,1.2,post_omori_p,
M1,50.0,7.0,mainshock_window,1.5,n_total,1867.0
M1,50.0,7.0,mainshock_window,1.5,rate_ratio,3.9627659574468086
M1,50.0,7.0,mainshock_window,1.5,post_omori_p,
M1,50.0,7.0,mainshock_window,2.0,n_total,1000.0
M1,50.0,7.0,mainshock_window,2.0,rate_ratio,4.6440677966101696
M1,50.0,7.0,mainshock_window,2.0,post_omori_p,
M1,50.0,7.0,mainshock_window,2.5,n_total,509.0
M1,50.0,7.0,mainshock_window,2.5,rate_ratio,4.08
M1,50.0,7.0,mainshock_window,2.5,post_omori_p,
M1,50.0,7.0,stratified,,n_total,2256.0
M1,50.0,7.0,stratified,,rate_ratio,3.404296875
M1,50.0,7.0,stratified,,post_omori_p,
M1,50.0,7.0,stratified,1.2,n_total,2184.0
M1,50.0,7.0,stratified,1.2,rate_ratio,3.510330578512397
M1,50.0,7.0,stratified,1.2,post_omori_p,
M1,50.0,7.0,stratified,1.5,n_total,1864.0
M1,50.0,7.0,stratified,1.5,rate_ratio,3.954787234042553
M1,50.0,7.0,stratified,1.5,post_omori_p,
M1,50.0,7.0,stratified,2.0,n_total,998.0
M1,50.0,7.0,stratified,2.0,rate_ratio,4.632768361581921
M1,50.0,7.0,stratified,2.0,post_omori_p,
M1,50.0,7.0,stratified,2.5,n_total,509.0
M1,50.0,7.0,stratified,2.5,rate_ratio,4.08
M1,50.0,7.0,stratified,2.5,post_omori_p,
M1,50.0,30.0,all,,n_total,3261.0
M1,50.0,30.0,all,,rate_ratio,5.003683241252301
M1,50.0,30.0,all,,post_omori_p,0.5423577260596635
M1,50.0,30.0,all,1.2,n_total,3135.0
M1,50.0,30.0,all,1.2,rate_ratio,5.109161793372319
M1,50.0,30.0,all,1.2,post_omori_p,0.5532873506731576
M1,50.0,30.0,all,1.5,n_total,2558.0
M1,50.0,30.0,all,1.5,rate_ratio,5.457070707070708
M1,50.0,30.0,all,1.5,post_omori_p,0.6114404977773245
M1,50.0,30.0,all,2.0,n_total,1272.0
M1,50.0,30.0,all,2.0,rate_ratio,5.796791443850268
M1,50.0,30.0,all,2.0,post_omori_p,0.7863223483930932
M1,50.0,30.0,all,2.5,n_total,620.0
M1,50.0,30.0,all,2.5,rate_ratio,4.895238095238095
M1,50.0,30.0,all,2.5,post_omori_p,0.9225462574496396
M1,50.0,30.0,mainshock_window,,n_total,3261.0
M1,50.0,30.0,mainshock_window,,rate_ratio,5.003683241252301
M1,50.0,30.0,mainshock_window,,post_omori_p,0.5423577260596635
M1,50.0,30.0,mainshock_window,1.2,n_total,3135.0
M1,50.0,30.0,mainshock_window,1.2,rate_ratio,5.109161793372319
M1,50.0,30.0,mainshock_window,1.2,post_omori_p,0.5532873506731576
M1,50.0,30.0,mainshock_window,1.5,n_total,2558.0
M1,50.0,30.0,mainshock_window,1.5,rate_ratio,5.457070707070708
M1,50.0,30.0,mainshock_window,1.5,post_omori_p,0.6114404977773245
M1,50.0,30.0,mainshock_window,2.0,n_total,1272.0
M1,50.0,30.0,mainshock_window,2.0,rate_ratio,5.796791443850268
M1,50.0,30.0,mainshock_window,2.0,post_omori_p,0.7863223483930932
M1,50.0,30.0,mainshock_window,2.5,n_total,620.0
M1,50.0,30.0,mainshock_window,2.5,rate_ratio,4.895238095238095
M1,50.0,30.0,mainshock_window,2.5,post_omori_p,0.9225462574496396
M1,50.0,30.0,stratified,,n_total,3256.0
M1,50.0,30.0,stratified,,rate_ratio,4.994475138121547
M1,50.0,30.0,stratified,,post_omori_p,0.5423351814680845
M1,50.0,30.0,stratified,1.2,n_total,3130.0
M1,50.0,30.0,stratified,1.2,rate_ratio,5.099415204678363
M1,50.0,30.0,stratified,1.2,post_omori_p,0.5532813573376275
M1,50.0,30.0,stratified,1.5,n_total,2554.0
M1,50.0,30.0,stratified,1.5,rate_ratio,5.446969696969698
M1,50.0,30.0,stratified,1.5,post_omori_p,0.6112994416959976
M1,50.0,30.0,stratified,2.0,n_total,1270.0
